PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_PTS,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_EFG_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1630639,A.J. Lawson,1610612742,DAL,15,5,10,108.0,0,3,0.0,0,0.0,2.0,0.0,0.0,2022-23,Regular Season,PullUpShot
1631260,AJ Green,1610612749,MIL,35,27,8,345.0,14,36,0.389,36,8.0,23.0,0.348,0.5,2022-23,Regular Season,PullUpShot
1631100,AJ Griffin,1610612737,ATL,72,34,38,1401.0,89,182,0.489,206,28.0,60.0,0.467,0.566,2022-23,Regular Season,PullUpShot
203932,Aaron Gordon,1610612743,DEN,68,45,23,2055.0,40,114,0.351,103,23.0,59.0,0.39,0.452,2022-23,Regular Season,PullUpShot
1628988,Aaron Holiday,1610612737,ATL,63,32,31,845.0,27,71,0.38,63,9.0,26.0,0.346,0.444,2022-23,Regular Season,PullUpShot
1630174,Aaron Nesmith,1610612754,IND,73,30,43,1816.0,37,85,0.435,93,19.0,43.0,0.442,0.547,2022-23,Regular Season,PullUpShot
1630598,Aaron Wiggins,1610612760,OKC,70,37,33,1297.0,6,17,0.353,16,4.0,8.0,0.5,0.471,2022-23,Regular Season,PullUpShot
1629678,Admiral Schofield,1610612753,ORL,37,14,23,451.0,1,7,0.143,3,1.0,6.0,0.167,0.214,2022-23,Regular Season,PullUpShot
201143,Al Horford,1610612738,BOS,63,44,19,1921.0,8,20,0.4,19,3.0,7.0,0.429,0.475,2022-23,Regular Season,PullUpShot
202692,Alec Burks,1610612765,DET,51,12,39,1122.0,101,237,0.426,246,44.0,111.0,0.396,0.519,2022-23,Regular Season,PullUpShot
1630197,Aleksej Pokusevski,1610612760,OKC,34,16,18,701.0,5,18,0.278,11,1.0,5.0,0.2,0.306,2022-23,Regular Season,PullUpShot
1627936,Alex Caruso,1610612741,CHI,67,33,34,1575.0,6,29,0.207,15,3.0,13.0,0.231,0.259,2022-23,Regular Season,PullUpShot
203458,Alex Len,1610612758,SAC,26,15,11,161.0,1,1,1.0,2,0.0,0.0,nan,1.0,2022-23,Regular Season,PullUpShot
1628993,Alize Johnson,1610612759,SAS,4,1,3,30.0,0,1,0.0,0,0.0,1.0,0.0,0.0,2022-23,Regular Season,PullUpShot
1631214,Alondes Williams,1610612751,BKN,1,1,0,5.0,0,0,nan,0,nan,nan,nan,nan,2022-23,Regular Season,PullUpShot
1630578,Alperen Sengun,1610612745,HOU,75,18,57,2171.0,15,37,0.405,30,0.0,4.0,0.0,0.405,2022-23,Regular Season,PullUpShot
1629599,Amir Coffey,1610612746,LAC,50,26,24,625.0,10,35,0.286,21,1.0,6.0,0.167,0.3,2022-23,Regular Season,PullUpShot
203083,Andre Drummond,1610612741,CHI,67,32,35,849.0,1,2,0.5,2,0.0,0.0,nan,0.5,2022-23,Regular Season,PullUpShot
2738,Andre Iguodala,1610612744,GSW,8,3,5,113.0,0,1,0.0,0,0.0,1.0,0.0,0.0,2022-23,Regular Season,PullUpShot
1629614,Andrew Nembhard,1610612754,IND,75,32,43,2074.0,79,220,0.359,177,19.0,66.0,0.288,0.402,2022-23,Regular Season,PullUpShot
203952,Andrew Wiggins,1610612744,GSW,37,19,18,1190.0,39,115,0.339,85,7.0,29.0,0.241,0.37,2022-23,Regular Season,PullUpShot
1629014,Anfernee Simons,1610612757,POR,62,27,35,2171.0,182,461,0.395,455,91.0,256.0,0.355,0.493,2022-23,Regular Season,PullUpShot
203076,Anthony Davis,1610612747,LAL,56,31,25,1905.0,70,166,0.422,140,0.0,4.0,0.0,0.422,2022-23,Regular Season,PullUpShot
1630162,Anthony Edwards,1610612750,MIN,79,40,39,2841.0,220,627,0.351,562,122.0,361.0,0.338,0.448,2022-23,Regular Season,PullUpShot
1630264,Anthony Gill,1610612764,WAS,59,21,38,625.0,1,8,0.125,2,0.0,4.0,0.0,0.125,2022-23,Regular Season,PullUpShot
1630237,Anthony Lamb,1610612744,GSW,62,36,26,1195.0,5,20,0.25,14,4.0,13.0,0.308,0.35,2022-23,Regular Season,PullUpShot
1630559,Austin Reaves,1610612747,LAL,64,35,29,1843.0,75,159,0.472,170,20.0,50.0,0.4,0.535,2022-23,Regular Season,PullUpShot
203085,Austin Rivers,1610612750,MIN,52,25,27,1016.0,3,21,0.143,9,3.0,16.0,0.188,0.214,2022-23,Regular Season,PullUpShot
1630245,Ayo Dosunmu,1610612741,CHI,80,40,40,2098.0,28,75,0.373,58,2.0,5.0,0.4,0.387,2022-23,Regular Season,PullUpShot
1628389,Bam Adebayo,1610612748,MIA,75,40,35,2598.0,106,239,0.444,212,0.0,4.0,0.0,0.444,2022-23,Regular Season,PullUpShot
1627732,Ben Simmons,1610612751,BKN,42,24,18,1105.0,4,17,0.235,8,0.0,2.0,0.0,0.235,2022-23,Regular Season,PullUpShot
1631097,Bennedict Mathurin,1610612754,IND,78,33,45,2222.0,82,235,0.349,208,44.0,126.0,0.349,0.443,2022-23,Regular Season,PullUpShot
202687,Bismack Biyombo,1610612756,PHX,61,33,28,874.0,1,2,0.5,2,nan,nan,nan,0.5,2022-23,Regular Season,PullUpShot
201933,Blake Griffin,1610612738,BOS,41,27,14,569.0,1,8,0.125,3,1.0,8.0,0.125,0.188,2022-23,Regular Season,PullUpShot
1631104,Blake Wesley,1610612759,SAS,37,9,28,669.0,11,60,0.183,25,3.0,8.0,0.375,0.208,2022-23,Regular Season,PullUpShot
1626246,Boban Marjanovic,1610612745,HOU,31,7,24,171.0,4,9,0.444,8,0.0,0.0,nan,0.444,2022-23,Regular Season,PullUpShot
1626171,Bobby Portis,1610612749,MIL,70,47,23,1818.0,56,146,0.384,113,1.0,7.0,0.143,0.387,2022-23,Regular Season,PullUpShot
203992,Bogdan Bogdanović,1610612737,ATL,54,27,27,1509.0,85,207,0.411,211,41.0,95.0,0.432,0.51,2022-23,Regular Season,PullUpShot
202711,Bojan Bogdanovic,1610612765,DET,59,15,44,1893.0,142,325,0.437,317,33.0,101.0,0.327,0.488,2022-23,Regular Season,PullUpShot
1629626,Bol Bol,1610612753,ORL,70,26,44,1505.0,42,127,0.331,95,11.0,45.0,0.244,0.374,2022-23,Regular Season,PullUpShot
1630538,Bones Hyland,1610612746,LAC,56,36,20,1085.0,82,230,0.357,220,56.0,154.0,0.364,0.478,2022-23,Regular Season,PullUpShot
203078,Bradley Beal,1610612764,WAS,50,24,26,1673.0,161,364,0.442,358,36.0,109.0,0.33,0.492,2022-23,Regular Season,PullUpShot
1630527,Brandon Boston,1610612746,LAC,22,9,13,248.0,20,51,0.392,47,7.0,15.0,0.467,0.461,2022-23,Regular Season,PullUpShot
1629634,Brandon Clarke,1610612763,MEM,56,32,24,1090.0,8,13,0.615,16,0.0,0.0,nan,0.615,2022-23,Regular Season,PullUpShot
1627742,Brandon Ingram,1610612740,NOP,45,23,22,1538.0,188,432,0.435,390,14.0,43.0,0.326,0.451,2022-23,Regular Season,PullUpShot
1630296,Braxton Key,1610612765,DET,3,0,3,9.0,1,1,1.0,2,nan,nan,nan,1.0,2022-23,Regular Season,PullUpShot
201572,Brook Lopez,1610612749,MIL,78,57,21,2372.0,33,84,0.393,74,8.0,25.0,0.32,0.44,2022-23,Regular Season,PullUpShot
1628971,Bruce Brown,1610612743,DEN,80,53,27,2279.0,44,128,0.344,96,8.0,32.0,0.25,0.375,2022-23,Regular Season,PullUpShot
1628981,Bruno Fernando,1610612737,ATL,39,13,26,405.0,1,2,0.5,2,0.0,0.0,nan,0.5,2022-23,Regular Season,PullUpShot
1631121,Bryce McGowens,1610612766,CHA,46,16,30,787.0,8,32,0.25,20,4.0,13.0,0.308,0.313,2022-23,Regular Season,PullUpShot
1627854,Bryn Forbes,1610612750,MIN,25,9,16,268.0,12,32,0.375,28,4.0,14.0,0.286,0.438,2022-23,Regular Season,PullUpShot
1631205,Buddy Boeheim,1610612765,DET,10,2,8,90.0,0,1,0.0,0,0.0,1.0,0.0,0.0,2022-23,Regular Season,PullUpShot
1627741,Buddy Hield,1610612754,IND,80,35,45,2482.0,132,306,0.431,349,85.0,194.0,0.438,0.57,2022-23,Regular Season,PullUpShot
203468,CJ McCollum,1610612740,NOP,75,38,37,2649.0,259,618,0.419,596,78.0,219.0,0.356,0.482,2022-23,Regular Season,PullUpShot
1630595,Cade Cunningham,1610612765,DET,12,3,9,400.0,44,106,0.415,96,8.0,33.0,0.242,0.453,2022-23,Regular Season,PullUpShot
1631216,Caleb Houstan,1610612753,ORL,51,20,31,812.0,4,10,0.4,11,3.0,6.0,0.5,0.55,2022-23,Regular Season,PullUpShot
1628997,Caleb Martin,1610612748,MIA,71,38,33,2078.0,46,99,0.465,107,15.0,36.0,0.417,0.54,2022-23,Regular Season,PullUpShot
