PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS,DEF_WS_RAW,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,PCT_DREB_RANK,STL_RANK,PCT_STL_RANK,BLK_RANK,PCT_BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,DEF_WS_RANK,SEASON,SEASON_TYPE,MEASURE_TYPE
1630639,A.J. Lawson,A.J.,1610612742,DAL,23.0,42,27,15,0.643,7.4,105.3,0.9,0.105,0.159,0.2,0.213,0.1,0.094,2.5,2.3,2.9,8.2,0.041,0.04097824589098971,341,231,168,105,486,75,481,361,350,455,207,490,415,81,95,123,90,360,2023-24,Regular Season,Defense
1631260,AJ Green,AJ,1610612749,MIL,24.0,56,35,21,0.625,11.0,110.5,1.0,0.089,0.133,0.2,0.091,0.1,0.082,3.4,3.2,1.9,9.8,0.04,0.040356853885013734,252,155,253,128,422,189,465,438,448,495,524,490,439,116,150,76,116,366,2023-24,Regular Season,Defense
1631100,AJ Griffin,AJ,1610612737,ATL,20.0,20,8,12,0.4,8.5,120.1,0.8,0.108,0.151,0.1,0.036,0.1,0.133,3.3,1.9,2.6,10.1,0.009,0.009364190451899543,439,423,138,385,469,536,489,337,380,536,538,459,338,107,64,103,124,540,2023-24,Regular Season,Defense
203932,Aaron Gordon,Aaron,1610612743,DEN,28.0,73,49,24,0.671,31.5,111.1,4.1,0.129,0.184,0.8,0.162,0.6,0.193,10.0,8.0,9.3,34.4,0.113,0.1132616815001638,99,29,282,75,83,218,93,240,267,184,381,120,225,474,441,494,517,44,2023-24,Regular Season,Defense
1628988,Aaron Holiday,Aaron,1610612745,HOU,27.0,78,39,39,0.5,16.3,107.6,1.3,0.075,0.109,0.5,0.195,0.1,0.05,5.2,4.7,4.0,16.2,0.076,0.0763641549820634,43,117,497,300,312,100,413,501,507,293,265,483,484,231,259,206,256,167,2023-24,Regular Season,Defense
1630174,Aaron Nesmith,Aaron,1610612754,IND,24.0,72,41,31,0.569,27.7,115.0,2.9,0.103,0.158,0.9,0.21,0.7,0.191,8.6,8.4,6.8,32.0,0.069,0.06886293101258784,108,97,406,227,134,403,185,368,353,122,213,95,229,392,466,363,478,200,2023-24,Regular Season,Defense
1630598,Aaron Wiggins,Aaron,1610612760,OKC,25.0,78,55,23,0.705,15.7,110.0,1.6,0.095,0.152,0.7,0.245,0.2,0.109,4.7,5.6,3.7,15.6,0.062,0.062039760315940155,43,14,272,50,323,167,358,409,377,202,132,325,384,194,311,186,246,246,2023-24,Regular Season,Defense
1641745,Adam Flagler,Adam,1610612760,OKC,24.0,2,2,0,1.0,7.0,109.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,9.0,0.029,0.02938616619528963,555,511,1,1,493,154,557,557,557,539,539,520,520,55,134,78,98,450,2023-24,Regular Season,Defense
1641766,Adama Sanogo,Adama,1610612741,CHI,22.0,9,3,6,0.333,7.3,93.6,1.9,0.266,0.362,0.1,0.059,0.0,0.0,2.8,1.8,1.9,5.8,0.066,0.06625779046778614,498,489,80,432,490,17,323,14,24,514,536,520,520,92,60,74,68,217,2023-24,Regular Season,Defense
1629678,Admiral Schofield,Admiral,1610612753,ORL,27.0,23,15,8,0.652,3.7,95.6,0.6,0.149,0.246,0.0,0.111,0.0,0.0,2.1,1.3,1.5,4.0,0.031,0.03098319449875814,420,347,110,98,539,20,513,172,136,538,496,520,520,65,43,57,38,439,2023-24,Regular Season,Defense
201143,Al Horford,Al,1610612738,BOS,38.0,65,51,14,0.785,26.8,109.5,5.1,0.178,0.255,0.6,0.167,1.0,0.258,7.4,7.1,6.5,26.3,0.109,0.10879629172763357,181,26,162,22,153,148,51,104,124,263,357,43,151,333,394,345,394,57,2023-24,Regular Season,Defense
202692,Alec Burks,Alec,1610612752,NYK,32.0,66,18,48,0.273,18.4,118.5,1.9,0.103,0.162,0.4,0.192,0.2,0.096,7.6,5.3,5.2,20.5,0.029,0.02852599661997371,170,316,539,465,271,512,319,367,339,351,275,367,411,347,290,278,325,450,2023-24,Regular Season,Defense
1630197,Aleksej Pokusevski,Aleksej,1610612766,CHA,22.0,28,14,14,0.5,14.5,113.2,2.6,0.173,0.268,0.5,0.259,0.5,0.406,5.0,4.2,4.0,14.9,0.043,0.04285761580930509,399,361,162,300,346,314,236,116,106,296,105,189,69,218,220,203,223,346,2023-24,Regular Season,Defense
1627936,Alex Caruso,Alex,1610612741,CHI,30.0,71,34,37,0.479,28.7,110.6,3.0,0.103,0.154,1.7,0.342,1.0,0.33,8.9,8.1,7.5,26.1,0.11,0.1098196387797139,118,165,475,335,120,192,182,370,365,8,25,41,110,407,444,391,390,53,2023-24,Regular Season,Defense
1641788,Alex Fudge,Alex,1610612742,DAL,21.0,6,1,5,0.167,6.7,129.1,0.2,0.029,0.045,0.5,0.429,0.0,0.0,4.7,2.2,2.2,7.0,-0.01,-0.010403990868307943,525,538,64,530,495,563,550,553,553,314,10,520,520,197,83,91,78,565,2023-24,Regular Season,Defense
203458,Alex Len,Alex,1610612758,SAC,31.0,48,24,24,0.5,9.3,100.8,1.7,0.179,0.258,0.2,0.153,0.7,0.611,2.5,1.9,2.0,7.6,0.062,0.061534393847918055,306,257,282,300,456,41,346,101,120,459,414,94,13,77,69,83,85,246,2023-24,Regular Season,Defense
1631214,Alondes Williams,Alondes,1610612748,MIA,25.0,7,5,2,0.714,2.2,110.5,0.1,0.067,0.1,0.0,0.0,0.1,1.0,2.0,0.7,2.1,2.6,0.01,0.010063497811551232,518,466,28,46,568,191,551,521,521,539,539,403,1,55,21,89,9,538,2023-24,Regular Season,Defense
1630578,Alperen Sengun,Alperen,1610612745,HOU,21.0,63,29,34,0.46,32.5,113.2,6.4,0.193,0.281,1.2,0.241,0.7,0.277,9.3,9.2,7.3,31.8,0.097,0.09658678392853673,191,213,446,351,66,310,23,82,91,40,140,85,138,428,509,379,474,86,2023-24,Regular Season,Defense
1641735,Amari Bailey,Amari,1610612766,CHA,20.0,10,1,9,0.1,6.5,106.0,0.3,0.041,0.064,0.3,0.273,0.0,0.0,2.8,2.6,1.6,5.6,0.033,0.033117908825181855,493,538,118,554,499,82,544,549,549,418,84,520,520,94,107,60,65,424,2023-24,Regular Season,Defense
1641708,Amen Thompson,Amen,1610612745,HOU,21.0,62,30,32,0.484,22.4,109.3,4.2,0.184,0.27,1.3,0.284,0.6,0.253,7.3,5.9,6.2,23.1,0.095,0.09505368459848286,200,201,425,331,214,140,86,96,104,30,74,121,158,330,331,332,355,90,2023-24,Regular Season,Defense
1629599,Amir Coffey,Amir,1610612746,LAC,27.0,70,46,24,0.657,20.9,118.0,1.7,0.08,0.125,0.6,0.186,0.2,0.09,7.7,6.1,7.4,23.7,0.034,0.03448497510877328,128,52,282,92,235,502,347,485,471,262,299,354,422,349,345,380,361,413,2023-24,Regular Season,Defense
203083,Andre Drummond,Andre,1610612741,CHI,30.0,79,37,42,0.468,17.1,113.3,5.6,0.331,0.49,0.9,0.329,0.6,0.316,5.6,4.8,4.5,15.3,0.051,0.05113728261044344,30,139,515,346,295,315,43,2,2,110,39,122,116,253,268,235,236,294,2023-24,Regular Season,Defense
1641748,Andre Jackson Jr.,Andre,1610612749,MIL,22.0,57,33,24,0.579,10.0,119.6,1.2,0.127,0.188,0.3,0.208,0.1,0.109,3.4,3.1,2.8,11.2,0.012,0.011955788430140989,241,173,282,210,444,533,424,246,256,427,221,453,385,114,146,118,150,535,2023-24,Regular Season,Defense
1641847,Andrew Funk,Andrew,1610612741,CHI,24.0,5,3,2,0.6,2.7,93.3,0.0,0.0,0.0,0.2,0.5,0.2,0.25,1.0,1.8,0.0,1.2,0.026,0.02561453521695553,536,489,28,170,560,16,557,557,557,467,3,354,162,19,62,1,5,474,2023-24,Regular Season,Defense
1629614,Andrew Nembhard,Andrew,1610612754,IND,24.0,68,41,27,0.603,25.0,114.0,1.5,0.06,0.093,0.9,0.23,0.1,0.028,8.0,7.4,6.8,28.4,0.069,0.06899796448670169,148,97,344,167,184,348,373,531,534,108,163,473,512,365,409,359,430,200,2023-24,Regular Season,Defense
203952,Andrew Wiggins,Andrew,1610612744,GSW,29.0,71,38,33,0.535,27.0,116.3,3.0,0.105,0.158,0.6,0.175,0.6,0.229,10.4,8.3,8.4,28.2,0.058,0.05764460175881419,118,124,437,279,143,461,175,355,352,256,331,135,187,493,461,442,425,266,2023-24,Regular Season,Defense
1629014,Anfernee Simons,Anfernee,1610612757,POR,25.0,46,11,35,0.239,34.4,120.5,3.2,0.097,0.148,0.5,0.095,0.1,0.042,14.0,9.8,12.1,39.2,0.032,0.03168057631772634,315,392,461,495,29,540,165,399,392,314,523,450,495,571,536,567,561,431,2023-24,Regular Season,Defense
1641710,Anthony Black,Anthony,1610612753,ORL,20.0,69,39,30,0.565,16.9,108.9,1.5,0.093,0.136,0.5,0.18,0.3,0.137,6.6,4.0,5.8,17.4,0.073,0.0729485126219298,138,117,395,236,298,124,374,425,433,311,319,280,328,303,206,311,279,183,2023-24,Regular Season,Defense
203076,Anthony Davis,Anthony,1610612747,LAL,31.0,76,45,31,0.592,35.5,114.0,9.5,0.252,0.366,1.2,0.219,2.3,0.525,12.0,10.6,11.6,36.4,0.099,0.0988279003770363,61,66,406,184,14,350,3,19,20,42,193,4,31,547,562,563,543,78,2023-24,Regular Season,Defense
1630162,Anthony Edwards,Anthony,1610612750,MIN,22.0,79,54,25,0.684,35.1,108.5,4.8,0.131,0.191,1.3,0.224,0.5,0.115,12.0,9.1,9.7,33.7,0.152,0.1521064755610261,30,18,311,67,22,117,64,230,249,28,175,155,371,548,499,512,510,4,2023-24,Regular Season,Defense
1630264,Anthony Gill,Anthony,1610612764,WAS,31.0,50,9,41,0.18,9.3,112.1,1.1,0.117,0.184,0.3,0.188,0.2,0.244,3.1,3.0,2.1,9.4,0.031,0.03105089098720846,291,412,507,526,454,264,434,292,265,441,288,342,174,101,140,87,105,439,2023-24,Regular Season,Defense
1629717,Armoni Brooks,Armoni,1610612751,BKN,26.0,10,3,7,0.3,10.4,114.0,1.1,0.098,0.153,0.1,0.077,0.1,0.143,2.3,3.9,2.1,9.0,0.029,0.028968369241837405,493,489,93,452,435,355,440,395,372,518,532,459,313,70,197,85,98,450,2023-24,Regular Season,Defense
1630204,Ashton Hagans,Ashton,1610612757,POR,24.0,19,3,16,0.158,16.6,106.5,1.6,0.101,0.16,0.6,0.234,0.5,0.257,6.2,4.2,4.5,14.9,0.08,0.07990486928914295,446,489,184,536,310,85,355,381,346,268,155,182,152,290,215,234,227,150,2023-24,Regular Season,Defense
1641709,Ausar Thompson,Ausar,1610612765,DET,21.0,63,10,53,0.159,25.1,113.1,4.3,0.173,0.252,1.1,0.318,0.9,0.331,9.8,6.9,7.7,26.3,0.077,0.07739288534577526,191,403,555,535,180,305,78,117,131,63,45,44,109,455,383,398,395,164,2023-24,Regular Season,Defense
1630559,Austin Reaves,Austin,1610612747,LAL,26.0,82,47,35,0.573,32.1,115.6,3.6,0.107,0.157,0.8,0.175,0.3,0.082,11.1,9.4,10.9,34.0,0.074,0.073879185526085,2,45,461,222,73,435,127,342,356,163,330,279,438,522,519,549,511,175,2023-24,Regular Season,Defense
1630245,Ayo Dosunmu,Ayo,1610612741,CHI,24.0,76,37,39,0.487,29.1,114.9,2.1,0.072,0.108,0.9,0.199,0.5,0.158,9.4,8.4,8.0,27.7,0.074,0.0736213295806784,61,139,497,329,114,401,298,512,510,128,256,182,291,432,464,425,420,175,2023-24,Regular Season,Defense
1628389,Bam Adebayo,Bam,1610612748,MIA,26.0,71,40,31,0.563,34.0,109.3,8.1,0.242,0.349,1.1,0.2,0.9,0.373,10.5,9.5,9.4,31.9,0.14,0.1398261863640097,118,110,406,241,37,142,10,23,31,53,243,45,81,496,527,495,477,6,2023-24,Regular Season,Defense
1641767,Ben Sheppard,Ben,1610612754,IND,22.0,57,32,25,0.561,14.3,114.2,1.3,0.092,0.142,0.6,0.219,0.0,0.021,4.2,4.5,4.4,17.1,0.04,0.03979130246845593,241,183,311,246,351,359,412,429,414,268,195,513,517,171,247,233,270,366,2023-24,Regular Season,Defense
1627732,Ben Simmons,Ben,1610612751,BKN,27.0,15,7,8,0.467,23.9,113.0,5.9,0.241,0.335,0.8,0.222,0.6,0.265,8.1,5.7,8.3,25.5,0.077,0.07688495795384752,467,440,110,349,198,301,36,24,41,167,180,123,146,367,312,441,383,164,2023-24,Regular Season,Defense
