PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1630639,A.J. Lawson,1610612742,DAL,42,27,15,311.0,15,51,0.294,43,13.0,49.0,0.265,0.422,2023-24,Regular Season,CatchShoot
1631260,AJ Green,1610612749,MIL,56,35,21,614.0,61,142,0.43,181,59.0,140.0,0.421,0.637,2023-24,Regular Season,CatchShoot
1631100,AJ Griffin,1610612737,ATL,20,8,12,171.0,5,24,0.208,15,5.0,23.0,0.217,0.313,2023-24,Regular Season,CatchShoot
203932,Aaron Gordon,1610612743,DEN,73,49,24,2297.0,32,110,0.291,92,28.0,94.0,0.298,0.418,2023-24,Regular Season,CatchShoot
1628988,Aaron Holiday,1610612745,HOU,78,39,39,1269.0,67,160,0.419,200,66.0,158.0,0.418,0.625,2023-24,Regular Season,CatchShoot
1630174,Aaron Nesmith,1610612754,IND,72,41,31,1995.0,126,293,0.43,376,124.0,291.0,0.426,0.642,2023-24,Regular Season,CatchShoot
1630598,Aaron Wiggins,1610612760,OKC,78,55,23,1228.0,54,113,0.478,162,54.0,112.0,0.482,0.717,2023-24,Regular Season,CatchShoot
1641745,Adam Flagler,1610612760,OKC,2,2,0,14.0,0,2,0.0,0,0.0,2.0,0.0,0.0,2023-24,Regular Season,CatchShoot
1641766,Adama Sanogo,1610612741,CHI,9,3,6,66.0,0,0,nan,0,nan,nan,nan,nan,2023-24,Regular Season,CatchShoot
1629678,Admiral Schofield,1610612753,ORL,23,15,8,84.0,5,14,0.357,15,5.0,14.0,0.357,0.536,2023-24,Regular Season,CatchShoot
201143,Al Horford,1610612738,BOS,65,51,14,1740.0,109,253,0.431,321,103.0,240.0,0.429,0.634,2023-24,Regular Season,CatchShoot
202692,Alec Burks,1610612752,NYK,66,18,48,1212.0,82,205,0.4,246,82.0,203.0,0.404,0.6,2023-24,Regular Season,CatchShoot
1630197,Aleksej Pokusevski,1610612766,CHA,28,14,14,405.0,16,49,0.327,47,15.0,46.0,0.326,0.48,2023-24,Regular Season,CatchShoot
1627936,Alex Caruso,1610612741,CHI,71,34,37,2040.0,110,274,0.401,330,110.0,271.0,0.406,0.602,2023-24,Regular Season,CatchShoot
1641788,Alex Fudge,1610612742,DAL,6,1,5,40.0,1,6,0.167,3,1.0,5.0,0.2,0.25,2023-24,Regular Season,CatchShoot
203458,Alex Len,1610612758,SAC,48,24,24,444.0,4,11,0.364,8,0.0,3.0,0.0,0.364,2023-24,Regular Season,CatchShoot
1631214,Alondes Williams,1610612748,MIA,7,5,2,16.0,0,4,0.0,0,0.0,4.0,0.0,0.0,2023-24,Regular Season,CatchShoot
1630578,Alperen Sengun,1610612745,HOU,63,29,34,2046.0,67,165,0.406,162,28.0,84.0,0.333,0.491,2023-24,Regular Season,CatchShoot
1641735,Amari Bailey,1610612766,CHA,10,1,9,65.0,1,7,0.143,3,1.0,7.0,0.143,0.214,2023-24,Regular Season,CatchShoot
1641708,Amen Thompson,1610612745,HOU,62,30,32,1389.0,11,55,0.2,30,8.0,47.0,0.17,0.273,2023-24,Regular Season,CatchShoot
