PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_PTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1630639,A.J. Lawson,1610612742,DAL,41,26,15,308.0,268,236,20,0.0,2,27,52,22,0.075,0.082,2023-24,Regular Season,Passing
1631260,AJ Green,1610612749,MIL,56,35,21,614.0,459,483,30,1.0,4,58,71,34,0.065,0.074,2023-24,Regular Season,Passing
1631100,AJ Griffin,1610612737,ATL,20,8,12,171.0,96,120,5,1.0,3,10,16,9,0.052,0.094,2023-24,Regular Season,Passing
203932,Aaron Gordon,1610612743,DEN,71,47,24,2244.0,2006,2018,250,20.0,21,402,651,290,0.125,0.145,2023-24,Regular Season,Passing
1628988,Aaron Holiday,1610612745,HOU,78,39,39,1269.0,1473,1590,140,14.0,9,268,373,161,0.095,0.109,2023-24,Regular Season,Passing
1630174,Aaron Nesmith,1610612754,IND,72,41,31,1995.0,2015,1745,108,7.0,18,167,265,132,0.054,0.066,2023-24,Regular Season,Passing
1630598,Aaron Wiggins,1610612760,OKC,78,55,23,1228.0,1046,969,86,6.0,14,127,216,106,0.082,0.101,2023-24,Regular Season,Passing
1641745,Adam Flagler,1610612760,OKC,2,2,0,14.0,12,18,4,0.0,0,5,11,4,0.333,0.333,2023-24,Regular Season,Passing
1641766,Adama Sanogo,1610612741,CHI,9,3,6,66.0,52,34,0,0.0,1,1,0,1,0.0,0.019,2023-24,Regular Season,Passing
1629678,Admiral Schofield,1610612753,ORL,23,15,8,84.0,126,97,7,0.0,0,17,17,7,0.056,0.056,2023-24,Regular Season,Passing
201143,Al Horford,1610612738,BOS,64,50,14,1708.0,1631,1252,165,7.0,7,260,423,174,0.101,0.107,2023-24,Regular Season,Passing
202692,Alec Burks,1610612752,NYK,66,18,48,1212.0,1230,1398,88,8.0,7,137,225,102,0.072,0.083,2023-24,Regular Season,Passing
1630197,Aleksej Pokusevski,1610612766,CHA,27,13,14,398.0,453,361,35,3.0,5,74,94,43,0.077,0.095,2023-24,Regular Season,Passing
1627936,Alex Caruso,1610612741,CHI,70,34,36,2004.0,2890,2227,241,21.0,37,392,585,299,0.083,0.103,2023-24,Regular Season,Passing
1641788,Alex Fudge,1610612742,DAL,6,1,5,40.0,21,22,0,0.0,0,1,0,0,0.0,0.0,2023-24,Regular Season,Passing
203458,Alex Len,1610612758,SAC,48,24,24,444.0,568,415,50,2.0,3,72,130,55,0.088,0.097,2023-24,Regular Season,Passing
1631214,Alondes Williams,1610612748,MIA,7,5,2,16.0,27,34,0,1.0,0,5,2,1,0.0,0.037,2023-24,Regular Season,Passing
1630578,Alperen Sengun,1610612745,HOU,63,29,34,2046.0,2490,2824,312,16.0,32,528,793,360,0.125,0.145,2023-24,Regular Season,Passing
1641735,Amari Bailey,1610612766,CHA,10,1,9,65.0,42,59,7,0.0,0,8,19,7,0.167,0.167,2023-24,Regular Season,Passing
1641708,Amen Thompson,1610612745,HOU,62,30,32,1389.0,1831,1485,163,17.0,16,327,436,198,0.089,0.108,2023-24,Regular Season,Passing
1629599,Amir Coffey,1610612746,LAC,69,45,24,1445.0,957,948,76,5.0,8,119,200,88,0.079,0.092,2023-24,Regular Season,Passing
203083,Andre Drummond,1610612741,CHI,78,37,41,1339.0,971,775,37,4.0,5,51,95,46,0.038,0.047,2023-24,Regular Season,Passing
1641748,Andre Jackson Jr.,1610612749,MIL,57,33,24,572.0,513,359,50,1.0,6,79,129,57,0.097,0.111,2023-24,Regular Season,Passing
1641847,Andrew Funk,1610612741,CHI,5,3,2,13.0,9,9,0,0.0,0,0,0,0,0.0,0.0,2023-24,Regular Season,Passing
1629614,Andrew Nembhard,1610612754,IND,68,41,27,1697.0,2422,2583,280,19.0,43,456,699,340,0.116,0.14,2023-24,Regular Season,Passing
203952,Andrew Wiggins,1610612744,GSW,70,38,32,1894.0,1589,1780,118,5.0,22,234,315,143,0.074,0.09,2023-24,Regular Season,Passing
1629014,Anfernee Simons,1610612757,POR,45,10,35,1540.0,2171,2823,248,26.0,43,450,626,318,0.114,0.146,2023-24,Regular Season,Passing
1641710,Anthony Black,1610612753,ORL,69,39,30,1164.0,1446,1285,91,14.0,14,195,249,119,0.063,0.082,2023-24,Regular Season,Passing
203076,Anthony Davis,1610612747,LAL,75,44,31,2669.0,3771,3274,261,14.0,54,376,642,327,0.069,0.087,2023-24,Regular Season,Passing
1630162,Anthony Edwards,1610612750,MIN,79,54,25,2770.0,3368,4193,405,31.0,72,629,1084,508,0.12,0.151,2023-24,Regular Season,Passing
1630264,Anthony Gill,1610612764,WAS,50,9,41,466.0,386,373,34,4.0,5,59,92,43,0.088,0.111,2023-24,Regular Season,Passing
1629717,Armoni Brooks,1610612751,BKN,10,3,7,104.0,102,114,5,0.0,0,8,8,4,0.049,0.039,2023-24,Regular Season,Passing
1630204,Ashton Hagans,1610612757,POR,19,3,16,316.0,598,598,54,6.0,4,127,139,64,0.09,0.107,2023-24,Regular Season,Passing
1641709,Ausar Thompson,1610612765,DET,62,10,52,1572.0,1244,1070,120,4.0,11,213,291,133,0.096,0.107,2023-24,Regular Season,Passing
1630559,Austin Reaves,1610612747,LAL,81,46,35,2606.0,3596,3689,443,32.0,56,747,1093,522,0.123,0.145,2023-24,Regular Season,Passing
1630245,Ayo Dosunmu,1610612741,CHI,75,37,38,2176.0,2580,2556,238,16.0,40,430,575,287,0.092,0.111,2023-24,Regular Season,Passing
1628389,Bam Adebayo,1610612748,MIA,71,40,31,2416.0,3026,2973,278,19.0,28,456,710,323,0.092,0.107,2023-24,Regular Season,Passing
1641767,Ben Sheppard,1610612754,IND,57,32,25,814.0,920,820,53,5.0,12,76,130,70,0.058,0.076,2023-24,Regular Season,Passing
1627732,Ben Simmons,1610612751,BKN,15,7,8,359.0,749,588,86,4.0,4,142,227,94,0.115,0.126,2023-24,Regular Season,Passing
1631097,Bennedict Mathurin,1610612754,IND,59,33,26,1538.0,1549,1782,119,8.0,29,183,294,152,0.077,0.098,2023-24,Regular Season,Passing
1641731,Bilal Coulibaly,1610612764,WAS,63,11,52,1715.0,1432,1205,110,9.0,17,193,280,134,0.077,0.094,2023-24,Regular Season,Passing
202687,Bismack Biyombo,1610612760,OKC,40,20,20,791.0,882,549,53,2.0,5,77,139,61,0.06,0.069,2023-24,Regular Season,Passing
1631104,Blake Wesley,1610612759,SAS,60,18,42,856.0,1334,1394,157,13.0,14,301,425,186,0.118,0.139,2023-24,Regular Season,Passing
1626246,Boban Marjanovic,1610612745,HOU,14,9,5,71.0,71,63,6,0.0,0,6,12,5,0.085,0.07,2023-24,Regular Season,Passing
1626171,Bobby Portis,1610612749,MIL,82,49,33,2008.0,2304,1735,104,7.0,19,188,275,129,0.045,0.056,2023-24,Regular Season,Passing
203992,Bogdan Bogdanović,1610612737,ATL,79,35,44,2401.0,2408,2685,247,32.0,28,441,622,302,0.103,0.125,2023-24,Regular Season,Passing
202711,Bojan Bogdanovic,1610612752,NYK,57,20,37,1478.0,1014,1509,97,9.0,12,185,254,118,0.096,0.116,2023-24,Regular Season,Passing
1629626,Bol Bol,1610612756,PHX,42,28,14,459.0,352,282,17,1.0,5,30,39,22,0.048,0.063,2023-24,Regular Season,Passing
1630538,Bones Hyland,1610612746,LAC,36,19,17,527.0,794,917,92,7.0,7,124,229,108,0.116,0.136,2023-24,Regular Season,Passing
203078,Bradley Beal,1610612756,PHX,52,33,19,1729.0,2481,2690,261,20.0,58,419,649,328,0.105,0.132,2023-24,Regular Season,Passing
1641764,Brandin Podziemski,1610612744,GSW,73,41,32,1938.0,2584,2333,266,20.0,38,434,666,318,0.103,0.123,2023-24,Regular Season,Passing
1630527,Brandon Boston,1610612746,LAC,32,17,15,345.0,323,347,13,0.0,4,39,23,14,0.04,0.043,2023-24,Regular Season,Passing
1629634,Brandon Clarke,1610612763,MEM,6,2,4,134.0,129,142,9,0.0,1,16,20,10,0.07,0.078,2023-24,Regular Season,Passing
1627742,Brandon Ingram,1610612740,NOP,63,38,25,2071.0,2642,3348,356,37.0,70,661,927,463,0.135,0.175,2023-24,Regular Season,Passing
1641706,Brandon Miller,1610612766,CHA,73,17,56,2347.0,2583,2843,172,10.0,37,323,447,219,0.067,0.085,2023-24,Regular Season,Passing
1630314,Brandon Williams,1610612742,DAL,17,10,7,113.0,151,183,17,1.0,0,29,39,18,0.113,0.119,2023-24,Regular Season,Passing
1630296,Braxton Key,1610612743,DEN,20,14,6,60.0,92,64,9,0.0,1,15,24,11,0.098,0.12,2023-24,Regular Season,Passing
1641729,Brice Sensabaugh,1610612762,UTA,31,8,23,553.0,443,507,52,2.0,5,84,127,59,0.117,0.133,2023-24,Regular Season,Passing
201572,Brook Lopez,1610612749,MIL,79,48,31,2411.0,1545,1683,127,7.0,18,180,323,151,0.082,0.098,2023-24,Regular Season,Passing
1628971,Bruce Brown,1610612761,TOR,67,26,41,1865.0,2106,2018,192,22.0,32,335,498,247,0.091,0.117,2023-24,Regular Season,Passing
1628981,Bruno Fernando,1610612737,ATL,45,20,25,682.0,618,610,46,3.0,5,77,121,54,0.074,0.087,2023-24,Regular Season,Passing
1631121,Bryce McGowens,1610612766,CHA,59,11,48,882.0,660,675,51,2.0,8,82,126,61,0.077,0.092,2023-24,Regular Season,Passing
1631205,Buddy Boeheim,1610612765,DET,10,0,10,84.0,47,56,3,0.0,1,7,7,4,0.064,0.085,2023-24,Regular Season,Passing
1627741,Buddy Hield,1610612755,PHI,83,45,38,2138.0,3095,2776,231,19.0,20,351,572,267,0.075,0.086,2023-24,Regular Season,Passing
203468,CJ McCollum,1610612740,NOP,65,42,23,2133.0,3012,3661,303,43.0,40,514,778,385,0.101,0.128,2023-24,Regular Season,Passing
