PLAYER_ID,PLAYER_NAME,POSITION,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON,SEASON_TYPE
1630639,A.J. Lawson,SG,1610612761,TOR,24.0,6-6,78,179.0,South Carolina,Canada,Undrafted,Undrafted,Undrafted,26,9.1,3.3,1.2,-1.4,0.036,0.128,0.189,0.542,0.093,2024-25,Regular Season
1631260,AJ Green,SG,1610612749,MIL,25.0,6-4,76,190.0,Northern Iowa,USA,Undrafted,Undrafted,Undrafted,73,7.4,2.4,1.5,6.4,0.011,0.087,0.123,0.621,0.086,2024-25,Regular Season
1642358,AJ Johnson,SG,1610612764,WAS,20.0,6-5,77,160.0,,USA,2024,1,23,29,7.6,2.0,2.6,-11.5,0.011,0.073,0.173,0.48,0.178,2024-25,Regular Season
203932,Aaron Gordon,PF,1610612743,DEN,29.0,6-8,80,235.0,Arizona,USA,2014,1,4,51,14.7,4.8,3.2,9.5,0.06,0.109,0.186,0.65,0.143,2024-25,Regular Season
1628988,Aaron Holiday,PG,1610612745,HOU,28.0,6-0,72,185.0,UCLA,USA,2018,1,23,62,5.5,1.3,1.3,6.7,0.015,0.073,0.162,0.594,0.142,2024-25,Regular Season
1630174,Aaron Nesmith,SF,1610612754,IND,25.0,6-6,78,215.0,Vanderbilt,USA,2020,1,14,45,12.0,4.0,1.2,8.5,0.034,0.118,0.171,0.653,0.063,2024-25,Regular Season
1630598,Aaron Wiggins,SG,1610612760,OKC,26.0,6-5,77,190.0,Maryland,USA,2021,2,55,76,12.0,3.9,1.8,14.2,0.046,0.113,0.2,0.596,0.102,2024-25,Regular Season
1641745,Adam Flagler,SG,1610612760,OKC,25.0,6-3,75,180.0,Baylor,USA,Undrafted,Undrafted,Undrafted,37,1.8,0.7,0.3,2.3,0.029,0.086,0.207,0.335,0.094,2024-25,Regular Season
1641766,Adama Sanogo,C,1610612741,CHI,23.0,6-9,81,245.0,UCONN,Mali,Undrafted,Undrafted,Undrafted,4,2.0,1.5,0.3,-18.1,0.217,0.053,0.145,0.571,0.067,2024-25,Regular Season
1641737,Adem Bona,C,1610612755,PHI,22.0,6-10,82,235.0,UCLA,Nigeria,2024,2,41,58,5.8,4.2,0.5,-6.6,0.097,0.164,0.135,0.714,0.043,2024-25,Regular Season
1642349,Ajay Mitchell,SG,1610612760,OKC,23.0,6-5,77,190.0,California-Santa Barbara,Belgium,2024,2,38,36,6.5,1.9,1.8,9.7,0.028,0.08,0.159,0.587,0.153,2024-25,Regular Season
201143,Al Horford,C,1610612738,BOS,39.0,6-9,81,240.0,Florida,Dominican Republic,2007,1,3,60,9.0,6.2,2.1,11.5,0.046,0.165,0.136,0.563,0.102,2024-25,Regular Season
202692,Alec Burks,SG,1610612748,MIA,33.0,6-5,77,214.0,Colorado,USA,2011,1,12,49,7.3,2.5,1.1,5.9,0.018,0.119,0.16,0.608,0.09,2024-25,Regular Season
1627936,Alex Caruso,SG,1610612760,OKC,31.0,6-5,77,186.0,Texas A&M,USA,Undrafted,Undrafted,Undrafted,54,7.1,2.9,2.5,15.0,0.035,0.108,0.147,0.568,0.171,2024-25,Regular Season
1642505,Alex Ducas,SG,1610612760,OKC,24.0,6-7,79,220.0,St. Mary's (CA),Australia,Undrafted,Undrafted,Undrafted,21,1.7,1.2,0.2,-6.7,0.06,0.119,0.115,0.583,0.058,2024-25,Regular Season
203458,Alex Len,C,1610612747,LAL,32.0,7-0,84,250.0,Maryland,Ukraine,2013,1,5,46,1.6,2.1,0.8,-17.5,0.094,0.142,0.101,0.525,0.143,2024-25,Regular Season
1642024,Alex Reese,PF,1610612755,PHI,26.0,6-9,81,245.0,Alabama,USA,Undrafted,Undrafted,Undrafted,15,5.1,3.1,0.3,5.5,0.041,0.161,0.123,0.641,0.023,2024-25,Regular Season
1642259,Alex Sarr,C,1610612764,WAS,20.0,7-0,84,205.0,,France,2024,1,2,67,13.0,6.5,2.4,-13.7,0.06,0.158,0.23,0.482,0.139,2024-25,Regular Season
1631214,Alondes Williams,SG,1610612746,LAC,26.0,6-4,76,210.0,Wake Forest,USA,Undrafted,Undrafted,Undrafted,1,5.0,0.0,1.0,85.7,0.0,0.0,0.286,1.25,0.333,2024-25,Regular Season
1630578,Alperen Sengun,C,1610612745,HOU,22.0,6-11,83,243.0,,Turkey,2021,1,16,76,19.1,10.3,4.9,7.6,0.099,0.21,0.259,0.545,0.238,2024-25,Regular Season
1641708,Amen Thompson,SF,1610612745,HOU,22.0,6-7,79,200.0,,USA,2023,1,4,69,14.1,8.2,3.8,6.3,0.078,0.159,0.172,0.602,0.167,2024-25,Regular Season
1629599,Amir Coffey,SG,1610612746,LAC,28.0,6-7,79,210.0,Minnesota,USA,Undrafted,Undrafted,Undrafted,72,9.7,2.2,1.1,-1.4,0.019,0.072,0.15,0.614,0.065,2024-25,Regular Season
203083,Andre Drummond,C,1610612755,PHI,31.0,6-11,83,279.0,Connecticut,USA,2012,1,9,40,7.3,7.8,0.9,-15.5,0.134,0.288,0.183,0.535,0.07,2024-25,Regular Season
1641748,Andre Jackson Jr.,SG,1610612749,MIL,23.0,6-6,78,209.0,Connecticut,USA,2023,2,36,67,3.4,2.7,1.2,-1.5,0.066,0.114,0.115,0.554,0.109,2024-25,Regular Season
1629614,Andrew Nembhard,SG,1610612754,IND,25.0,6-4,76,191.0,Gonzaga,Canada,2022,2,31,65,10.0,3.3,5.0,5.3,0.018,0.093,0.163,0.545,0.225,2024-25,Regular Season
203952,Andrew Wiggins,SF,1610612748,MIA,30.0,6-7,79,197.0,Kansas,Canada,2014,1,1,60,18.0,4.5,2.6,-2.3,0.045,0.095,0.238,0.566,0.137,2024-25,Regular Season
1629014,Anfernee Simons,SG,1610612757,POR,26.0,6-3,75,200.0,,USA,2018,1,24,70,19.3,2.7,4.8,-4.6,0.01,0.069,0.241,0.557,0.241,2024-25,Regular Season
1641710,Anthony Black,PG,1610612753,ORL,21.0,6-7,79,200.0,Arkansas,USA,2023,1,6,78,9.4,2.9,3.1,-0.9,0.026,0.1,0.19,0.521,0.201,2024-25,Regular Season
203076,Anthony Davis,PF,1610612742,DAL,32.0,6-10,82,253.0,Kentucky,USA,2012,1,1,51,24.7,11.6,3.5,0.5,0.083,0.254,0.301,0.588,0.182,2024-25,Regular Season
1630162,Anthony Edwards,SG,1610612750,MIN,23.0,6-4,76,225.0,Georgia,USA,2020,1,1,79,27.6,5.7,4.5,4.8,0.021,0.131,0.307,0.595,0.209,2024-25,Regular Season
1630264,Anthony Gill,PF,1610612764,WAS,32.0,6-8,80,230.0,Virginia,USA,Undrafted,Undrafted,Undrafted,51,2.5,1.3,0.3,-7.8,0.042,0.111,0.124,0.586,0.059,2024-25,Regular Season
1641817,Anton Watson,SF,1610612752,NYK,24.0,6-8,80,225.0,Gonzaga,USA,2024,2,54,9,0.9,0.3,0.2,-15.3,0.05,0.118,0.193,0.444,0.125,2024-25,Regular Season
1641810,Antonio Reeves,SG,1610612740,NOP,24.0,6-5,77,205.0,Kentucky,USA,2024,2,47,44,6.9,1.4,0.9,-10.2,0.026,0.07,0.183,0.579,0.089,2024-25,Regular Season
1630574,Ariel Hukporti,C,1610612752,NYK,23.0,6-11,83,246.0,,Germany,2024,2,58,25,1.9,2.0,0.4,-12.4,0.066,0.151,0.113,0.654,0.075,2024-25,Regular Season
1642422,Armel Traore,SF,1610612747,LAL,22.0,6-9,81,245.0,,France,Undrafted,Undrafted,Undrafted,9,1.6,1.7,0.1,-37.3,0.026,0.228,0.153,0.317,0.026,2024-25,Regular Season
1641709,Ausar Thompson,SF,1610612765,DET,22.0,6-6,78,205.0,,USA,2023,1,5,59,10.1,5.1,2.3,4.0,0.081,0.139,0.185,0.568,0.139,2024-25,Regular Season
1630559,Austin Reaves,SG,1610612747,LAL,27.0,6-5,77,197.0,Oklahoma,USA,Undrafted,Undrafted,Undrafted,73,20.2,4.5,5.8,3.8,0.025,0.101,0.23,0.616,0.241,2024-25,Regular Season
1630245,Ayo Dosunmu,SG,1610612741,CHI,25.0,6-5,77,200.0,Illinois,USA,2021,2,38,46,12.3,3.5,4.5,-7.7,0.018,0.09,0.163,0.585,0.21,2024-25,Regular Season
1628389,Bam Adebayo,C,1610612748,MIA,27.0,6-9,81,255.0,Kentucky,USA,2017,1,14,78,18.1,9.6,4.3,0.1,0.069,0.214,0.232,0.561,0.204,2024-25,Regular Season
1631248,Baylor Scheierman,SG,1610612738,BOS,24.0,6-6,78,205.0,Creighton,USA,2024,1,30,31,3.6,2.1,1.1,4.1,0.048,0.117,0.143,0.49,0.12,2024-25,Regular Season
1641767,Ben Sheppard,SG,1610612754,IND,23.0,6-6,78,190.0,Belmont,USA,2023,1,26,63,5.3,2.8,1.3,-2.2,0.035,0.106,0.108,0.555,0.087,2024-25,Regular Season
1627732,Ben Simmons,PG,1610612746,LAC,28.0,6-10,82,240.0,Louisiana State,Australia,2016,1,1,51,5.0,4.7,5.6,-1.8,0.043,0.184,0.133,0.539,0.358,2024-25,Regular Season
1631097,Bennedict Mathurin,SF,1610612754,IND,23.0,6-5,77,210.0,Arizona,Canada,2022,1,6,72,16.1,5.3,1.9,1.6,0.041,0.133,0.222,0.579,0.09,2024-25,Regular Season
1641731,Bilal Coulibaly,SF,1610612764,WAS,20.0,6-8,80,195.0,,France,2023,1,7,59,12.3,5.0,3.4,-13.8,0.043,0.098,0.175,0.515,0.15,2024-25,Regular Season
202687,Bismack Biyombo,C,1610612759,SAS,32.0,6-8,80,255.0,,DRC,2011,1,7,28,5.1,5.6,1.1,-9.2,0.08,0.207,0.124,0.576,0.079,2024-25,Regular Season
1631104,Blake Wesley,SG,1610612759,SAS,22.0,6-3,75,185.0,Notre Dame,USA,2022,1,25,58,3.7,1.1,2.0,0.5,0.025,0.062,0.165,0.51,0.225,2024-25,Regular Season
1626171,Bobby Portis,PF,1610612749,MIL,30.0,6-10,82,250.0,Arkansas,USA,2015,1,22,49,13.9,8.4,2.1,3.4,0.071,0.235,0.234,0.542,0.126,2024-25,Regular Season
1641752,Bobi Klintman,SF,1610612765,DET,22.0,6-9,81,225.0,,Sweden,2024,2,37,8,1.9,0.9,0.9,4.2,0.024,0.182,0.121,0.689,0.212,2024-25,Regular Season
203992,Bogdan Bogdanović,SG,1610612746,LAC,32.0,6-5,77,225.0,,Serbia,2014,1,27,54,10.8,2.9,2.7,2.7,0.017,0.098,0.183,0.559,0.152,2024-25,Regular Season
1629626,Bol Bol,PF,1610612756,PHX,25.0,7-3,87,220.0,Oregon,Sudan,2019,2,44,36,6.8,2.9,0.6,-3.9,0.047,0.168,0.204,0.627,0.071,2024-25,Regular Season
1630538,Bones Hyland,PG,1610612750,MIN,24.0,6-2,74,169.0,Virginia Commonwealth,USA,2021,1,26,24,6.2,1.0,1.3,-6.1,0.02,0.083,0.274,0.576,0.246,2024-25,Regular Season
203078,Bradley Beal,SG,1610612756,PHX,32.0,6-4,76,207.0,Florida,USA,2012,1,3,53,17.0,3.3,3.7,-8.0,0.021,0.083,0.219,0.598,0.177,2024-25,Regular Season
1642382,Branden Carlson,C,1610612760,OKC,26.0,7-0,84,220.0,Utah,USA,Undrafted,Undrafted,Undrafted,32,3.8,1.7,0.4,9.4,0.064,0.131,0.185,0.581,0.077,2024-25,Regular Season
1641764,Brandin Podziemski,SG,1610612744,GSW,22.0,6-4,76,205.0,Santa Clara,USA,2023,1,19,64,11.7,5.1,3.4,6.6,0.034,0.151,0.177,0.557,0.194,2024-25,Regular Season
1630527,Brandon Boston,SG,1610612740,NOP,23.0,6-6,78,188.0,Kentucky,USA,2021,2,51,42,10.7,3.2,2.2,-6.2,0.026,0.107,0.199,0.535,0.14,2024-25,Regular Season
1629634,Brandon Clarke,PF,1610612763,MEM,28.0,6-8,80,215.0,Gonzaga,Canada,2019,1,21,64,8.3,5.1,1.0,8.2,0.102,0.148,0.15,0.638,0.072,2024-25,Regular Season
1627742,Brandon Ingram,SF,1610612761,TOR,27.0,6-8,80,190.0,Duke,USA,2016,1,2,18,22.2,5.6,5.2,-10.7,0.027,0.14,0.305,0.56,0.28,2024-25,Regular Season
1641706,Brandon Miller,SF,1610612766,CHA,22.0,6-7,79,200.0,Alabama,USA,2023,1,2,27,21.0,4.9,3.6,-6.8,0.024,0.117,0.27,0.54,0.182,2024-25,Regular Season
1630314,Brandon Williams,PG,1610612742,DAL,25.0,6-1,73,190.0,Arizona,USA,Undrafted,Undrafted,Undrafted,33,8.3,1.8,2.3,0.7,0.025,0.091,0.218,0.634,0.228,2024-25,Regular Season
1630296,Braxton Key,SF,1610612744,GSW,28.0,6-8,80,225.0,Virginia,USA,Undrafted,Undrafted,Undrafted,3,1.0,0.7,0.0,-30.7,0.077,0.167,0.222,0.226,0.0,2024-25,Regular Season
1641729,Brice Sensabaugh,SF,1610612762,UTA,21.0,6-5,77,235.0,Ohio State,USA,2023,1,28,71,10.9,3.0,1.5,-9.6,0.028,0.11,0.208,0.612,0.117,2024-25,Regular Season
1642355,Bronny James,SG,1610612747,LAL,20.0,6-3,75,210.0,Southern California,USA,2024,2,55,27,2.3,0.7,0.8,-18.6,0.021,0.076,0.199,0.424,0.191,2024-25,Regular Season
201572,Brook Lopez,C,1610612749,MIL,37.0,7-1,85,282.0,Stanford,USA,2008,1,10,80,13.0,5.0,1.8,2.2,0.046,0.107,0.157,0.624,0.078,2024-25,Regular Season
1628971,Bruce Brown,PG,1610612740,NOP,28.0,6-4,76,202.0,Miami,USA,2018,2,42,41,8.3,4.0,2.0,-11.9,0.04,0.134,0.169,0.504,0.133,2024-25,Regular Season
1628981,Bruno Fernando,C,1610612761,TOR,26.0,6-9,81,240.0,Maryland,Angola,2019,2,34,17,3.4,3.0,1.1,-6.1,0.127,0.21,0.182,0.552,0.194,2024-25,Regular Season
1631121,Bryce McGowens,SG,1610612757,POR,22.0,6-6,78,190.0,Nebraska,USA,2022,2,40,13,1.0,0.2,0.2,-7.2,0.056,0.034,0.244,0.391,0.105,2024-25,Regular Season
1642267,Bub Carrington,PG,1610612764,WAS,19.0,6-4,76,190.0,Pittsburgh,USA,2024,1,14,82,9.8,4.2,4.4,-15.2,0.012,0.117,0.154,0.514,0.213,2024-25,Regular Season
1627741,Buddy Hield,SG,1610612744,GSW,32.0,6-4,76,220.0,Oklahoma,Bahamas,2016,1,6,82,11.1,3.2,1.6,2.2,0.025,0.111,0.196,0.56,0.106,2024-25,Regular Season
203468,CJ McCollum,PG,1610612740,NOP,33.0,6-3,75,190.0,Lehigh,USA,2013,1,10,56,21.1,3.8,4.1,-7.1,0.022,0.091,0.266,0.55,0.192,2024-25,Regular Season
1630595,Cade Cunningham,PG,1610612765,DET,23.0,6-6,78,220.0,Oklahoma State,USA,2021,1,1,70,26.1,6.1,9.1,2.8,0.023,0.147,0.323,0.565,0.409,2024-25,Regular Season
1631216,Caleb Houstan,SF,1610612753,ORL,22.0,6-8,80,205.0,Michigan,Canada,2022,2,32,58,4.1,1.3,0.6,-4.1,0.023,0.073,0.115,0.605,0.066,2024-25,Regular Season
1628997,Caleb Martin,SF,1610612742,DAL,29.0,6-5,77,205.0,Nevada,USA,Undrafted,Undrafted,Undrafted,45,7.9,3.9,2.1,-6.3,0.042,0.105,0.143,0.513,0.116,2024-25,Regular Season
