PLAYER_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,SEASON,SEASON_TYPE,RANGE_LABEL
203999,Nikola Jokić,1610612743,DEN,30.0,70,70,0.591,491,805,0.61,0.677,0.412,383,561,0.683,0.179,108,244,0.443,2024-25,Regular Season,Touch < 2 Seconds
202696,Nikola Vucevic,1610612741,CHI,34.0,73,73,0.749,419,777,0.539,0.621,0.442,292,459,0.636,0.306,127,318,0.399,2024-25,Regular Season,Touch < 2 Seconds
1628969,Mikal Bridges,1610612752,NYK,28.0,81,80,0.644,380,753,0.505,0.607,0.284,226,332,0.681,0.36,154,421,0.366,2024-25,Regular Season,Touch < 2 Seconds
1627736,Malik Beasley,1610612765,DET,28.0,82,82,0.69,328,738,0.444,0.635,0.082,47,88,0.534,0.608,281,650,0.432,2024-25,Regular Season,Touch < 2 Seconds
1629008,Michael Porter Jr.,1610612743,DEN,27.0,77,76,0.681,370,705,0.525,0.637,0.305,212,316,0.671,0.376,158,389,0.406,2024-25,Regular Season,Touch < 2 Seconds
1626167,Myles Turner,1610612754,IND,29.0,72,72,0.821,335,666,0.503,0.613,0.369,188,299,0.629,0.453,147,367,0.401,2024-25,Regular Season,Touch < 2 Seconds
1627826,Ivica Zubac,1610612746,LAC,28.0,80,80,0.678,415,637,0.651,0.651,0.678,415,637,0.651,0.0,0,0,,2024-25,Regular Season,Touch < 2 Seconds
1627734,Domantas Sabonis,1610612758,SAC,29.0,70,69,0.71,384,634,0.606,0.655,0.54,321,482,0.666,0.17,63,152,0.414,2024-25,Regular Season,Touch < 2 Seconds
201572,Brook Lopez,1610612749,MIL,37.0,80,80,0.81,316,627,0.504,0.611,0.341,182,264,0.689,0.469,134,363,0.369,2024-25,Regular Season,Touch < 2 Seconds
1626157,Karl-Anthony Towns,1610612752,NYK,29.0,71,71,0.511,346,615,0.563,0.67,0.269,214,324,0.66,0.242,132,291,0.454,2024-25,Regular Season,Touch < 2 Seconds
1628384,OG Anunoby,1610612752,NYK,27.0,73,73,0.604,304,610,0.498,0.62,0.22,155,222,0.698,0.384,149,388,0.384,2024-25,Regular Season,Touch < 2 Seconds
1627783,Pascal Siakam,1610612754,IND,31.0,78,78,0.513,324,606,0.535,0.632,0.258,206,305,0.675,0.255,118,301,0.392,2024-25,Regular Season,Touch < 2 Seconds
1628389,Bam Adebayo,1610612748,MIA,27.0,78,78,0.535,308,595,0.518,0.572,0.374,243,416,0.584,0.161,65,179,0.363,2024-25,Regular Season,Touch < 2 Seconds
202691,Klay Thompson,1610612742,DAL,35.0,72,72,0.669,252,587,0.429,0.596,0.124,56,109,0.514,0.545,196,478,0.41,2024-25,Regular Season,Touch < 2 Seconds
1629675,Naz Reid,1610612750,MIN,25.0,80,80,0.631,273,582,0.469,0.602,0.191,118,176,0.67,0.44,155,406,0.382,2024-25,Regular Season,Touch < 2 Seconds
1642259,Alex Sarr,1610612764,WAS,20.0,67,67,0.697,219,577,0.38,0.466,0.303,119,251,0.474,0.394,100,326,0.307,2024-25,Regular Season,Touch < 2 Seconds
1628401,Derrick White,1610612738,BOS,30.0,76,76,0.601,250,576,0.434,0.615,0.068,41,65,0.631,0.533,209,511,0.409,2024-25,Regular Season,Touch < 2 Seconds
1630168,Onyeka Okongwu,1610612737,ATL,24.0,74,74,0.841,336,575,0.584,0.626,0.626,288,428,0.673,0.215,48,147,0.327,2024-25,Regular Season,Touch < 2 Seconds
1631099,Keegan Murray,1610612758,SAC,24.0,76,76,0.696,240,571,0.42,0.552,0.173,90,142,0.634,0.523,150,429,0.35,2024-25,Regular Season,Touch < 2 Seconds
201939,Stephen Curry,1610612744,GSW,37.0,70,70,0.449,279,564,0.495,0.671,0.098,80,123,0.65,0.351,199,441,0.451,2024-25,Regular Season,Touch < 2 Seconds
1627741,Buddy Hield,1610612744,GSW,32.0,82,82,0.718,235,564,0.417,0.579,0.112,52,88,0.591,0.606,183,476,0.384,2024-25,Regular Season,Touch < 2 Seconds
1642258,Zaccharie Risacher,1610612737,ATL,20.0,75,75,0.705,252,550,0.458,0.565,0.286,135,223,0.605,0.419,117,327,0.358,2024-25,Regular Season,Touch < 2 Seconds
1630577,Julian Champagnie,1610612759,SAS,24.0,82,81,0.809,226,538,0.42,0.574,0.135,60,90,0.667,0.674,166,448,0.371,2024-25,Regular Season,Touch < 2 Seconds
1628386,Jarrett Allen,1610612739,CLE,27.0,82,82,0.834,382,534,0.715,0.715,0.828,382,530,0.721,0.006,0,4,0.0,2024-25,Regular Season,Touch < 2 Seconds
1630596,Evan Mobley,1610612739,CLE,24.0,71,71,0.574,328,520,0.631,0.702,0.359,254,325,0.782,0.215,74,195,0.379,2024-25,Regular Season,Touch < 2 Seconds
1630578,Alperen Sengun,1610612745,HOU,22.0,76,76,0.455,254,520,0.488,0.506,0.39,236,446,0.529,0.065,18,74,0.243,2024-25,Regular Season,Touch < 2 Seconds
1628415,Dillon Brooks,1610612745,HOU,29.0,75,75,0.581,226,520,0.435,0.6,0.105,54,94,0.574,0.476,172,426,0.404,2024-25,Regular Season,Touch < 2 Seconds
1628374,Lauri Markkanen,1610612762,UTA,28.0,47,47,0.739,218,517,0.422,0.55,0.204,85,143,0.594,0.534,133,374,0.356,2024-25,Regular Season,Touch < 2 Seconds
1641705,Victor Wembanyama,1610612759,SAS,21.0,46,46,0.6,263,514,0.512,0.617,0.257,155,220,0.705,0.343,108,294,0.367,2024-25,Regular Season,Touch < 2 Seconds
1631128,Christian Braun,1610612743,DEN,24.0,79,78,0.619,303,502,0.604,0.673,0.395,233,320,0.728,0.224,70,182,0.385,2024-25,Regular Season,Touch < 2 Seconds
203076,Anthony Davis,1610612742,DAL,32.0,51,51,0.551,278,501,0.555,0.585,0.441,248,401,0.618,0.11,30,100,0.3,2024-25,Regular Season,Touch < 2 Seconds
1627751,Jakob Poeltl,1610612761,TOR,29.0,57,57,0.858,320,497,0.644,0.645,0.853,319,494,0.646,0.005,1,3,0.333,2024-25,Regular Season,Touch < 2 Seconds
1641739,Toumani Camara,1610612757,POR,25.0,78,78,0.694,225,497,0.453,0.575,0.24,103,172,0.599,0.454,122,325,0.375,2024-25,Regular Season,Touch < 2 Seconds
1629639,Tyler Herro,1610612748,MIA,25.0,77,77,0.357,216,492,0.439,0.596,0.065,62,89,0.697,0.292,154,403,0.382,2024-25,Regular Season,Touch < 2 Seconds
1626164,Devin Booker,1610612756,PHX,28.0,75,75,0.345,220,490,0.449,0.552,0.135,119,191,0.623,0.211,101,299,0.338,2024-25,Regular Season,Touch < 2 Seconds
203501,Tim Hardaway Jr.,1610612765,DET,33.0,77,77,0.715,191,486,0.393,0.546,0.112,42,76,0.553,0.603,149,410,0.363,2024-25,Regular Season,Touch < 2 Seconds
1627777,Georges Niang,1610612737,ATL,32.0,79,79,0.779,213,483,0.441,0.607,0.139,53,86,0.616,0.64,160,397,0.403,2024-25,Regular Season,Touch < 2 Seconds
1630700,Dyson Daniels,1610612737,ATL,22.0,76,76,0.518,243,478,0.508,0.586,0.294,169,271,0.624,0.224,74,207,0.357,2024-25,Regular Season,Touch < 2 Seconds
1628991,Jaren Jackson Jr.,1610612763,MEM,25.0,73,72,0.391,217,468,0.464,0.603,0.105,87,126,0.69,0.285,130,342,0.38,2024-25,Regular Season,Touch < 2 Seconds
1626220,Royce O'Neale,1610612756,PHX,32.0,75,75,0.821,204,468,0.436,0.618,0.095,34,54,0.63,0.726,170,414,0.411,2024-25,Regular Season,Touch < 2 Seconds
1642377,Jaylen Wells,1610612763,MEM,21.0,78,78,0.689,189,463,0.408,0.541,0.168,66,113,0.584,0.521,123,350,0.351,2024-25,Regular Season,Touch < 2 Seconds
1630202,Payton Pritchard,1610612738,BOS,27.0,80,78,0.537,212,462,0.459,0.662,0.038,24,33,0.727,0.499,188,429,0.438,2024-25,Regular Season,Touch < 2 Seconds
1630583,Santi Aldama,1610612763,MEM,24.0,64,64,0.722,222,459,0.484,0.603,0.256,112,163,0.687,0.465,110,296,0.372,2024-25,Regular Season,Touch < 2 Seconds
1630183,Jaden McDaniels,1610612750,MIN,24.0,82,82,0.55,214,459,0.466,0.566,0.219,122,183,0.667,0.331,92,276,0.333,2024-25,Regular Season,Touch < 2 Seconds
1630170,Devin Vassell,1610612759,SAS,24.0,64,64,0.514,200,457,0.438,0.583,0.125,67,111,0.604,0.389,133,346,0.384,2024-25,Regular Season,Touch < 2 Seconds
201142,Kevin Durant,1610612756,PHX,36.0,62,62,0.405,231,455,0.508,0.66,0.133,92,150,0.613,0.271,139,305,0.456,2024-25,Regular Season,Touch < 2 Seconds
203497,Rudy Gobert,1610612750,MIN,33.0,72,72,0.89,314,454,0.692,0.692,0.89,314,454,0.692,0.0,0,0,,2024-25,Regular Season,Touch < 2 Seconds
1627884,Derrick Jones Jr.,1610612746,LAC,28.0,77,76,0.759,243,447,0.544,0.631,0.399,165,235,0.702,0.36,78,212,0.368,2024-25,Regular Season,Touch < 2 Seconds
1629130,Duncan Robinson,1610612748,MIA,31.0,74,74,0.671,194,445,0.436,0.6,0.101,48,67,0.716,0.57,146,378,0.386,2024-25,Regular Season,Touch < 2 Seconds
1629631,De'Andre Hunter,1610612739,CLE,27.0,64,64,0.585,208,444,0.468,0.614,0.165,79,125,0.632,0.42,129,319,0.404,2024-25,Regular Season,Touch < 2 Seconds
1629661,Cameron Johnson,1610612751,BKN,29.0,57,57,0.589,201,440,0.457,0.61,0.131,66,98,0.673,0.458,135,342,0.395,2024-25,Regular Season,Touch < 2 Seconds
1630198,Isaiah Joe,1610612760,OKC,25.0,74,73,0.747,205,439,0.467,0.662,0.082,34,48,0.708,0.665,171,391,0.437,2024-25,Regular Season,Touch < 2 Seconds
1641711,Gradey Dick,1610612761,TOR,21.0,54,54,0.679,183,439,0.417,0.538,0.232,77,150,0.513,0.447,106,289,0.367,2024-25,Regular Season,Touch < 2 Seconds
1629628,RJ Barrett,1610612761,TOR,25.0,58,58,0.447,204,438,0.466,0.58,0.161,104,158,0.658,0.286,100,280,0.357,2024-25,Regular Season,Touch < 2 Seconds
1630167,Obi Toppin,1610612754,IND,27.0,79,78,0.726,235,435,0.54,0.659,0.277,132,166,0.795,0.449,103,269,0.383,2024-25,Regular Season,Touch < 2 Seconds
1629652,Luguentz Dort,1610612760,OKC,26.0,71,70,0.734,197,435,0.453,0.626,0.123,46,73,0.63,0.61,151,362,0.417,2024-25,Regular Season,Touch < 2 Seconds
1630530,Trey Murphy III,1610612740,NOP,25.0,53,52,0.515,210,432,0.486,0.634,0.129,82,108,0.759,0.386,128,324,0.395,2024-25,Regular Season,Touch < 2 Seconds
203084,Harrison Barnes,1610612759,SAS,33.0,82,82,0.631,213,431,0.494,0.659,0.158,71,108,0.657,0.473,142,323,0.44,2024-25,Regular Season,Touch < 2 Seconds
1630592,Jalen Wilson,1610612751,BKN,24.0,79,79,0.695,176,431,0.408,0.548,0.132,56,82,0.683,0.563,120,349,0.344,2024-25,Regular Season,Touch < 2 Seconds
1630559,Austin Reaves,1610612747,LAL,27.0,73,73,0.414,197,429,0.459,0.613,0.094,65,97,0.67,0.32,132,332,0.398,2024-25,Regular Season,Touch < 2 Seconds
1629060,Rui Hachimura,1610612747,LAL,27.0,59,59,0.746,230,428,0.537,0.655,0.322,129,185,0.697,0.423,101,243,0.416,2024-25,Regular Season,Touch < 2 Seconds
1629632,Coby White,1610612741,CHI,25.0,74,74,0.379,171,425,0.402,0.569,0.041,29,46,0.63,0.338,142,379,0.375,2024-25,Regular Season,Touch < 2 Seconds
2544,LeBron James,1610612747,LAL,40.0,70,70,0.334,244,424,0.575,0.683,0.158,153,201,0.761,0.176,91,223,0.408,2024-25,Regular Season,Touch < 2 Seconds
1628404,Josh Hart,1610612752,NYK,30.0,76,76,0.554,221,424,0.521,0.597,0.305,157,233,0.674,0.25,64,191,0.335,2024-25,Regular Season,Touch < 2 Seconds
1628970,Miles Bridges,1610612766,CHA,27.0,64,64,0.389,201,424,0.474,0.598,0.122,96,133,0.722,0.267,105,291,0.361,2024-25,Regular Season,Touch < 2 Seconds
1630534,Ochai Agbaji,1610612761,TOR,25.0,64,63,0.787,211,420,0.502,0.619,0.328,113,175,0.646,0.459,98,245,0.4,2024-25,Regular Season,Touch < 2 Seconds
1628392,Isaiah Hartenstein,1610612760,OKC,27.0,57,57,0.873,254,418,0.608,0.608,0.837,254,401,0.633,0.035,0,17,0.0,2024-25,Regular Season,Touch < 2 Seconds
1628989,Kevin Huerter,1610612741,CHI,26.0,69,68,0.692,175,418,0.419,0.55,0.156,65,94,0.691,0.536,110,324,0.34,2024-25,Regular Season,Touch < 2 Seconds
1629018,Gary Trent Jr.,1610612749,MIL,26.0,74,73,0.636,172,418,0.411,0.594,0.068,19,45,0.422,0.568,153,373,0.41,2024-25,Regular Season,Touch < 2 Seconds
1627824,Guerschon Yabusele,1610612755,PHI,29.0,70,70,0.741,199,417,0.477,0.601,0.272,96,153,0.627,0.469,103,264,0.39,2024-25,Regular Season,Touch < 2 Seconds
1631101,Shaedon Sharpe,1610612757,POR,22.0,72,72,0.378,180,417,0.432,0.531,0.13,97,144,0.674,0.247,83,273,0.304,2024-25,Regular Season,Touch < 2 Seconds
1630598,Aaron Wiggins,1610612760,OKC,26.0,76,75,0.571,207,416,0.498,0.635,0.17,93,124,0.75,0.401,114,292,0.39,2024-25,Regular Season,Touch < 2 Seconds
203110,Draymond Green,1610612744,GSW,35.0,68,67,0.817,176,416,0.423,0.516,0.352,99,179,0.553,0.466,77,237,0.325,2024-25,Regular Season,Touch < 2 Seconds
1629640,Keldon Johnson,1610612759,SAS,25.0,77,77,0.535,187,412,0.454,0.544,0.223,113,172,0.657,0.312,74,240,0.308,2024-25,Regular Season,Touch < 2 Seconds
1626145,Tyus Jones,1610612756,PHX,29.0,81,81,0.596,186,407,0.457,0.635,0.1,41,68,0.603,0.496,145,339,0.428,2024-25,Regular Season,Touch < 2 Seconds
1630541,Moses Moody,1610612744,GSW,23.0,74,74,0.71,165,403,0.409,0.551,0.155,51,88,0.58,0.555,114,315,0.362,2024-25,Regular Season,Touch < 2 Seconds
204001,Kristaps Porziņģis,1610612738,BOS,29.0,42,41,0.723,199,402,0.495,0.619,0.295,99,164,0.604,0.428,100,238,0.42,2024-25,Regular Season,Touch < 2 Seconds
1628398,Kyle Kuzma,1610612749,MIL,29.0,65,65,0.473,173,401,0.431,0.529,0.185,95,157,0.605,0.288,78,244,0.32,2024-25,Regular Season,Touch < 2 Seconds
1642346,Ryan Dunn,1610612756,PHX,22.0,74,68,0.842,172,401,0.429,0.529,0.303,92,144,0.639,0.54,80,257,0.311,2024-25,Regular Season,Touch < 2 Seconds
