PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,SEASON,SEASON_TYPE,PT_MEASURE_TYPE,REBOUNDING_SCOPE
1630639,A.J. Lawson,1610612761,TOR,22,12,10,445.0,20,10,10,0.5,40,0.5,2,0.526,2024-25,Regular Season,Rebounding,offensive
1631260,AJ Green,1610612749,MIL,65,40,25,1547.0,18,2,16,0.111,51,0.353,2,0.367,2024-25,Regular Season,Rebounding,offensive
1642358,AJ Johnson,1610612764,WAS,23,6,17,584.0,8,6,2,0.75,30,0.267,1,0.276,2024-25,Regular Season,Rebounding,offensive
203932,Aaron Gordon,1610612743,DEN,49,31,18,1420.0,80,59,21,0.738,138,0.58,3,0.593,2024-25,Regular Season,Rebounding,offensive
1628988,Aaron Holiday,1610612745,HOU,41,26,15,611.0,13,6,7,0.462,34,0.382,2,0.406,2024-25,Regular Season,Rebounding,offensive
1630174,Aaron Nesmith,1610612754,IND,42,29,13,1071.0,37,16,21,0.432,79,0.468,3,0.487,2024-25,Regular Season,Rebounding,offensive
1630598,Aaron Wiggins,1610612760,OKC,72,58,14,1700.0,81,43,38,0.531,182,0.445,4,0.455,2024-25,Regular Season,Rebounding,offensive
1641745,Adam Flagler,1610612760,OKC,15,14,1,136.0,7,2,5,0.286,11,0.636,0,0.636,2024-25,Regular Season,Rebounding,offensive
1641766,Adama Sanogo,1610612741,CHI,3,2,1,21.0,5,1,4,0.2,8,0.625,0,0.625,2024-25,Regular Season,Rebounding,offensive
1641737,Adem Bona,1610612755,PHI,50,11,39,875.0,92,75,18,0.815,242,0.38,8,0.393,2024-25,Regular Season,Rebounding,offensive
1642349,Ajay Mitchell,1610612760,OKC,29,26,3,494.0,18,11,7,0.611,41,0.439,1,0.45,2024-25,Regular Season,Rebounding,offensive
201143,Al Horford,1610612738,BOS,59,43,16,1625.0,77,42,35,0.545,135,0.57,4,0.588,2024-25,Regular Season,Rebounding,offensive
202692,Alec Burks,1610612748,MIA,39,21,18,762.0,15,2,13,0.133,35,0.429,1,0.441,2024-25,Regular Season,Rebounding,offensive
1627936,Alex Caruso,1610612760,OKC,51,42,9,999.0,38,12,26,0.316,102,0.373,3,0.384,2024-25,Regular Season,Rebounding,offensive
1642505,Alex Ducas,1610612760,OKC,10,10,0,87.0,9,5,4,0.556,20,0.45,0,0.45,2024-25,Regular Season,Rebounding,offensive
203458,Alex Len,1610612747,LAL,36,19,17,347.0,38,20,18,0.526,94,0.404,5,0.427,2024-25,Regular Season,Rebounding,offensive
1642024,Alex Reese,1610612755,PHI,14,4,10,212.0,9,6,4,0.667,20,0.45,0,0.45,2024-25,Regular Season,Rebounding,offensive
1642259,Alex Sarr,1610612764,WAS,67,13,54,1814.0,124,76,48,0.613,281,0.441,5,0.449,2024-25,Regular Season,Rebounding,offensive
1630578,Alperen Sengun,1610612745,HOU,76,52,24,2395.0,262,169,91,0.645,569,0.46,16,0.474,2024-25,Regular Season,Rebounding,offensive
1641708,Amen Thompson,1610612745,HOU,69,43,26,2225.0,192,129,62,0.672,384,0.5,12,0.516,2024-25,Regular Season,Rebounding,offensive
1629599,Amir Coffey,1610612746,LAC,65,38,27,1561.0,32,13,19,0.406,85,0.376,5,0.4,2024-25,Regular Season,Rebounding,offensive
203083,Andre Drummond,1610612755,PHI,40,12,28,751.0,109,75,33,0.688,212,0.514,2,0.519,2024-25,Regular Season,Rebounding,offensive
1641748,Andre Jackson Jr.,1610612749,MIL,56,32,24,906.0,65,39,25,0.6,132,0.492,2,0.5,2024-25,Regular Season,Rebounding,offensive
1629614,Andrew Nembhard,1610612754,IND,60,41,19,1793.0,34,7,27,0.206,83,0.41,4,0.43,2024-25,Regular Season,Rebounding,offensive
203952,Andrew Wiggins,1610612748,MIA,59,27,32,1821.0,89,55,34,0.618,211,0.422,11,0.445,2024-25,Regular Season,Rebounding,offensive
1629014,Anfernee Simons,1610612757,POR,66,28,38,2179.0,25,7,18,0.28,90,0.278,2,0.284,2024-25,Regular Season,Rebounding,offensive
1641710,Anthony Black,1610612753,ORL,73,38,35,1771.0,52,25,28,0.481,148,0.351,3,0.359,2024-25,Regular Season,Rebounding,offensive
203076,Anthony Davis,1610612742,DAL,51,30,21,1705.0,134,100,31,0.746,266,0.504,5,0.513,2024-25,Regular Season,Rebounding,offensive
1630162,Anthony Edwards,1610612750,MIN,78,48,30,2834.0,61,22,39,0.361,152,0.401,5,0.415,2024-25,Regular Season,Rebounding,offensive
1630264,Anthony Gill,1610612764,WAS,25,2,23,315.0,18,13,4,0.722,48,0.375,2,0.391,2024-25,Regular Season,Rebounding,offensive
1641817,Anton Watson,1610612752,NYK,3,1,2,7.0,1,0,1,0.0,1,1.0,0,1.0,2024-25,Regular Season,Rebounding,offensive
1641810,Antonio Reeves,1610612740,NOP,26,3,23,500.0,18,8,10,0.444,37,0.486,2,0.514,2024-25,Regular Season,Rebounding,offensive
1630574,Ariel Hukporti,1610612752,NYK,20,14,6,204.0,14,8,6,0.571,39,0.359,2,0.378,2024-25,Regular Season,Rebounding,offensive
1642422,Armel Traore,1610612747,LAL,7,3,4,57.0,2,1,1,0.5,8,0.25,0,0.25,2024-25,Regular Season,Rebounding,offensive
1641709,Ausar Thompson,1610612765,DET,59,34,25,1328.0,111,72,38,0.649,229,0.485,7,0.5,2024-25,Regular Season,Rebounding,offensive
1630559,Austin Reaves,1610612747,LAL,70,44,26,2466.0,61,27,34,0.443,148,0.412,6,0.43,2024-25,Regular Season,Rebounding,offensive
1630245,Ayo Dosunmu,1610612741,CHI,45,17,28,1357.0,26,11,15,0.423,63,0.413,3,0.433,2024-25,Regular Season,Rebounding,offensive
1628389,Bam Adebayo,1610612748,MIA,78,36,42,2674.0,185,120,65,0.649,387,0.478,13,0.495,2024-25,Regular Season,Rebounding,offensive
1631248,Baylor Scheierman,1610612738,BOS,22,20,2,323.0,19,10,9,0.526,39,0.487,3,0.528,2024-25,Regular Season,Rebounding,offensive
1641767,Ben Sheppard,1610612754,IND,57,37,20,1156.0,44,20,24,0.455,97,0.454,4,0.473,2024-25,Regular Season,Rebounding,offensive
1627732,Ben Simmons,1610612746,LAC,50,25,25,1107.0,47,25,22,0.532,108,0.435,4,0.452,2024-25,Regular Season,Rebounding,offensive
1631097,Bennedict Mathurin,1610612754,IND,71,43,28,2114.0,87,41,45,0.471,222,0.392,7,0.405,2024-25,Regular Season,Rebounding,offensive
1641731,Bilal Coulibaly,1610612764,WAS,59,13,46,1948.0,91,58,33,0.637,195,0.467,3,0.474,2024-25,Regular Season,Rebounding,offensive
202687,Bismack Biyombo,1610612759,SAS,27,10,17,527.0,43,25,18,0.581,98,0.439,3,0.453,2024-25,Regular Season,Rebounding,offensive
1631104,Blake Wesley,1610612759,SAS,33,15,18,516.0,17,5,12,0.294,32,0.531,1,0.548,2024-25,Regular Season,Rebounding,offensive
1626171,Bobby Portis,1610612749,MIL,49,30,19,1244.0,90,68,20,0.756,196,0.459,5,0.471,2024-25,Regular Season,Rebounding,offensive
1641752,Bobi Klintman,1610612765,DET,4,2,2,34.0,1,1,0,1.0,4,0.25,0,0.25,2024-25,Regular Season,Rebounding,offensive
203992,Bogdan Bogdanović,1610612746,LAC,48,29,19,1214.0,24,15,9,0.625,61,0.393,2,0.407,2024-25,Regular Season,Rebounding,offensive
1629626,Bol Bol,1610612756,PHX,31,10,21,412.0,20,9,11,0.45,37,0.541,0,0.541,2024-25,Regular Season,Rebounding,offensive
1630538,Bones Hyland,1610612750,MIN,16,7,9,174.0,5,1,4,0.2,10,0.5,1,0.556,2024-25,Regular Season,Rebounding,offensive
203078,Bradley Beal,1610612756,PHX,49,22,27,1579.0,34,21,13,0.618,94,0.362,0,0.362,2024-25,Regular Season,Rebounding,offensive
1642382,Branden Carlson,1610612760,OKC,18,16,2,216.0,17,14,3,0.824,36,0.472,1,0.486,2024-25,Regular Season,Rebounding,offensive
1641764,Brandin Podziemski,1610612744,GSW,63,37,26,1716.0,65,33,31,0.508,174,0.374,5,0.385,2024-25,Regular Season,Rebounding,offensive
1630527,Brandon Boston,1610612740,NOP,39,7,32,970.0,28,8,20,0.286,66,0.424,5,0.459,2024-25,Regular Season,Rebounding,offensive
1629634,Brandon Clarke,1610612763,MEM,61,40,21,1169.0,123,86,37,0.699,257,0.479,8,0.494,2024-25,Regular Season,Rebounding,offensive
1627742,Brandon Ingram,1610612761,TOR,18,5,13,595.0,17,4,13,0.235,43,0.395,0,0.395,2024-25,Regular Season,Rebounding,offensive
1641706,Brandon Miller,1610612766,CHA,27,8,19,924.0,25,12,13,0.48,67,0.373,6,0.41,2024-25,Regular Season,Rebounding,offensive
1630314,Brandon Williams,1610612742,DAL,24,12,12,458.0,12,4,8,0.333,40,0.3,3,0.324,2024-25,Regular Season,Rebounding,offensive
1630296,Braxton Key,1610612744,GSW,2,2,0,10.0,1,0,1,0.0,2,0.5,1,1.0,2024-25,Regular Season,Rebounding,offensive
1641729,Brice Sensabaugh,1610612762,UTA,66,12,54,1339.0,42,10,32,0.238,88,0.477,2,0.488,2024-25,Regular Season,Rebounding,offensive
1642355,Bronny James,1610612747,LAL,10,6,4,127.0,4,3,1,0.75,9,0.444,1,0.5,2024-25,Regular Season,Rebounding,offensive
201572,Brook Lopez,1610612749,MIL,79,46,33,2511.0,113,74,39,0.655,240,0.471,2,0.475,2024-25,Regular Season,Rebounding,offensive
1628971,Bruce Brown,1610612740,NOP,38,14,24,875.0,40,16,24,0.4,97,0.412,5,0.435,2024-25,Regular Season,Rebounding,offensive
1628981,Bruno Fernando,1610612761,TOR,14,2,12,131.0,21,13,8,0.619,47,0.447,2,0.467,2024-25,Regular Season,Rebounding,offensive
1631121,Bryce McGowens,1610612757,POR,3,2,1,11.0,2,0,2,0.0,2,1.0,0,1.0,2024-25,Regular Season,Rebounding,offensive
1642267,Bub Carrington,1610612764,WAS,81,17,64,2443.0,33,11,23,0.333,90,0.367,4,0.384,2024-25,Regular Season,Rebounding,offensive
1627741,Buddy Hield,1610612744,GSW,78,47,31,1783.0,51,21,30,0.412,125,0.408,5,0.425,2024-25,Regular Season,Rebounding,offensive
203468,CJ McCollum,1610612740,NOP,55,16,39,1798.0,42,11,29,0.262,98,0.429,3,0.442,2024-25,Regular Season,Rebounding,offensive
1630595,Cade Cunningham,1610612765,DET,70,38,32,2452.0,56,23,33,0.411,191,0.293,8,0.306,2024-25,Regular Season,Rebounding,offensive
1631216,Caleb Houstan,1610612753,ORL,35,20,15,607.0,19,8,11,0.421,48,0.396,4,0.432,2024-25,Regular Season,Rebounding,offensive
1628997,Caleb Martin,1610612742,DAL,43,16,27,1167.0,53,17,36,0.321,102,0.52,2,0.53,2024-25,Regular Season,Rebounding,offensive
1642353,Cam Christie,1610612746,LAC,7,4,3,44.0,3,2,1,0.667,3,1.0,0,1.0,2024-25,Regular Season,Rebounding,offensive
1629629,Cam Reddish,1610612747,LAL,22,10,12,433.0,17,8,9,0.471,32,0.531,1,0.548,2024-25,Regular Season,Rebounding,offensive
1642285,Cam Spencer,1610612763,MEM,13,10,3,210.0,12,8,4,0.667,24,0.5,1,0.522,2024-25,Regular Season,Rebounding,offensive
1630560,Cam Thomas,1610612751,BKN,24,7,17,749.0,15,5,10,0.333,45,0.333,2,0.349,2024-25,Regular Season,Rebounding,offensive
1641715,Cam Whitmore,1610612745,HOU,44,24,20,792.0,36,20,15,0.556,86,0.419,7,0.456,2024-25,Regular Season,Rebounding,offensive
1629661,Cameron Johnson,1610612751,BKN,56,21,35,1780.0,54,25,27,0.463,129,0.419,6,0.439,2024-25,Regular Season,Rebounding,offensive
1626166,Cameron Payne,1610612752,NYK,54,35,19,862.0,14,3,11,0.214,33,0.424,2,0.452,2024-25,Regular Season,Rebounding,offensive
1627747,Caris LeVert,1610612737,ATL,60,42,18,1513.0,41,20,21,0.488,115,0.357,2,0.363,2024-25,Regular Season,Rebounding,offensive
1641717,Cason Wallace,1610612760,OKC,65,52,13,1822.0,71,27,44,0.38,189,0.376,15,0.408,2024-25,Regular Season,Rebounding,offensive
1629646,Charles Bassey,1610612759,SAS,31,10,21,369.0,56,34,20,0.607,124,0.452,3,0.463,2024-25,Regular Season,Rebounding,offensive
1631096,Chet Holmgren,1610612760,OKC,32,26,6,877.0,48,36,12,0.75,137,0.35,2,0.356,2024-25,Regular Season,Rebounding,offensive
1628449,Chris Boucher,1610612761,TOR,49,18,31,858.0,70,43,27,0.614,160,0.438,3,0.446,2024-25,Regular Season,Rebounding,offensive
1630537,Chris Duarte,1610612741,CHI,9,2,7,55.0,5,2,3,0.4,6,0.833,0,0.833,2024-25,Regular Season,Rebounding,offensive
1641753,Chris Livingston,1610612749,MIL,13,11,2,86.0,10,10,0,1.0,30,0.333,2,0.357,2024-25,Regular Season,Rebounding,offensive
101108,Chris Paul,1610612759,SAS,75,32,43,2105.0,33,11,22,0.333,54,0.611,1,0.623,2024-25,Regular Season,Rebounding,offensive
1631128,Christian Braun,1610612743,DEN,78,48,30,2647.0,96,54,41,0.563,257,0.374,12,0.392,2024-25,Regular Season,Rebounding,offensive
1631132,Christian Koloko,1610612747,LAL,29,17,12,295.0,35,27,8,0.771,87,0.402,2,0.412,2024-25,Regular Season,Rebounding,offensive
1629643,Chuma Okeke,1610612739,CLE,8,1,7,193.0,21,11,10,0.524,34,0.618,1,0.636,2024-25,Regular Season,Rebounding,offensive
203991,Clint Capela,1610612737,ATL,55,27,28,1176.0,174,128,46,0.736,327,0.532,5,0.54,2024-25,Regular Season,Rebounding,offensive
1629632,Coby White,1610612741,CHI,69,34,35,2301.0,25,3,23,0.12,100,0.25,7,0.269,2024-25,Regular Season,Rebounding,offensive
1628998,Cody Martin,1610612756,PHX,52,16,36,1170.0,53,27,26,0.509,117,0.453,3,0.465,2024-25,Regular Season,Rebounding,offensive
1642262,Cody Williams,1610612762,UTA,41,7,34,893.0,26,7,19,0.269,55,0.473,1,0.481,2024-25,Regular Season,Rebounding,offensive
1641732,Colby Jones,1610612764,WAS,23,3,20,475.0,21,11,9,0.524,43,0.488,2,0.512,2024-25,Regular Season,Rebounding,offensive
1630175,Cole Anthony,1610612763,MEM,58,30,28,1159.0,46,12,34,0.261,103,0.447,4,0.465,2024-25,Regular Season,Rebounding,offensive
1631306,Cole Swider,1610612754,IND,8,4,4,137.0,5,3,2,0.6,12,0.417,0,0.417,2024-25,Regular Season,Rebounding,offensive
1630658,Colin Castleton,1610612761,TOR,21,10,11,426.0,53,32,21,0.604,112,0.473,5,0.495,2024-25,Regular Season,Rebounding,offensive
1631221,Collin Gillespie,1610612756,PHX,28,10,18,449.0,22,9,13,0.409,52,0.423,1,0.431,2024-25,Regular Season,Rebounding,offensive
1629012,Collin Sexton,1610612762,UTA,59,13,46,1665.0,60,27,33,0.45,151,0.397,4,0.408,2024-25,Regular Season,Rebounding,offensive
1630557,Corey Kispert,1610612764,WAS,60,14,46,1578.0,36,14,22,0.389,104,0.346,2,0.353,2024-25,Regular Season,Rebounding,offensive
202709,Cory Joseph,1610612753,ORL,32,17,15,498.0,17,5,12,0.294,43,0.395,2,0.415,2024-25,Regular Season,Rebounding,offensive
1641854,Craig Porter Jr.,1610612739,CLE,28,22,6,396.0,19,6,13,0.316,47,0.404,1,0.413,2024-25,Regular Season,Rebounding,offensive
1642385,Cui Cui,1610612751,BKN,1,0,1,6.0,0,0,0,0.0,2,0.0,0,0.0,2024-25,Regular Season,Rebounding,offensive
1626156,D'Angelo Russell,1610612751,BKN,53,26,27,1395.0,20,5,15,0.25,51,0.392,0,0.392,2024-25,Regular Season,Rebounding,offensive
1630618,D.J. Carton,1610612761,TOR,2,1,1,25.0,0,0,0,0.0,5,0.0,0,0.0,2024-25,Regular Season,Rebounding,offensive
1629610,DaQuan Jeffries,1610612766,CHA,40,7,33,949.0,37,12,25,0.324,79,0.468,3,0.487,2024-25,Regular Season,Rebounding,offensive
1631342,Daeqwon Plowden,1610612737,ATL,4,2,2,69.0,4,2,2,0.5,8,0.5,0,0.5,2024-25,Regular Season,Rebounding,offensive
1630227,Daishen Nix,1610612750,MIN,2,2,0,11.0,0,0,0,0.0,0,0.0,0,0.0,2024-25,Regular Season,Rebounding,offensive
1630625,Dalano Banton,1610612757,POR,56,24,32,1027.0,30,15,15,0.5,73,0.411,1,0.417,2024-25,Regular Season,Rebounding,offensive
1631207,Dalen Terry,1610612741,CHI,57,29,28,880.0,38,16,22,0.421,84,0.452,6,0.487,2024-25,Regular Season,Rebounding,offensive
1642261,Dalton Knecht,1610612747,LAL,67,40,27,1393.0,37,12,25,0.324,101,0.366,5,0.385,2024-25,Regular Season,Rebounding,offensive
203081,Damian Lillard,1610612749,MIL,58,32,26,2093.0,29,11,18,0.379,72,0.403,2,0.414,2024-25,Regular Season,Rebounding,offensive
1641878,Damion Baugh,1610612766,CHA,14,1,13,339.0,14,6,8,0.429,30,0.467,0,0.467,2024-25,Regular Season,Rebounding,offensive
1627814,Damion Lee,1610612756,PHX,14,5,9,82.0,3,1,2,0.333,8,0.375,0,0.375,2024-25,Regular Season,Rebounding,offensive
1629655,Daniel Gafford,1610612742,DAL,56,28,28,1213.0,155,119,34,0.768,363,0.427,12,0.442,2024-25,Regular Season,Rebounding,offensive
1628464,Daniel Theis,1610612740,NOP,36,10,26,609.0,44,32,12,0.727,104,0.423,3,0.436,2024-25,Regular Season,Rebounding,offensive
1642450,Daniss Jenkins,1610612765,DET,1,0,1,11.0,0,0,0,0.0,1,0.0,0,0.0,2024-25,Regular Season,Rebounding,offensive
203957,Dante Exum,1610612742,DAL,16,6,10,304.0,4,2,2,0.5,20,0.2,1,0.211,2024-25,Regular Season,Rebounding,offensive
203967,Dario Saric,1610612743,DEN,14,6,8,190.0,14,11,1,0.786,35,0.4,1,0.412,2024-25,Regular Season,Rebounding,offensive
1641727,Dariq Whitehead,1610612751,BKN,14,5,9,229.0,4,0,4,0.0,15,0.267,0,0.267,2024-25,Regular Season,Rebounding,offensive
1629636,Darius Garland,1610612739,CLE,71,56,15,2205.0,47,9,38,0.191,117,0.402,5,0.42,2024-25,Regular Season,Rebounding,offensive
1630561,David Duke Jr.,1610612759,SAS,4,0,4,22.0,1,0,1,0.0,3,0.333,0,0.333,2024-25,Regular Season,Rebounding,offensive
