GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,TEAM_COUNT,SEASON,SEASON_TYPE,MEASURE_TYPE
Players,1630639,A.J. Lawson,A.J.,1610612761,TOR,25.0,2,1,1,0.5,0.3,106.4,100.0,100.0,69.4,50.0,50.0,36.9,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.8,160.0,133.33,160.0,0.0,2,0,0,0.0,0.0,0.0,412,383,36,213,459,296,301,301,41,33,33,55,40,40,334,257,334,289,366,385,1,1,356,379,418,418,23,22,22,367,356,406,356,406,356,1,2025-26,Regular Season,Advanced
Players,1631260,AJ Green,AJ,1610612749,MIL,26.0,27,14,13,0.519,3.4,115.1,115.9,115.9,109.4,108.6,108.6,5.7,7.3,7.3,0.014,0.5,3.3,0.011,0.021,0.016,6.7,6.7,0.354,0.394,0.132,0.135,97.09,97.16,80.97,97.16,-0.024,189,6,24,0.2,0.9,0.25,72,80,397,206,100,198,132,132,217,253,253,185,164,164,333,222,332,281,365,383,263,265,300,329,266,280,356,411,411,433,164,97,267,165,323,1,2025-26,Regular Season,Advanced
Players,1642358,AJ Johnson,AJ,1610612742,DAL,21.0,2,1,1,0.5,3.0,197.1,172.7,172.7,122.2,108.3,108.3,74.9,64.4,64.4,0.333,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.086,81.35,92.26,76.88,92.26,0.036,11,0,1,0.0,0.5,0.0,412,383,36,213,165,16,17,17,344,248,248,35,36,36,29,257,11,289,366,385,1,1,356,379,365,369,467,454,454,320,356,362,356,280,356,2,2025-26,Regular Season,Advanced
Players,203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,14,9,5,0.643,5.2,123.9,124.8,124.8,119.3,120.4,120.4,4.6,4.4,4.4,0.128,2.0,14.3,0.0,0.153,0.078,7.1,7.1,0.724,0.719,0.202,0.222,98.89,98.07,81.72,98.07,0.128,157,17,29,1.2,2.1,0.586,217,151,183,95,7,123,76,76,321,375,375,192,186,186,183,70,202,289,127,212,271,271,60,76,119,114,311,395,395,124,48,75,14,31,81,1,2025-26,Regular Season,Advanced
Players,1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,17,9,8,0.529,1.4,102.2,86.9,86.9,138.9,127.4,127.4,-36.7,-40.5,-40.5,0.231,3.0,18.8,0.095,0.0,0.051,6.3,6.8,0.333,0.418,0.203,0.214,110.93,125.46,104.55,125.46,0.02,61,2,9,0.1,0.5,0.222,186,151,279,194,380,336,393,393,423,407,407,413,429,429,88,35,139,61,366,307,253,267,309,317,118,120,64,56,56,349,265,214,330,278,340,1,2025-26,Regular Season,Advanced
Players,1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,20,8,12,0.4,3.5,107.4,104.0,104.0,100.7,101.9,101.9,6.7,2.2,2.2,0.091,2.0,12.5,0.07,0.16,0.118,6.3,6.3,0.478,0.488,0.161,0.171,105.64,106.61,88.84,106.61,0.082,149,9,23,0.5,1.2,0.391,147,180,373,330,91,288,272,272,123,168,168,181,207,207,229,70,232,99,111,99,253,255,225,269,194,197,117,194,194,219,108,105,145,117,238,1,2025-26,Regular Season,Advanced
Players,1630598,Aaron Wiggins,Aaron,1610612760,OKC,27.0,17,11,6,0.647,2.0,112.7,104.3,104.3,108.9,100.0,100.0,3.8,4.3,4.3,0.105,2.0,16.7,0.057,0.067,0.063,8.3,8.1,0.563,0.536,0.127,0.142,92.59,100.43,83.69,100.43,0.035,69,3,8,0.2,0.5,0.375,186,115,225,92,322,224,269,269,212,127,127,201,188,188,216,70,164,120,315,265,294,292,135,221,275,270,414,350,350,324,231,229,298,307,245,1,2025-26,Regular Season,Advanced
Players,1642846,Ace Bailey,Ace,1610612762,UTA,19.0,21,6,15,0.286,2.8,107.8,107.0,107.0,124.0,120.3,120.3,-16.2,-13.3,-13.3,0.108,1.0,15.4,0.015,0.134,0.074,15.4,15.1,0.5,0.488,0.147,0.159,105.51,107.53,89.61,107.53,0.051,129,8,18,0.4,0.9,0.444,137,233,424,385,201,282,234,234,363,374,374,344,334,334,214,159,190,268,162,225,408,406,175,267,233,226,121,174,174,287,124,139,175,170,180,1,2025-26,Regular Season,Advanced
Players,1642380,Adama Bal,Adama,1610612763,MEM,22.0,1,1,0,1.0,5.3,125.4,123.1,123.1,102.8,100.0,100.0,22.5,23.1,23.1,0.25,0.0,50.0,0.0,0.25,0.143,0.0,0.0,1.5,1.5,0.077,0.078,115.02,117.74,98.11,117.74,0.16,13,1,1,1.0,1.0,1.0,442,383,1,1,6,110,81,81,138,127,127,97,76,76,69,257,12,289,24,59,1,1,1,1,365,380,51,78,78,75,309,362,21,130,1,1,2025-26,Regular Season,Advanced
Players,1641737,Adem Bona,Adem,1610612755,PHI,23.0,16,9,7,0.563,3.3,119.6,117.1,117.1,101.6,106.5,106.5,18.0,10.6,10.6,0.054,1.0,18.2,0.085,0.063,0.073,18.2,18.6,0.6,0.592,0.069,0.071,100.06,98.76,82.3,98.76,0.033,111,3,5,0.2,0.3,0.6,193,151,251,161,118,151,126,126,127,230,230,115,138,138,288,159,145,73,322,232,433,437,115,171,376,386,272,385,385,330,231,268,289,355,68,1,2025-26,Regular Season,Advanced
