GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK,TEAM_COUNT,SEASON,SEASON_TYPE,MEASURE_TYPE
Players,1630639,A.J. Lawson,A.J.,1610612761,TOR,25.0,2,1,1,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412,383,36,213,459,247,244,183,321,1,1,1,436,188,1,1,337,427,1,2025-26,Regular Season,Misc
Players,1631260,AJ Green,AJ,1610612749,MIL,26.0,27,14,13,0.519,3.4,0.2,0.1,0.0,0.0,1.1,1.3,0.3,1.9,0.0,0.1,0.4,0.3,0.9,72,80,397,206,100,129,183,183,321,337,405,191,311,188,375,320,182,368,1,2025-26,Regular Season,Misc
Players,1642358,AJ Johnson,AJ,1610612742,DAL,21.0,2,1,1,0.5,3.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,3.0,0.0,0.0,0.0,0.0,1.5,412,383,36,213,165,247,244,183,321,1,429,1,118,188,1,1,337,288,2,2025-26,Regular Season,Misc
Players,203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,14,9,5,0.643,5.2,0.5,0.1,0.4,1.0,1.3,0.6,1.1,4.0,0.1,0.1,0.6,0.5,5.7,217,151,183,95,7,28,185,25,43,377,187,463,30,52,436,447,65,18,1,2025-26,Regular Season,Misc
Players,1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,17,9,8,0.529,1.4,0.2,0.2,0.2,0.0,0.8,0.2,0.5,1.6,0.0,0.0,0.2,0.3,1.2,186,151,279,194,380,160,159,59,321,249,92,310,334,188,1,208,156,326,1,2025-26,Regular Season,Misc
Players,1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,20,8,12,0.4,3.5,0.0,0.2,0.0,0.4,1.4,1.3,0.2,3.0,0.2,0.0,0.6,0.4,3.1,147,180,373,330,91,247,180,183,187,392,388,167,118,49,1,427,130,109,1,2025-26,Regular Season,Misc
Players,1630598,Aaron Wiggins,Aaron,1610612760,OKC,27.0,17,11,6,0.647,2.0,0.1,0.4,0.0,0.0,0.8,0.9,0.2,2.0,0.1,0.0,0.3,0.1,1.2,186,115,225,92,322,241,52,183,321,232,292,161,266,139,1,267,327,324,1,2025-26,Regular Season,Misc
Players,1642846,Ace Bailey,Ace,1610612762,UTA,19.0,21,6,15,0.286,2.8,0.1,0.1,0.0,0.3,1.2,1.5,0.6,3.0,0.0,0.0,0.3,0.0,1.8,137,233,424,385,201,217,215,183,233,368,427,345,137,188,325,286,333,258,1,2025-26,Regular Season,Misc
Players,1642380,Adama Bal,Adama,1610612763,MEM,22.0,1,1,0,1.0,5.3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,5.7,442,383,1,1,6,247,244,183,321,449,1,1,1,188,1,470,337,17,1,2025-26,Regular Season,Misc
Players,1641737,Adem Bona,Adem,1610612755,PHI,23.0,16,9,7,0.563,3.3,0.0,0.4,0.0,0.4,1.4,1.2,0.6,2.3,0.3,0.0,0.4,0.3,2.1,193,151,251,161,118,247,47,183,198,397,365,322,241,11,1,357,146,218,1,2025-26,Regular Season,Misc
