GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM,FGA,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,TEAM_COUNT,SEASON,SEASON_TYPE,MEASURE_TYPE
Players,1630639,A.J. Lawson,A.J.,1610612761,TOR,25.0,2,1,1,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,412,383,36,213,459,377,338,333,132,247,183,303,247,321,285,258,242,73,334,266,356,406,356,1,2025-26,Regular Season,Scoring
Players,1631260,AJ Green,AJ,1610612749,MIL,26.0,27,14,13,0.519,3.4,0.042,0.958,0.095,0.095,0.714,0.0,0.191,0.286,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6,24,0.25,72,80,397,206,100,376,30,328,71,26,183,221,63,321,1,258,1,73,1,266,164,97,323,1,2025-26,Regular Season,Scoring
Players,1642358,AJ Johnson,AJ,1610612742,DAL,21.0,2,1,1,0.5,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,412,383,36,213,165,377,1,333,132,247,183,303,247,321,285,258,242,73,334,266,356,362,356,2,2025-26,Regular Season,Scoring
Players,203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,14,9,5,0.643,5.2,0.552,0.448,0.375,0.083,0.5,0.104,0.125,0.146,0.292,0.667,0.333,0.875,0.125,0.765,0.235,17,29,0.586,217,151,183,95,7,213,193,228,79,73,109,271,151,241,101,215,177,69,124,232,48,75,81,1,2025-26,Regular Season,Scoring
Players,1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,17,9,8,0.529,1.4,0.111,0.889,0.0,0.0,0.667,0.444,0.333,0.333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,9,0.222,186,151,279,194,380,372,33,333,132,30,15,103,42,321,285,258,1,73,1,266,265,214,340,1,2025-26,Regular Season,Scoring
Players,1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,20,8,12,0.4,3.5,0.348,0.652,0.4,0.08,0.48,0.0,0.12,0.0,0.32,0.6,0.4,1.0,0.0,0.778,0.222,9,23,0.391,147,180,373,330,91,313,93,203,83,93,183,276,247,227,127,202,1,73,120,234,108,105,238,1,2025-26,Regular Season,Scoring
Players,1630598,Aaron Wiggins,Aaron,1610612760,OKC,27.0,17,11,6,0.647,2.0,0.0,1.0,0.0,0.0,0.9,0.0,0.1,0.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3,8,0.375,186,115,225,92,322,377,1,333,132,13,183,280,196,321,285,258,1,73,1,266,231,229,245,1,2025-26,Regular Season,Scoring
Players,1642846,Ace Bailey,Ace,1610612762,UTA,19.0,21,6,15,0.286,2.8,0.611,0.389,0.667,0.333,0.333,0.0,0.0,0.111,0.333,0.667,0.333,1.0,0.0,0.75,0.25,8,18,0.444,137,233,424,385,201,180,225,82,8,146,183,303,189,211,101,215,1,73,125,209,124,139,180,1,2025-26,Regular Season,Scoring
Players,1642380,Adama Bal,Adama,1610612763,MEM,22.0,1,1,0,1.0,5.3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1,1.0,442,383,1,1,6,377,1,333,132,1,183,303,247,321,285,258,1,73,1,266,309,362,1,1,2025-26,Regular Season,Scoring
Players,1641737,Adem Bona,Adem,1610612755,PHI,23.0,16,9,7,0.563,3.3,1.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.75,0.0,1.0,0.0,0.0,0.0,1.0,3,5,0.6,193,151,251,161,118,1,338,59,132,247,183,172,247,51,285,1,242,73,334,1,231,268,68,1,2025-26,Regular Season,Scoring
