GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,SEASON,SEASON_TYPE,MEASURE_TYPE
Players,1630639,A.J. Lawson,A.J.,1610612761,TOR,25.0,2,1,1,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,412,383,400,213,459,356,406,356,247,338,247,303,317,303,289,366,385,334,289,254,188,200,382,337,379,157,427,205,24,429,1,2025-26,Regular Season,Base
Players,1631260,AJ Green,AJ,1610612749,MIL,26.0,27,14,13,0.519,3.4,0.2,0.9,0.25,0.2,0.9,0.217,0.1,0.2,0.667,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.4,0.3,0.8,0.6,0.9,0,0,1.1,72,80,75,206,100,267,165,323,104,41,205,242,241,213,278,358,368,333,248,254,188,104,164,182,251,149,368,205,24,328,1,2025-26,Regular Season,Base
Players,1642358,AJ Johnson,AJ,1610612742,DAL,21.0,2,1,1,0.5,3.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,0,0,1.0,412,383,400,213,165,356,280,356,247,114,247,303,317,303,289,366,385,2,289,254,188,200,382,337,379,24,288,205,24,337,2,2025-26,Regular Season,Base
Players,203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,14,9,5,0.643,5.2,1.2,2.1,0.586,0.6,0.9,0.615,0.4,0.7,0.6,0.0,0.8,0.8,0.4,0.2,0.1,0.1,0.1,0.6,0.5,3.4,1.8,5.7,3,0,5.8,217,151,261,95,7,14,31,81,6,29,32,106,73,242,289,25,76,77,85,87,52,40,37,65,18,65,18,84,24,15,1,2025-26,Regular Season,Base
Players,1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,17,9,8,0.529,1.4,0.1,0.5,0.222,0.1,0.5,0.25,0.2,0.2,0.75,0.1,0.0,0.1,0.2,0.1,0.1,0.0,0.0,0.2,0.3,0.5,-1.5,1.2,0,0,1.2,186,151,183,194,380,330,278,340,162,137,177,223,237,176,168,366,367,206,264,123,188,200,276,156,297,384,326,205,24,322,1,2025-26,Regular Season,Base
Players,1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,20,8,12,0.4,3.5,0.5,1.2,0.391,0.2,0.8,0.267,0.2,0.3,0.5,0.3,0.7,0.9,0.2,0.1,0.1,0.2,0.0,0.6,0.4,1.3,-0.5,3.1,0,0,3.0,147,180,89,330,91,145,117,238,90,54,175,239,198,258,68,50,50,179,211,222,49,200,57,130,157,281,109,205,24,113,1,2025-26,Regular Season,Base
Players,1630598,Aaron Wiggins,Aaron,1610612760,OKC,27.0,17,11,6,0.647,2.0,0.2,0.5,0.375,0.2,0.5,0.375,0.1,0.2,0.333,0.1,0.2,0.3,0.1,0.1,0.0,0.1,0.0,0.3,0.1,0.6,0.0,1.2,0,0,1.3,186,115,235,92,322,298,307,245,109,137,99,295,265,298,168,302,290,260,264,254,139,200,218,327,287,212,324,205,24,308,1,2025-26,Regular Season,Base
Players,1642846,Ace Bailey,Ace,1610612762,UTA,19.0,21,6,15,0.286,2.8,0.4,0.9,0.444,0.1,0.3,0.286,0.0,0.0,0.0,0.0,0.4,0.5,0.2,0.2,0.1,0.0,0.0,0.3,0.0,0.9,-1.0,1.8,0,0,1.8,137,233,49,385,201,175,170,180,187,192,163,303,315,303,270,147,201,195,102,148,188,156,181,333,234,356,258,205,24,242,1,2025-26,Regular Season,Base
Players,1642380,Adama Bal,Adama,1610612763,MEM,22.0,1,1,0,1.0,5.3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,5.7,0,0,6.0,442,383,450,1,6,21,130,1,2,19,1,303,317,303,289,6,25,2,289,254,188,200,5,337,24,24,17,205,24,11,1,2025-26,Regular Season,Base
Players,1641737,Adem Bona,Adem,1610612755,PHI,23.0,16,9,7,0.563,3.3,0.2,0.3,0.6,0.0,0.0,0.0,0.1,0.3,0.5,0.3,0.3,0.5,0.1,0.1,0.0,0.3,0.0,0.4,0.3,0.5,0.9,2.1,0,0,1.8,193,151,207,161,118,289,355,68,247,338,247,257,223,258,68,247,171,253,165,254,11,200,125,146,300,126,218,205,24,245,1,2025-26,Regular Season,Base
