GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,USG_PCT_RANK,PCT_FGM_RANK,PCT_FGA_RANK,PCT_FG3M_RANK,PCT_FG3A_RANK,PCT_FTM_RANK,PCT_FTA_RANK,PCT_OREB_RANK,PCT_DREB_RANK,PCT_REB_RANK,PCT_AST_RANK,PCT_TOV_RANK,PCT_STL_RANK,PCT_BLK_RANK,PCT_BLKA_RANK,PCT_PF_RANK,PCT_PFD_RANK,PCT_PTS_RANK,TEAM_COUNT,SEASON,SEASON_TYPE,MEASURE_TYPE
Players,1630639,A.J. Lawson,A.J.,1610612761,TOR,25.0,2,1,1,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412,383,36,213,460,418,356,406,247,338,303,317,289,366,385,334,1,254,188,1,1,337,379,1,2025-26,Regular Season,Usage
Players,1631260,AJ Green,AJ,1610612749,MIL,26.0,27,14,13,0.519,93.0,0.132,0.077,0.15,0.208,0.319,0.103,0.109,0.045,0.032,0.036,0.024,0.071,0.0,0.0,0.222,0.179,0.163,0.096,72,80,397,206,64,266,329,246,150,62,235,245,279,365,383,333,214,254,188,358,238,218,313,1,2025-26,Regular Season,Usage
Players,1642358,AJ Johnson,AJ,1610612742,DAL,21.0,2,1,1,0.5,6.0,0.077,0.0,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412,383,36,213,377,365,356,298,247,119,303,317,289,366,385,37,1,254,188,1,1,337,379,2,2025-26,Regular Season,Usage
Players,203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,14,9,5,0.643,73.0,0.202,0.266,0.232,0.333,0.26,0.136,0.182,0.0,0.256,0.224,0.15,0.2,0.182,0.286,0.4,0.265,0.167,0.245,217,151,183,95,107,119,87,116,72,114,202,179,289,108,158,221,332,169,94,434,367,200,98,1,2025-26,Regular Season,Usage
Players,1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,17,9,8,0.529,24.0,0.203,0.133,0.273,0.333,0.421,0.176,0.148,0.667,0.0,0.154,0.25,0.1,0.5,0.0,0.0,0.222,0.263,0.17,186,151,279,194,271,118,259,74,72,20,164,203,20,366,270,126,238,18,188,1,307,97,200,1,2025-26,Regular Season,Usage
Players,1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,20,8,12,0.4,70.0,0.161,0.17,0.198,0.286,0.313,0.086,0.113,0.294,0.232,0.247,0.133,0.091,0.077,0.3,0.0,0.2,0.194,0.161,147,180,373,330,116,194,188,158,107,66,250,237,106,149,132,236,228,246,91,1,269,171,216,1,2025-26,Regular Season,Usage
Players,1630598,Aaron Wiggins,Aaron,1610612760,OKC,27.0,17,11,6,0.647,34.0,0.127,0.136,0.157,0.375,0.308,0.05,0.111,0.222,0.125,0.152,0.182,0.1,0.0,0.5,0.0,0.238,0.053,0.139,186,115,225,92,226,275,257,236,59,70,282,238,145,294,278,192,238,254,34,1,330,322,252,1,2025-26,Regular Season,Usage
Players,1642846,Ace Bailey,Ace,1610612762,UTA,19.0,21,6,15,0.286,58.0,0.147,0.178,0.167,0.143,0.149,0.0,0.024,0.077,0.25,0.204,0.148,0.267,0.25,0.0,0.091,0.159,0.036,0.13,137,233,424,385,148,233,178,208,189,240,303,315,256,111,184,225,398,107,188,295,206,332,269,1,2025-26,Regular Season,Usage
Players,1642380,Adama Bal,Adama,1610612763,MEM,22.0,1,1,0,1.0,5.0,0.077,0.2,0.125,0.5,0.333,0.0,0.0,0.0,0.333,0.333,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.188,442,383,1,1,391,365,150,298,15,51,303,317,289,47,56,126,1,254,188,1,342,337,173,1,2025-26,Regular Season,Usage
Players,1641737,Adem Bona,Adem,1610612755,PHI,23.0,16,9,7,0.563,53.0,0.069,0.075,0.061,0.0,0.0,0.049,0.085,0.286,0.111,0.16,0.167,0.1,0.0,0.5,0.0,0.241,0.125,0.062,193,151,251,161,165,376,332,391,247,338,283,266,108,313,257,203,238,254,34,1,335,245,354,1,2025-26,Regular Season,Usage
