CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,SEASON,SEASON_TYPE,DEFENSE_CATEGORY
1642270,Donovan Clingan,1610612757,POR,C,22.0,73,73,1.0,670,1491,0.449,0.496,-0.046,2025-26,Regular Season,Overall
203497,Rudy Gobert,1610612750,MIN,C,33.0,74,74,1.0,555,1259,0.441,0.493,-0.052,2025-26,Regular Season,Overall
1630578,Alperen Sengun,1610612745,HOU,C,23.0,67,67,1.0,610,1213,0.503,0.489,0.014,2025-26,Regular Season,Overall
1642852,Derik Queen,1610612740,NOP,C,21.0,77,77,1.0,549,1157,0.475,0.493,-0.018,2025-26,Regular Season,Overall
203999,Nikola Jokić,1610612743,DEN,C,31.0,61,61,1.0,579,1131,0.512,0.49,0.022,2025-26,Regular Season,Overall
1641705,Victor Wembanyama,1610612759,SAS,F-C,22.0,61,61,1.0,442,1091,0.405,0.492,-0.087,2025-26,Regular Season,Overall
1630567,Scottie Barnes,1610612761,TOR,F-G,24.0,74,74,1.0,519,1085,0.478,0.478,0.001,2025-26,Regular Season,Overall
1641824,Matas Buzelis,1610612741,CHI,F,21.0,75,75,1.0,498,1065,0.468,0.474,-0.006,2025-26,Regular Season,Overall
1641739,Toumani Camara,1610612757,POR,F,25.0,78,78,1.0,513,1062,0.483,0.472,0.011,2025-26,Regular Season,Overall
1628401,Derrick White,1610612738,BOS,G,31.0,73,73,1.0,456,1057,0.431,0.465,-0.033,2025-26,Regular Season,Overall
1629029,Luka Dončić,1610612747,LAL,F-G,27.0,64,64,1.0,508,1053,0.482,0.473,0.009,2025-26,Regular Season,Overall
1642875,Maxime Raynaud,1610612758,SAC,C,22.0,70,70,1.0,510,1037,0.492,0.488,0.004,2025-26,Regular Season,Overall
1630168,Onyeka Okongwu,1610612737,ATL,F-C,25.0,71,71,1.0,501,1035,0.484,0.491,-0.007,2025-26,Regular Season,Overall
1630183,Jaden McDaniels,1610612750,MIN,F,25.0,71,71,1.0,452,1024,0.441,0.474,-0.032,2025-26,Regular Season,Overall
1630700,Dyson Daniels,1610612737,ATL,G,23.0,73,73,1.0,477,1024,0.466,0.473,-0.007,2025-26,Regular Season,Overall
1630596,Evan Mobley,1610612739,CLE,C,24.0,62,62,1.0,444,1018,0.436,0.488,-0.052,2025-26,Regular Season,Overall
1628389,Bam Adebayo,1610612748,MIA,C-F,28.0,68,68,1.0,466,1016,0.459,0.487,-0.029,2025-26,Regular Season,Overall
1642851,Kon Knueppel,1610612766,CHA,G-F,20.0,77,77,1.0,448,1015,0.441,0.468,-0.027,2025-26,Regular Season,Overall
1627750,Jamal Murray,1610612743,DEN,G,29.0,72,72,1.0,485,1012,0.479,0.463,0.016,2025-26,Regular Season,Overall
1626167,Myles Turner,1610612749,MIL,C-F,30.0,69,69,1.0,480,993,0.483,0.488,-0.004,2025-26,Regular Season,Overall
1642843,Cooper Flagg,1610612742,DAL,F,19.0,65,65,1.0,453,976,0.464,0.47,-0.006,2025-26,Regular Season,Overall
1626157,Karl-Anthony Towns,1610612752,NYK,C-F,30.0,71,71,1.0,460,965,0.477,0.487,-0.01,2025-26,Regular Season,Overall
1631095,Jabari Smith Jr.,1610612745,HOU,F,22.0,73,73,1.0,432,961,0.45,0.469,-0.019,2025-26,Regular Season,Overall
