PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK,TEAM_COUNT,SEASON,SEASON_TYPE,MEASURE_TYPE
1630639,A.J. Lawson,A.J.,1610612761,TOR,25.0,20,9,11,0.45,9.4,1.1,0.4,0.9,1.3,2.3,2.7,2.4,9.1,0.2,0.2,1.3,0.6,8.7,443,418,150,356,475,313,490,292,456,48,91,83,477,348,129,179,444,454,1,2025-26,Regular Season,Misc
1631260,AJ Green,AJ,1610612749,MIL,26.0,74,30,44,0.405,28.7,1.1,0.8,0.9,0.5,10.2,8.3,8.4,25.9,0.1,0.2,2.3,1.0,16.6,41,188,538,380,115,305,365,284,541,449,426,423,182,445,150,453,338,295,1,2025-26,Regular Season,Misc
1642358,AJ Johnson,AJ,1610612742,DAL,21.0,44,8,36,0.182,8.8,0.5,0.4,1.0,1.6,3.2,2.6,2.6,8.6,0.0,0.5,0.5,0.4,5.8,324,433,482,532,481,473,475,279,424,91,87,94,484,502,371,50,487,500,2,2025-26,Regular Season,Misc
203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,35,26,9,0.743,28.1,1.6,2.3,1.5,6.6,7.4,7.2,8.1,30.4,0.3,0.4,1.7,3.4,28.9,379,221,125,52,125,207,74,189,111,291,359,410,104,305,340,296,63,110,1,2025-26,Regular Season,Misc
1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,53,35,18,0.66,13.6,0.8,0.9,0.7,1.1,4.5,4.9,3.3,12.6,0.1,0.1,1.3,0.8,9.1,261,146,231,111,406,388,310,338,469,144,201,130,423,464,107,187,379,443,1,2025-26,Regular Season,Misc
1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,45,10,35,0.222,29.7,1.4,1.5,1.8,3.7,11.0,9.6,9.2,34.7,0.5,0.8,2.8,2.6,23.5,316,407,469,509,97,263,167,133,238,490,504,472,45,149,528,537,113,169,1,2025-26,Regular Season,Misc
1630598,Aaron Wiggins,Aaron,1610612760,OKC,27.0,61,48,13,0.787,21.9,2.2,1.3,1.6,4.0,7.0,6.9,5.6,19.3,0.4,0.5,1.3,0.9,18.6,193,33,168,30,240,116,206,163,222,267,337,260,301,177,376,186,344,249,1,2025-26,Regular Season,Misc
1642846,Ace Bailey,Ace,1610612762,UTA,19.0,70,18,52,0.257,27.6,1.8,2.1,1.5,5.1,10.7,9.4,10.6,30.1,0.7,0.4,2.7,1.2,24.4,80,315,566,480,135,173,96,176,177,478,498,539,112,100,340,531,284,156,1,2025-26,Regular Season,Misc
1642380,Adama Bal,Adama,1610612763,MEM,22.0,6,1,5,0.167,27.3,1.8,2.8,1.5,2.0,12.2,13.0,7.3,40.7,0.0,0.3,4.0,0.7,17.1,516,540,76,537,138,164,29,181,373,540,577,371,4,515,284,576,414,286,1,2025-26,Regular Season,Misc
1641737,Adem Bona,Adem,1610612755,PHI,23.0,68,39,29,0.574,17.4,0.9,1.9,0.4,3.7,6.1,6.0,5.9,16.8,1.2,0.4,2.2,1.4,15.0,104,100,391,207,331,361,108,428,237,218,279,280,350,30,327,429,239,327,1,2025-26,Regular Season,Misc
1642876,Adou Thiero,Adou,1610612747,LAL,21.0,21,12,9,0.571,5.1,0.3,0.5,0.3,1.0,1.9,1.7,1.8,5.8,0.1,0.1,0.8,0.4,3.7,435,389,125,210,536,504,450,477,491,33,42,44,528,461,119,92,480,540,1,2025-26,Regular Season,Misc
1642349,Ajay Mitchell,Ajay,1610612760,OKC,23.0,55,48,7,0.873,25.9,3.0,1.3,1.7,7.5,7.7,7.5,5.4,20.1,0.3,0.5,2.1,2.7,26.6,239,33,103,9,169,47,212,144,77,305,371,249,283,254,371,418,97,133,1,2025-26,Regular Season,Misc
201143,Al Horford,Al,1610612744,GSW,39.0,43,22,21,0.512,21.7,0.8,0.9,0.4,2.5,8.5,7.8,6.2,23.0,1.2,0.1,1.2,0.5,22.8,326,267,268,290,245,380,339,427,321,354,392,302,239,33,117,159,465,179,1,2025-26,Regular Season,Misc
1630828,Alex Antetokounmpo,Alex,1610612749,MIL,24.0,4,2,2,0.5,3.1,0.0,0.3,0.0,0.0,1.8,1.8,0.8,4.0,0.0,0.0,0.0,0.8,2.2,539,512,31,300,568,545,513,534,562,24,45,11,550,515,1,1,389,566,1,2025-26,Regular Season,Misc
1627936,Alex Caruso,Alex,1610612760,OKC,32.0,54,45,9,0.833,18.5,1.8,0.8,1.3,2.5,5.4,5.5,3.4,14.1,0.3,0.2,1.2,1.0,16.7,250,45,125,14,311,181,362,223,328,183,246,135,399,265,194,172,321,294,1,2025-26,Regular Season,Misc
1631457,Alex Morales,Alex,1610612753,ORL,28.0,2,1,1,0.5,6.9,0.0,0.0,1.0,1.0,5.5,1.0,1.5,1.0,0.0,0.5,2.0,0.0,4.8,563,540,9,300,509,545,538,270,481,185,14,35,573,515,395,373,561,519,1,2025-26,Regular Season,Misc
1642259,Alex Sarr,Alex,1610612764,WAS,20.0,48,11,37,0.229,27.2,2.0,3.1,0.8,10.1,10.2,9.7,8.5,31.0,2.0,1.3,2.2,2.6,35.9,299,402,492,505,144,147,20,312,33,448,509,428,95,2,571,428,108,47,1,2025-26,Regular Season,Misc
1642918,Alijah Martin,Alijah,1610612761,TOR,24.0,21,9,12,0.429,6.2,0.2,0.2,0.5,1.0,1.7,1.5,1.1,6.0,0.2,0.1,0.5,0.5,5.7,435,418,158,369,521,528,524,414,478,21,37,22,522,363,119,37,450,503,1,2025-26,Regular Season,Misc
1631214,Alondes Williams,Alondes,1610612764,WAS,26.0,4,2,2,0.5,25.2,2.5,1.8,3.8,5.5,8.3,6.5,10.3,20.0,0.8,0.0,1.0,1.5,26.3,539,512,31,300,183,81,133,10,153,338,306,520,287,82,1,117,225,135,1,2025-26,Regular Season,Misc
1630578,Alperen Sengun,Alperen,1610612745,HOU,23.0,69,44,25,0.638,33.4,2.9,3.3,0.9,14.1,13.0,11.1,10.8,34.1,1.1,0.9,3.3,5.1,44.3,89,50,334,134,28,52,15,304,5,559,564,544,52,38,538,559,18,12,1,2025-26,Regular Season,Misc
1642873,Amari Williams,Amari,1610612738,BOS,24.0,21,14,7,0.667,6.5,0.1,0.6,0.2,0.9,2.7,1.9,2.8,5.4,0.5,0.1,0.8,0.6,5.6,435,368,103,94,517,540,411,507,501,72,51,102,531,162,86,92,423,507,1,2025-26,Regular Season,Misc
1641708,Amen Thompson,Amen,1610612745,HOU,23.0,76,47,29,0.618,37.3,3.0,2.0,3.1,12.4,14.2,11.2,11.5,38.7,0.6,0.8,2.2,3.7,39.0,25,37,391,158,2,46,101,31,10,573,565,563,10,120,532,427,51,35,1,2025-26,Regular Season,Misc
1629599,Amir Coffey,Amir,1610612756,PHX,28.0,43,18,25,0.419,10.2,0.8,0.5,0.5,1.1,4.2,3.6,4.0,10.0,0.1,0.0,0.7,0.5,6.0,326,315,334,374,463,391,454,411,476,129,140,163,462,440,60,72,465,495,2,2025-26,Regular Season,Misc
1643158,Andersson Garcia,Andersson,1610612762,UTA,25.0,5,1,4,0.2,33.8,1.2,0.2,1.6,3.2,14.6,9.6,14.4,34.0,0.8,0.6,3.2,2.6,25.3,527,540,59,520,25,290,523,158,267,574,504,578,53,73,450,557,110,148,1,2025-26,Regular Season,Misc
203083,Andre Drummond,Andre,1610612755,PHI,32.0,60,31,29,0.517,19.2,0.7,2.5,0.2,3.9,6.7,5.6,6.7,20.2,0.8,0.3,2.0,1.3,21.0,203,177,391,286,300,419,51,510,227,243,259,333,280,78,276,358,265,211,1,2025-26,Regular Season,Misc
1641748,Andre Jackson Jr.,Andre,1610612749,MIL,24.0,44,11,33,0.25,7.8,0.5,0.4,0.3,0.9,3.6,2.0,2.4,7.3,0.0,0.1,0.9,0.4,5.7,324,402,446,481,497,455,480,474,500,104,60,82,508,502,97,104,479,501,1,2025-26,Regular Season,Misc
1629614,Andrew Nembhard,Andrew,1610612754,IND,26.0,57,13,44,0.228,31.3,2.0,1.4,1.4,5.4,11.8,10.0,9.4,37.1,0.1,0.7,2.2,3.3,32.5,221,379,538,507,58,136,197,195,165,527,523,483,19,416,474,435,68,76,1,2025-26,Regular Season,Misc
203952,Andrew Wiggins,Andrew,1610612748,MIA,31.0,64,33,31,0.516,30.6,2.7,2.1,2.8,6.4,10.1,9.9,9.8,34.6,1.1,0.6,2.3,1.8,30.8,153,165,422,287,74,62,94,41,115,440,521,502,48,41,459,451,184,91,1,2025-26,Regular Season,Misc
1629014,Anfernee Simons,Anfernee,1610612741,CHI,26.0,55,31,24,0.564,24.9,1.7,1.6,1.7,3.6,7.4,7.6,7.7,23.5,0.1,0.5,1.7,1.1,21.5,239,177,318,219,188,188,161,149,241,289,378,393,228,412,407,304,301,203,2,2025-26,Regular Season,Misc
1641710,Anthony Black,Anthony,1610612753,ORL,22.0,61,34,27,0.557,30.4,3.1,1.1,3.4,7.3,10.3,8.4,10.0,32.4,0.7,0.9,2.6,3.0,29.8,193,158,358,226,80,40,251,20,86,455,437,510,75,99,536,515,77,102,1,2025-26,Regular Season,Misc
203076,Anthony Davis,Anthony,1610612764,WAS,33.0,20,10,10,0.5,31.3,3.6,4.7,1.5,13.1,12.2,8.2,10.3,37.7,1.7,0.7,2.1,4.4,44.0,443,407,139,300,60,19,1,181,6,543,415,520,15,9,495,412,33,15,1,2025-26,Regular Season,Misc
1630162,Anthony Edwards,Anthony,1610612750,MIN,24.0,60,36,24,0.6,35.2,3.9,2.5,3.4,9.7,12.7,9.9,11.5,37.4,0.8,0.5,1.9,4.5,44.3,203,129,318,172,9,14,51,21,42,556,522,558,17,72,381,348,30,14,1,2025-26,Regular Season,Misc
1630264,Anthony Gill,Anthony,1610612764,WAS,33.0,51,6,45,0.118,16.3,0.5,1.1,0.7,4.0,7.7,5.4,6.8,19.6,0.4,0.4,1.5,0.9,12.8,277,456,541,554,356,470,258,347,223,308,243,338,295,225,335,254,354,370,1,2025-26,Regular Season,Misc
1641810,Antonio Reeves,Antonio,1610612766,CHA,25.0,10,4,6,0.4,6.8,0.0,1.1,0.3,0.4,2.2,2.1,2.1,5.0,0.0,0.1,0.3,0.0,4.3,489,477,86,385,512,545,264,471,548,46,63,64,535,515,89,22,561,527,1,2025-26,Regular Season,Misc
1630574,Ariel Hukporti,Ariel,1610612752,NYK,23.0,52,34,18,0.654,8.8,0.2,0.5,0.1,1.4,2.7,2.4,2.5,7.3,0.5,0.1,1.2,0.6,7.4,268,158,231,117,483,527,447,529,443,71,81,87,505,167,98,166,432,473,1,2025-26,Regular Season,Misc
1642854,Asa Newell,Asa,1610612737,ATL,20.0,42,22,20,0.524,10.8,1.4,0.9,0.7,2.6,3.9,2.8,3.8,11.9,0.3,0.3,1.5,0.7,9.6,332,267,260,280,447,248,341,340,312,116,99,155,433,269,270,239,407,430,1,2025-26,Regular Season,Misc
1641709,Ausar Thompson,Ausar,1610612765,DET,23.0,70,50,20,0.714,26.1,2.3,1.3,2.0,7.9,9.3,7.3,7.0,23.6,0.9,0.6,2.7,2.1,28.7,80,23,260,65,167,103,213,111,70,400,364,347,226,54,450,533,146,112,1,2025-26,Regular Season,Misc
1630559,Austin Reaves,Austin,1610612747,LAL,27.0,51,36,15,0.706,34.5,3.4,1.8,2.2,9.2,12.3,9.4,10.7,36.8,0.4,0.7,2.2,5.4,38.7,277,129,193,74,15,31,123,91,44,547,492,541,24,213,502,423,14,37,1,2025-26,Regular Season,Misc
1630245,Ayo Dosunmu,Ayo,1610612750,MIN,26.0,67,34,33,0.507,27.2,2.3,0.9,3.8,7.0,10.5,9.2,7.7,28.7,0.3,0.8,1.9,1.5,26.2,117,158,446,294,143,101,305,9,93,465,488,391,133,299,535,346,237,136,2,2025-26,Regular Season,Misc
1628389,Bam Adebayo,Bam,1610612748,MIA,28.0,69,35,34,0.507,32.2,3.6,2.7,2.3,9.0,9.8,8.7,9.2,33.8,0.7,0.5,1.7,4.7,40.5,89,146,460,296,45,21,39,83,49,426,449,466,54,110,425,305,25,27,1,2025-26,Regular Season,Misc
1631248,Baylor Scheierman,Baylor,1610612738,BOS,25.0,73,51,22,0.699,18.2,0.6,0.7,0.6,1.0,5.2,5.3,4.7,15.3,0.1,0.1,1.4,0.9,12.6,54,16,284,77,318,446,398,385,479,176,237,201,381,487,65,210,359,371,1,2025-26,Regular Season,Misc
1642879,Ben Saraf,Ben,1610612751,BKN,19.0,40,9,31,0.225,19.6,1.4,0.6,0.8,4.0,9.2,6.3,6.6,20.9,0.1,1.0,1.8,1.5,14.4,350,418,422,508,292,250,415,324,224,391,296,324,272,430,555,318,225,339,1,2025-26,Regular Season,Misc
1641767,Ben Sheppard,Ben,1610612754,IND,24.0,65,16,49,0.246,21.4,1.3,0.7,1.5,2.3,8.2,6.2,7.0,25.2,0.1,0.4,1.8,0.7,14.7,145,341,558,492,253,276,377,178,339,334,293,344,197,465,330,315,413,333,1,2025-26,Regular Season,Misc
1631097,Bennedict Mathurin,Bennedict,1610612746,LAC,23.0,50,20,30,0.4,30.6,3.2,1.9,3.1,6.4,10.4,9.8,8.0,33.3,0.2,0.6,2.6,4.6,29.2,286,292,407,385,73,37,109,30,118,462,517,402,62,321,440,522,29,108,2,2025-26,Regular Season,Misc
1643016,Bez Mbeng,Bez,1610612762,UTA,22.0,12,1,11,0.083,29.8,1.2,0.8,1.0,3.0,13.2,11.6,11.5,36.5,0.4,0.3,3.4,1.4,18.6,474,540,150,558,91,297,349,270,284,562,569,560,26,189,213,567,243,248,1,2025-26,Regular Season,Misc
1641731,Bilal Coulibaly,Bilal,1610612764,WAS,21.0,54,14,40,0.259,26.3,2.1,1.3,2.0,5.3,10.9,9.4,9.6,30.7,0.9,0.6,2.4,2.3,25.9,250,368,510,478,161,123,225,106,170,489,493,489,100,50,438,478,132,142,1,2025-26,Regular Season,Misc
202687,Bismack Biyombo,Bismack,1610612759,SAS,33.0,24,20,4,0.833,5.7,0.1,0.1,0.0,0.7,3.2,2.0,1.8,6.9,0.1,0.1,1.1,0.3,2.9,425,292,59,14,531,536,529,534,525,88,53,43,514,474,79,148,497,559,1,2025-26,Regular Season,Misc
1642396,Blake Hinson,Blake,1610612762,UTA,26.0,11,3,8,0.273,19.4,2.5,0.7,2.2,1.6,8.4,5.9,6.1,18.5,0.2,0.3,1.9,1.0,15.1,480,491,114,468,297,90,378,93,420,342,273,289,319,368,239,349,321,326,1,2025-26,Regular Season,Misc
1631104,Blake Wesley,Blake,1610612757,POR,23.0,28,18,10,0.643,12.6,0.9,0.3,1.2,3.0,6.9,4.8,4.6,14.2,0.2,0.3,1.2,1.5,11.3,408,315,139,129,419,363,498,241,284,262,193,196,396,380,280,162,217,394,1,2025-26,Regular Season,Misc
1626171,Bobby Portis,Bobby,1610612749,MIL,31.0,67,26,41,0.388,24.2,2.0,1.9,0.7,3.9,8.5,7.8,7.4,24.5,0.2,0.3,1.6,1.0,25.1,117,221,517,394,198,144,112,337,229,358,390,378,211,379,283,283,320,150,1,2025-26,Regular Season,Misc
1641752,Bobi Klintman,Bobi,1610612765,DET,23.0,12,8,4,0.667,5.9,0.8,0.3,0.2,0.8,1.8,1.6,2.2,4.7,0.0,0.3,0.9,0.4,4.7,474,433,59,94,527,401,513,514,505,29,39,70,542,515,284,111,482,521,1,2025-26,Regular Season,Misc
203992,Bogdan Bogdanović,Bogdan,1610612746,LAC,33.0,22,7,15,0.318,19.6,0.5,0.4,0.7,1.5,8.4,6.2,5.8,19.2,0.0,0.3,2.0,1.2,13.9,429,441,193,435,293,457,480,344,429,348,290,268,304,502,277,373,288,348,1,2025-26,Regular Season,Misc
1630538,Bones Hyland,Bones,1610612750,MIN,25.0,69,41,28,0.594,16.4,1.8,0.7,1.6,2.3,5.4,4.7,4.6,16.6,0.2,0.4,1.7,1.0,16.0,89,79,372,182,353,183,382,169,344,181,190,195,355,325,355,294,335,311,1,2025-26,Regular Season,Misc
203078,Bradley Beal,Bradley,1610612746,LAC,32.0,6,2,4,0.333,20.2,1.5,0.8,1.0,3.0,9.5,7.0,6.7,19.3,0.0,0.2,2.3,1.8,11.7,516,512,59,420,276,234,349,270,284,407,346,329,300,515,137,464,179,387,1,2025-26,Regular Season,Misc
1642382,Branden Carlson,Branden,1610612760,OKC,26.0,39,31,8,0.795,10.3,0.7,0.7,0.3,2.8,2.6,2.6,3.0,9.6,0.5,0.2,0.8,0.3,10.4,357,177,114,28,461,413,387,457,297,67,86,113,471,135,178,100,497,417,1,2025-26,Regular Season,Misc
1641764,Brandin Podziemski,Brandin,1610612744,GSW,23.0,78,36,42,0.462,28.5,2.5,1.3,1.8,4.7,11.6,9.1,8.9,29.9,0.2,0.4,1.7,2.8,27.8,10,129,528,346,118,85,216,128,186,520,477,453,119,361,307,298,90,122,1,2025-26,Regular Season,Misc
1629634,Brandon Clarke,Brandon,1610612763,MEM,29.0,2,1,1,0.5,10.2,1.0,1.0,0.0,3.0,2.0,3.5,0.0,11.0,0.0,1.5,2.5,1.5,11.4,563,540,9,300,462,335,284,534,284,35,134,1,451,515,577,498,225,393,1,2025-26,Regular Season,Misc
1627742,Brandon Ingram,Brandon,1610612761,TOR,28.0,73,40,33,0.548,33.8,3.5,2.2,2.7,7.3,11.9,9.4,9.2,34.6,0.7,0.9,1.9,3.5,35.3,54,91,446,245,23,24,80,48,87,529,497,468,47,85,540,357,57,50,1,2025-26,Regular Season,Misc
