SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX,SEASON,SEASON_TYPE
22025,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,PRBallHandler,Offensive,0.966,61,0.364,1.191,0.541,0.182,0.093,0.17,0.04,0.556,0.579,570,679,236,436,200,2025-26,Regular Season
22025,1629029,Luka Dončić,1610612747,LAL,Los Angeles Lakers,PRBallHandler,Offensive,0.896,60,0.347,1.039,0.466,0.164,0.133,0.142,0.028,0.468,0.546,648,673,221,474,253,2025-26,Regular Season
22025,1628378,Donovan Mitchell,1610612739,CLE,Cleveland Cavaliers,PRBallHandler,Offensive,0.868,66,0.336,1.012,0.472,0.121,0.128,0.091,0.02,0.462,0.527,561,568,204,432,228,2025-26,Regular Season
22025,1627750,Jamal Murray,1610612743,DEN,Denver Nuggets,PRBallHandler,Offensive,0.88,72,0.338,1.026,0.468,0.093,0.119,0.079,0.022,0.451,0.544,546,560,207,442,235,2025-26,Regular Season
22025,1628973,Jalen Brunson,1610612752,NYK,New York Knicks,PRBallHandler,Offensive,0.819,68,0.337,0.996,0.446,0.125,0.113,0.105,0.034,0.446,0.503,560,558,199,446,247,2025-26,Regular Season
22025,1630595,Cade Cunningham,1610612765,DET,Detroit Pistons,PRBallHandler,Offensive,0.733,59,0.369,0.942,0.461,0.095,0.159,0.088,0.026,0.422,0.525,536,505,191,414,223,2025-26,Regular Season
22025,1630163,LaMelo Ball,1610612766,CHA,Charlotte Hornets,PRBallHandler,Offensive,0.567,66,0.411,0.876,0.392,0.058,0.141,0.044,0.007,0.367,0.48,566,496,179,457,278,2025-26,Regular Season
22025,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,PRBallHandler,Offensive,0.712,64,0.279,0.932,0.406,0.105,0.105,0.089,0.011,0.42,0.472,474,442,154,379,225,2025-26,Regular Season
22025,1626164,Devin Booker,1610612756,PHX,Phoenix Suns,PRBallHandler,Offensive,0.656,59,0.318,0.915,0.425,0.121,0.14,0.102,0.021,0.423,0.471,471,431,152,358,206,2025-26,Regular Season
22025,1631157,Ryan Rollins,1610612749,MIL,Milwaukee Bucks,PRBallHandler,Offensive,0.598,70,0.396,0.888,0.452,0.052,0.159,0.043,0.008,0.404,0.513,483,429,174,385,211,2025-26,Regular Season
22025,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,PRBallHandler,Offensive,0.69,67,0.225,0.928,0.466,0.121,0.149,0.107,0.03,0.441,0.509,429,398,152,326,174,2025-26,Regular Season
22025,202695,Kawhi Leonard,1610612746,LAC,LA Clippers,PRBallHandler,Offensive,0.951,60,0.245,1.119,0.498,0.167,0.119,0.147,0.04,0.5,0.567,354,396,133,267,134,2025-26,Regular Season
22025,1628401,Derrick White,1610612738,BOS,Boston Celtics,PRBallHandler,Offensive,0.65,72,0.332,0.914,0.381,0.074,0.098,0.074,0.01,0.383,0.469,420,384,134,352,218,2025-26,Regular Season
