SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX,SEASON,SEASON_TYPE
22025,1641708,Amen Thompson,1610612745,HOU,Houston Rockets,Cut,Offensive,0.611,73,0.197,1.361,0.686,0.183,0.048,0.175,0.063,0.683,0.686,252,343,144,210,66,2025-26,Regular Season
22025,1631105,Jalen Duren,1610612765,DET,Detroit Pistons,Cut,Offensive,0.666,66,0.202,1.381,0.69,0.228,0.047,0.214,0.07,0.693,0.69,215,297,118,171,53,2025-26,Regular Season
22025,1628386,Jarrett Allen,1610612739,CLE,Cleveland Cavaliers,Cut,Offensive,0.528,53,0.324,1.317,0.665,0.163,0.045,0.163,0.032,0.674,0.665,221,291,121,182,61,2025-26,Regular Season
22025,1629674,Neemias Queta,1610612738,BOS,Boston Celtics,Cut,Offensive,0.606,72,0.305,1.36,0.669,0.175,0.016,0.164,0.037,0.688,0.669,189,257,107,160,53,2025-26,Regular Season
22025,1629028,Deandre Ayton,1610612747,LAL,Los Angeles Lakers,Cut,Offensive,0.725,65,0.27,1.411,0.719,0.067,0.033,0.061,0.028,0.7,0.719,180,254,120,167,47,2025-26,Regular Season
22025,1642875,Maxime Raynaud,1610612758,SAC,Sacramento Kings,Cut,Offensive,0.343,69,0.256,1.241,0.629,0.116,0.05,0.106,0.02,0.618,0.629,199,247,107,170,63,2025-26,Regular Season
22025,203497,Rudy Gobert,1610612750,MIN,Minnesota Timberwolves,Cut,Offensive,0.293,72,0.278,1.211,0.71,0.216,0.088,0.206,0.015,0.665,0.71,194,235,98,138,40,2025-26,Regular Season
22025,1641750,Ryan Kalkbrenner,1610612766,CHA,Charlotte Hornets,Cut,Offensive,0.907,64,0.378,1.542,0.774,0.146,0.021,0.146,0.028,0.785,0.774,144,222,96,124,28,2025-26,Regular Season
22025,1628976,Wendell Carter Jr.,1610612753,ORL,Orlando Magic,Cut,Offensive,0.531,70,0.191,1.32,0.667,0.227,0.053,0.227,0.02,0.687,0.667,150,198,74,111,37,2025-26,Regular Season
22025,1641705,Victor Wembanyama,1610612759,SAS,San Antonio Spurs,Cut,Offensive,0.887,61,0.095,1.519,0.769,0.163,0.039,0.163,0.039,0.767,0.769,129,196,83,108,25,2025-26,Regular Season
22025,1630700,Dyson Daniels,1610612737,ATL,Atlanta Hawks,Cut,Offensive,0.367,72,0.169,1.253,0.681,0.084,0.078,0.084,0.039,0.636,0.681,154,193,92,135,43,2025-26,Regular Season
22025,1631109,Mark Williams,1610612756,PHX,Phoenix Suns,Cut,Offensive,0.706,54,0.267,1.4,0.714,0.222,0.052,0.215,0.052,0.711,0.714,135,189,75,105,30,2025-26,Regular Season
22025,1630596,Evan Mobley,1610612739,CLE,Cleveland Cavaliers,Cut,Offensive,0.409,60,0.147,1.27,0.684,0.169,0.081,0.162,0.041,0.649,0.684,148,188,80,117,37,2025-26,Regular Season
22025,203999,Nikola Jokić,1610612743,DEN,Denver Nuggets,Cut,Offensive,0.669,61,0.088,1.383,0.696,0.143,0.068,0.143,0.053,0.677,0.696,133,184,78,112,34,2025-26,Regular Season
22025,1629627,Zion Williamson,1610612740,NOP,New Orleans Pelicans,Cut,Offensive,0.91,60,0.107,1.542,0.811,0.288,0.051,0.288,0.102,0.78,0.811,118,182,73,90,17,2025-26,Regular Season
22025,1627780,Gary Payton II,1610612744,GSW,Golden State Warriors,Cut,Offensive,0.881,66,0.262,1.513,0.765,0.034,0.017,0.034,0.017,0.756,0.765,119,180,88,115,27,2025-26,Regular Season
22025,1642345,Oso Ighodaro,1610612756,PHX,Phoenix Suns,Cut,Offensive,0.504,74,0.291,1.304,0.689,0.109,0.051,0.101,0.043,0.667,0.689,138,180,84,122,38,2025-26,Regular Season
22025,1641709,Ausar Thompson,1610612765,DET,Detroit Pistons,Cut,Offensive,0.334,68,0.2,1.234,0.656,0.11,0.041,0.11,0.014,0.641,0.656,145,179,82,125,43,2025-26,Regular Season
22025,1629637,Jaxson Hayes,1610612747,LAL,Los Angeles Lakers,Cut,Offensive,0.805,62,0.349,1.471,0.78,0.261,0.034,0.252,0.059,0.756,0.78,119,175,71,91,20,2025-26,Regular Season
22025,1627751,Jakob Poeltl,1610612761,TOR,Toronto Raptors,Cut,Offensive,0.549,39,0.366,1.331,0.694,0.123,0.077,0.115,0.031,0.662,0.694,130,173,75,108,33,2025-26,Regular Season
