SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX,SEASON,SEASON_TYPE
22025,1627750,Jamal Murray,1610612743,DEN,Denver Nuggets,Handoff,Offensive,0.885,72,0.138,1.162,0.484,0.113,0.077,0.104,0.027,0.491,0.573,222,258,90,186,96,2025-26,Regular Season
22025,1629008,Michael Porter Jr.,1610612751,BKN,Brooklyn Nets,Handoff,Offensive,0.647,50,0.175,1.0,0.389,0.097,0.097,0.092,0.026,0.395,0.5,195,195,63,162,99,2025-26,Regular Season
22025,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,Handoff,Offensive,1.0,37,0.121,1.66,0.614,0.132,0.066,0.113,0.028,0.613,0.841,106,176,54,88,34,2025-26,Regular Season
22025,201142,Kevin Durant,1610612745,HOU,Houston Rockets,Handoff,Offensive,0.779,73,0.079,1.081,0.577,0.089,0.17,0.081,0.03,0.504,0.606,135,146,60,104,44,2025-26,Regular Season
22025,1642851,Kon Knueppel,1610612766,CHA,Charlotte Hornets,Handoff,Offensive,0.691,75,0.108,1.022,0.44,0.104,0.104,0.104,0.022,0.433,0.518,134,137,48,109,61,2025-26,Regular Season
22025,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,Handoff,Offensive,0.854,64,0.07,1.143,0.5,0.092,0.118,0.092,0.034,0.471,0.602,119,136,49,98,49,2025-26,Regular Season
22025,1628973,Jalen Brunson,1610612752,NYK,New York Knicks,Handoff,Offensive,0.897,68,0.065,1.176,0.518,0.167,0.065,0.148,0.019,0.556,0.582,108,127,44,85,41,2025-26,Regular Season
22025,1630162,Anthony Edwards,1610612750,MIN,Minnesota Timberwolves,Handoff,Offensive,0.794,57,0.078,1.087,0.434,0.096,0.061,0.096,0.017,0.452,0.54,115,125,43,99,56,2025-26,Regular Season
22025,1642846,Ace Bailey,1610612762,UTA,Utah Jazz,Handoff,Offensive,0.718,68,0.122,1.042,0.445,0.008,0.067,0.008,0.0,0.42,0.559,119,124,49,110,61,2025-26,Regular Season
22025,1630217,Desmond Bane,1610612753,ORL,Orlando Magic,Handoff,Offensive,0.819,74,0.081,1.1,0.478,0.091,0.109,0.091,0.018,0.464,0.572,110,121,43,90,47,2025-26,Regular Season
22025,201942,DeMar DeRozan,1610612758,SAC,Sacramento Kings,Handoff,Offensive,0.969,74,0.075,1.28,0.654,0.097,0.075,0.097,0.011,0.634,0.673,93,119,51,78,27,2025-26,Regular Season
22025,203501,Tim Hardaway Jr.,1610612743,DEN,Denver Nuggets,Handoff,Offensive,0.908,76,0.117,1.19,0.446,0.16,0.02,0.15,0.01,0.52,0.566,100,119,37,83,46,2025-26,Regular Season
22025,1628401,Derrick White,1610612738,BOS,Boston Celtics,Handoff,Offensive,0.5,72,0.102,0.922,0.402,0.109,0.132,0.109,0.031,0.395,0.461,129,119,41,102,61,2025-26,Regular Season
22025,1629638,Nickeil Alexander-Walker,1610612737,ATL,Atlanta Hawks,Handoff,Offensive,0.756,74,0.077,1.065,0.458,0.102,0.157,0.102,0.028,0.426,0.554,108,115,38,83,45,2025-26,Regular Season
22025,1631221,Collin Gillespie,1610612756,PHX,Phoenix Suns,Handoff,Offensive,0.79,73,0.116,1.086,0.424,0.038,0.095,0.038,0.01,0.4,0.576,105,114,39,92,53,2025-26,Regular Season
22025,1630530,Trey Murphy III,1610612740,NOP,New Orleans Pelicans,Handoff,Offensive,0.529,63,0.101,0.934,0.371,0.074,0.082,0.066,0.016,0.377,0.467,122,114,39,105,66,2025-26,Regular Season
22025,1641718,Keyonte George,1610612762,UTA,Utah Jazz,Handoff,Offensive,0.603,52,0.097,0.982,0.412,0.133,0.142,0.133,0.027,0.416,0.482,113,111,35,85,50,2025-26,Regular Season
22025,1626164,Devin Booker,1610612756,PHX,Phoenix Suns,Handoff,Offensive,0.519,59,0.08,0.932,0.455,0.136,0.144,0.102,0.025,0.449,0.477,118,110,40,88,48,2025-26,Regular Season
22025,1628378,Donovan Mitchell,1610612739,CLE,Cleveland Cavaliers,Handoff,Offensive,0.672,66,0.064,1.019,0.42,0.14,0.121,0.131,0.019,0.439,0.506,107,109,34,81,47,2025-26,Regular Season
22025,1628978,Donte DiVincenzo,1610612750,MIN,Minnesota Timberwolves,Handoff,Offensive,0.424,75,0.133,0.852,0.34,0.033,0.123,0.033,0.0,0.32,0.471,122,104,35,103,68,2025-26,Regular Season
22025,1641706,Brandon Miller,1610612766,CHA,Charlotte Hornets,Handoff,Offensive,0.385,60,0.101,0.826,0.32,0.083,0.124,0.066,0.008,0.331,0.407,121,100,31,97,66,2025-26,Regular Season
22025,1630193,Immanuel Quickley,1610612761,TOR,Toronto Raptors,Handoff,Offensive,0.905,65,0.079,1.183,0.457,0.098,0.073,0.098,0.024,0.463,0.607,82,97,32,70,38,2025-26,Regular Season
22025,1630163,LaMelo Ball,1610612766,CHA,Charlotte Hornets,Handoff,Offensive,0.763,66,0.063,1.069,0.452,0.092,0.08,0.069,0.011,0.46,0.548,87,93,33,73,40,2025-26,Regular Season
22025,1627742,Brandon Ingram,1610612761,TOR,Toronto Raptors,Handoff,Offensive,0.729,70,0.059,1.047,0.5,0.14,0.128,0.128,0.012,0.5,0.555,86,90,32,64,32,2025-26,Regular Season
22025,1631260,AJ Green,1610612749,MIL,Milwaukee Bucks,Handoff,Offensive,0.702,71,0.139,1.034,0.375,0.023,0.057,0.023,0.0,0.368,0.531,87,90,30,80,50,2025-26,Regular Season
22025,202691,Klay Thompson,1610612742,DAL,Dallas Mavericks,Handoff,Offensive,0.647,63,0.121,1.0,0.37,0.034,0.056,0.034,0.0,0.371,0.519,89,89,30,81,51,2025-26,Regular Season
22025,1641729,Brice Sensabaugh,1610612762,UTA,Utah Jazz,Handoff,Offensive,0.798,71,0.078,1.09,0.437,0.09,0.051,0.09,0.051,0.436,0.549,78,85,31,71,40,2025-26,Regular Season
22025,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,Handoff,Offensive,0.485,67,0.048,0.913,0.417,0.163,0.087,0.141,0.033,0.446,0.444,92,84,30,72,42,2025-26,Regular Season
22025,1642267,Bub Carrington,1610612764,WAS,Washington Wizards,Handoff,Offensive,0.836,74,0.086,1.122,0.435,0.081,0.122,0.081,0.041,0.405,0.613,74,83,27,62,35,2025-26,Regular Season
22025,1629628,RJ Barrett,1610612761,TOR,Toronto Raptors,Handoff,Offensive,0.847,53,0.075,1.125,0.509,0.194,0.125,0.181,0.056,0.514,0.566,72,81,27,53,26,2025-26,Regular Season
22025,1630552,Jalen Johnson,1610612737,ATL,Atlanta Hawks,Handoff,Offensive,0.321,68,0.067,0.779,0.36,0.067,0.087,0.067,0.01,0.365,0.399,104,81,32,89,57,2025-26,Regular Season
22025,1629640,Keldon Johnson,1610612759,SAS,San Antonio Spurs,Handoff,Offensive,0.878,74,0.08,1.159,0.586,0.116,0.101,0.116,0.058,0.551,0.595,69,80,34,58,24,2025-26,Regular Season
22025,1631157,Ryan Rollins,1610612749,MIL,Milwaukee Bucks,Handoff,Offensive,0.611,70,0.065,0.987,0.463,0.051,0.114,0.038,0.013,0.43,0.537,79,78,31,67,36,2025-26,Regular Season
22025,1630595,Cade Cunningham,1610612765,DET,Detroit Pistons,Handoff,Offensive,0.221,59,0.076,0.703,0.359,0.054,0.126,0.054,0.009,0.333,0.38,111,78,33,92,59,2025-26,Regular Season
22025,1630180,Saddiq Bey,1610612740,NOP,New Orleans Pelicans,Handoff,Offensive,0.832,69,0.06,1.119,0.439,0.149,0.045,0.149,0.045,0.478,0.526,67,75,25,57,32,2025-26,Regular Season
22025,1630198,Isaiah Joe,1610612760,OKC,Oklahoma City Thunder,Handoff,Offensive,0.466,66,0.136,0.901,0.31,0.086,0.049,0.049,0.012,0.346,0.43,81,73,22,71,49,2025-26,Regular Season
22025,1628368,De'Aaron Fox,1610612759,SAS,San Antonio Spurs,Handoff,Offensive,0.481,64,0.07,0.911,0.42,0.063,0.063,0.063,0.0,0.43,0.464,79,72,29,69,40,2025-26,Regular Season
22025,1629130,Duncan Robinson,1610612765,DET,Detroit Pistons,Handoff,Offensive,0.462,71,0.111,0.9,0.324,0.075,0.088,0.063,0.013,0.338,0.449,80,72,22,68,46,2025-26,Regular Season
22025,1630202,Payton Pritchard,1610612738,BOS,Boston Celtics,Handoff,Offensive,0.412,74,0.071,0.845,0.411,0.024,0.107,0.024,0.0,0.381,0.459,84,71,30,73,43,2025-26,Regular Season
22025,203468,CJ McCollum,1610612764,WAS,Washington Wizards,Handoff,Offensive,0.966,31,0.101,1.273,0.523,0.164,0.109,0.145,0.073,0.509,0.636,55,70,23,44,21,2025-26,Regular Season
22025,1642263,Reed Sheppard,1610612745,HOU,Houston Rockets,Handoff,Offensive,0.45,75,0.079,0.886,0.366,0.025,0.076,0.025,0.0,0.354,0.458,79,70,26,71,45,2025-26,Regular Season
