SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX,SEASON,SEASON_TYPE
22025,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,Isolation,Offensive,0.944,61,0.276,1.169,0.511,0.183,0.076,0.171,0.021,0.551,0.565,432,505,168,329,161,2025-26,Regular Season
22025,201935,James Harden,1610612746,LAC,LA Clippers,Isolation,Offensive,0.852,41,0.421,1.057,0.382,0.224,0.069,0.22,0.031,0.473,0.435,419,443,118,309,191,2025-26,Regular Season
22025,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,Isolation,Offensive,0.774,67,0.2,1.013,0.468,0.168,0.113,0.157,0.047,0.471,0.503,382,387,137,293,156,2025-26,Regular Season
22025,1629029,Luka Dončić,1610612747,LAL,Los Angeles Lakers,Isolation,Offensive,0.948,60,0.168,1.172,0.46,0.172,0.073,0.153,0.035,0.497,0.558,314,368,114,248,134,2025-26,Regular Season
22025,1630162,Anthony Edwards,1610612750,MIN,Minnesota Timberwolves,Isolation,Offensive,0.811,57,0.237,1.034,0.449,0.12,0.068,0.114,0.02,0.47,0.514,351,363,131,292,161,2025-26,Regular Season
22025,201142,Kevin Durant,1610612745,HOU,Houston Rockets,Isolation,Offensive,0.8,73,0.191,1.025,0.476,0.12,0.117,0.102,0.018,0.474,0.52,325,333,121,254,133,2025-26,Regular Season
22025,1628973,Jalen Brunson,1610612752,NYK,New York Knicks,Isolation,Offensive,0.674,68,0.163,0.982,0.466,0.1,0.096,0.089,0.018,0.465,0.496,271,266,104,223,119,2025-26,Regular Season
22025,202695,Kawhi Leonard,1610612746,LAC,LA Clippers,Isolation,Offensive,0.747,60,0.18,1.0,0.429,0.142,0.058,0.112,0.015,0.473,0.465,260,260,91,212,121,2025-26,Regular Season
22025,1629627,Zion Williamson,1610612740,NOP,New Orleans Pelicans,Isolation,Offensive,0.856,60,0.22,1.066,0.551,0.24,0.128,0.231,0.058,0.55,0.551,242,258,92,167,75,2025-26,Regular Season
22025,201942,DeMar DeRozan,1610612758,SAC,Sacramento Kings,Isolation,Offensive,0.807,74,0.196,1.029,0.464,0.178,0.066,0.178,0.045,0.504,0.469,242,249,90,194,104,2025-26,Regular Season
22025,203944,Julius Randle,1610612750,MIN,Minnesota Timberwolves,Isolation,Offensive,0.626,75,0.166,0.946,0.444,0.151,0.12,0.143,0.035,0.452,0.465,259,245,88,198,110,2025-26,Regular Season
22025,1627750,Jamal Murray,1610612743,DEN,Denver Nuggets,Isolation,Offensive,0.87,72,0.137,1.072,0.474,0.081,0.063,0.072,0.014,0.48,0.534,221,237,91,192,101,2025-26,Regular Season
22025,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,Isolation,Offensive,0.467,64,0.157,0.873,0.37,0.109,0.041,0.097,0.041,0.397,0.399,267,233,88,238,150,2025-26,Regular Season
22025,1626164,Devin Booker,1610612756,PHX,Phoenix Suns,Isolation,Offensive,0.83,59,0.146,1.046,0.5,0.153,0.106,0.134,0.028,0.509,0.53,216,226,83,166,83,2025-26,Regular Season
22025,1631094,Paolo Banchero,1610612753,ORL,Orlando Magic,Isolation,Offensive,0.441,67,0.172,0.863,0.374,0.221,0.08,0.21,0.027,0.45,0.395,262,226,71,190,119,2025-26,Regular Season
22025,1628378,Donovan Mitchell,1610612739,CLE,Cleveland Cavaliers,Isolation,Offensive,0.796,66,0.127,1.024,0.429,0.099,0.075,0.09,0.009,0.448,0.508,212,217,76,177,101,2025-26,Regular Season
22025,1630578,Alperen Sengun,1610612745,HOU,Houston Rockets,Isolation,Offensive,0.563,66,0.149,0.91,0.461,0.133,0.1,0.124,0.029,0.452,0.461,210,191,77,167,90,2025-26,Regular Season
22025,201935,James Harden,1610612739,CLE,Cleveland Cavaliers,Isolation,Offensive,0.911,24,0.368,1.115,0.488,0.182,0.115,0.176,0.03,0.503,0.57,165,184,59,121,62,2025-26,Regular Season
22025,1627742,Brandon Ingram,1610612761,TOR,Toronto Raptors,Isolation,Offensive,0.459,70,0.142,0.871,0.439,0.134,0.129,0.134,0.014,0.44,0.449,209,182,69,157,88,2025-26,Regular Season
22025,1630595,Cade Cunningham,1610612765,DET,Detroit Pistons,Isolation,Offensive,0.681,59,0.124,0.989,0.447,0.117,0.067,0.117,0.017,0.472,0.487,180,178,67,150,83,2025-26,Regular Season
22025,1630202,Payton Pritchard,1610612738,BOS,Boston Celtics,Isolation,Offensive,0.896,74,0.133,1.101,0.533,0.057,0.089,0.044,0.0,0.513,0.581,158,174,72,135,63,2025-26,Regular Season
22025,1642843,Cooper Flagg,1610612742,DAL,Dallas Mavericks,Isolation,Offensive,0.496,62,0.141,0.884,0.403,0.142,0.084,0.121,0.037,0.432,0.412,190,168,62,154,92,2025-26,Regular Season
22025,1627783,Pascal Siakam,1610612754,IND,Indiana Pacers,Isolation,Offensive,0.574,59,0.127,0.916,0.429,0.169,0.084,0.163,0.039,0.466,0.443,178,163,60,140,80,2025-26,Regular Season
22025,1630166,Deni Avdija,1610612757,POR,Portland Trail Blazers,Isolation,Offensive,0.541,60,0.121,0.907,0.336,0.227,0.128,0.203,0.029,0.419,0.397,172,156,39,116,77,2025-26,Regular Season
22025,1630163,LaMelo Ball,1610612766,CHA,Charlotte Hornets,Isolation,Offensive,0.637,66,0.11,0.954,0.406,0.086,0.086,0.073,0.02,0.411,0.48,151,144,52,128,76,2025-26,Regular Season
22025,1630558,Davion Mitchell,1610612748,MIA,Miami Heat,Isolation,Offensive,0.607,63,0.254,0.935,0.481,0.065,0.11,0.052,0.013,0.455,0.508,154,144,62,129,67,2025-26,Regular Season
22025,1642852,Derik Queen,1610612740,NOP,New Orleans Pelicans,Isolation,Offensive,0.667,75,0.154,0.972,0.471,0.186,0.117,0.152,0.021,0.497,0.476,145,141,49,104,55,2025-26,Regular Season
22025,1641705,Victor Wembanyama,1610612759,SAS,San Antonio Spurs,Isolation,Offensive,0.405,61,0.119,0.852,0.388,0.167,0.123,0.154,0.037,0.414,0.401,162,138,47,121,74,2025-26,Regular Season
22025,1630559,Austin Reaves,1610612747,LAL,Los Angeles Lakers,Isolation,Offensive,0.848,47,0.133,1.054,0.425,0.2,0.038,0.185,0.054,0.485,0.453,130,137,45,106,61,2025-26,Regular Season
22025,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,Isolation,Offensive,0.781,38,0.138,1.015,0.485,0.152,0.106,0.136,0.023,0.5,0.51,132,134,49,101,52,2025-26,Regular Season
22025,1641718,Keyonte George,1610612762,UTA,Utah Jazz,Isolation,Offensive,0.456,52,0.132,0.87,0.361,0.136,0.091,0.13,0.019,0.403,0.402,154,134,44,122,78,2025-26,Regular Season
22025,1631170,Jaime Jaquez Jr.,1610612748,MIA,Miami Heat,Isolation,Offensive,0.415,67,0.151,0.854,0.46,0.102,0.127,0.096,0.019,0.439,0.46,157,134,57,124,67,2025-26,Regular Season
