SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX,SEASON,SEASON_TYPE
22025,1628374,Lauri Markkanen,1610612762,UTA,Utah Jazz,OffScreen,Offensive,0.596,40,0.191,1.022,0.401,0.101,0.056,0.095,0.034,0.419,0.487,179,183,63,157,94,2025-26,Regular Season
22025,202691,Klay Thompson,1610612742,DAL,Dallas Mavericks,OffScreen,Offensive,0.488,63,0.261,0.953,0.384,0.01,0.068,0.01,0.0,0.365,0.506,192,183,68,177,109,2025-26,Regular Season
22025,1629008,Michael Porter Jr.,1610612751,BKN,Brooklyn Nets,OffScreen,Offensive,0.713,50,0.135,1.1,0.433,0.08,0.107,0.08,0.033,0.413,0.575,150,165,55,127,72,2025-26,Regular Season
22025,1627742,Brandon Ingram,1610612761,TOR,Toronto Raptors,OffScreen,Offensive,0.443,70,0.114,0.923,0.431,0.042,0.06,0.042,0.012,0.423,0.474,168,155,66,153,87,2025-26,Regular Season
22025,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,OffScreen,Offensive,0.527,37,0.177,0.994,0.388,0.058,0.084,0.058,0.006,0.387,0.5,155,154,52,134,82,2025-26,Regular Season
22025,203501,Tim Hardaway Jr.,1610612743,DEN,Denver Nuggets,OffScreen,Offensive,0.728,76,0.152,1.108,0.383,0.146,0.046,0.146,0.015,0.438,0.514,130,144,41,107,66,2025-26,Regular Season
22025,1629638,Nickeil Alexander-Walker,1610612737,ATL,Atlanta Hawks,OffScreen,Offensive,0.68,74,0.094,1.068,0.405,0.076,0.083,0.068,0.0,0.417,0.55,132,141,45,111,66,2025-26,Regular Season
22025,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,OffScreen,Offensive,0.616,67,0.071,1.03,0.444,0.119,0.052,0.111,0.037,0.459,0.504,135,139,52,117,65,2025-26,Regular Season
22025,1642846,Ace Bailey,1610612762,UTA,Utah Jazz,OffScreen,Offensive,0.266,68,0.164,0.794,0.345,0.031,0.081,0.031,0.0,0.338,0.415,160,127,49,142,93,2025-26,Regular Season
22025,1642851,Kon Knueppel,1610612766,CHA,Charlotte Hornets,OffScreen,Offensive,0.783,75,0.085,1.181,0.432,0.095,0.048,0.095,0.048,0.438,0.574,105,124,41,95,54,2025-26,Regular Season
22025,1628978,Donte DiVincenzo,1610612750,MIN,Minnesota Timberwolves,OffScreen,Offensive,0.522,75,0.136,0.984,0.377,0.056,0.104,0.04,0.008,0.368,0.519,125,123,40,106,66,2025-26,Regular Season
22025,1629130,Duncan Robinson,1610612765,DET,Detroit Pistons,OffScreen,Offensive,0.498,71,0.177,0.961,0.383,0.047,0.07,0.039,0.016,0.375,0.496,128,123,44,115,71,2025-26,Regular Season
22025,1629029,Luka Dončić,1610612747,LAL,Los Angeles Lakers,OffScreen,Offensive,0.473,60,0.067,0.944,0.402,0.12,0.016,0.12,0.032,0.432,0.464,125,118,45,112,67,2025-26,Regular Season
22025,1626181,Norman Powell,1610612748,MIA,Miami Heat,OffScreen,Offensive,0.644,51,0.106,1.047,0.46,0.14,0.084,0.121,0.037,0.467,0.517,107,112,40,87,47,2025-26,Regular Season
22025,1641705,Victor Wembanyama,1610612759,SAS,San Antonio Spurs,OffScreen,Offensive,0.644,61,0.079,1.047,0.44,0.121,0.047,0.103,0.019,0.477,0.5,107,112,40,91,51,2025-26,Regular Season
22025,1626164,Devin Booker,1610612756,PHX,Phoenix Suns,OffScreen,Offensive,0.626,59,0.073,1.037,0.451,0.157,0.139,0.148,0.056,0.444,0.506,108,112,37,82,45,2025-26,Regular Season
22025,1630217,Desmond Bane,1610612753,ORL,Orlando Magic,OffScreen,Offensive,0.653,74,0.077,1.048,0.456,0.124,0.048,0.114,0.029,0.486,0.5,105,110,41,90,49,2025-26,Regular Season
22025,203999,Nikola Jokić,1610612743,DEN,Denver Nuggets,OffScreen,Offensive,0.956,61,0.049,1.453,0.554,0.133,0.04,0.12,0.04,0.573,0.708,75,109,36,65,29,2025-26,Regular Season
22025,1630174,Aaron Nesmith,1610612754,IND,Indiana Pacers,OffScreen,Offensive,0.621,45,0.163,1.03,0.376,0.05,0.03,0.04,0.01,0.39,0.511,100,103,35,93,58,2025-26,Regular Season
22025,201142,Kevin Durant,1610612745,HOU,Houston Rockets,OffScreen,Offensive,0.429,73,0.066,0.912,0.418,0.088,0.062,0.088,0.018,0.425,0.454,113,103,41,98,57,2025-26,Regular Season
22025,1630541,Moses Moody,1610612744,GSW,Golden State Warriors,OffScreen,Offensive,0.685,57,0.149,1.074,0.365,0.053,0.043,0.053,0.0,0.383,0.529,94,101,31,85,54,2025-26,Regular Season
22025,1627750,Jamal Murray,1610612743,DEN,Denver Nuggets,OffScreen,Offensive,0.97,72,0.04,1.538,0.582,0.108,0.062,0.077,0.015,0.585,0.782,65,100,32,55,23,2025-26,Regular Season
22025,1630530,Trey Murphy III,1610612740,NOP,New Orleans Pelicans,OffScreen,Offensive,0.749,63,0.07,1.153,0.535,0.082,0.106,0.059,0.024,0.494,0.634,85,98,38,71,33,2025-26,Regular Season
22025,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,OffScreen,Offensive,0.793,64,0.048,1.185,0.507,0.049,0.049,0.049,0.0,0.506,0.61,81,96,37,73,36,2025-26,Regular Season
22025,1642285,Cam Spencer,1610612763,MEM,Memphis Grizzlies,OffScreen,Offensive,0.941,69,0.098,1.4,0.542,0.046,0.062,0.046,0.015,0.523,0.729,65,91,32,59,27,2025-26,Regular Season
22025,202695,Kawhi Leonard,1610612746,LAC,LA Clippers,OffScreen,Offensive,0.67,60,0.058,1.06,0.449,0.107,0.095,0.107,0.024,0.44,0.551,84,89,31,69,38,2025-26,Regular Season
22025,1641729,Brice Sensabaugh,1610612762,UTA,Utah Jazz,OffScreen,Offensive,0.414,71,0.098,0.908,0.425,0.112,0.173,0.112,0.031,0.388,0.5,98,89,31,73,42,2025-26,Regular Season
