SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX,SEASON,SEASON_TYPE
22025,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,Transition,Offensive,0.797,64,0.217,1.277,0.555,0.133,0.082,0.125,0.027,0.557,0.649,368,470,166,299,133,2025-26,Regular Season
22025,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,Transition,Offensive,0.479,67,0.206,1.127,0.563,0.17,0.14,0.145,0.038,0.539,0.605,393,443,161,286,125,2025-26,Regular Season
22025,1629638,Nickeil Alexander-Walker,1610612737,ATL,Atlanta Hawks,Transition,Offensive,0.764,74,0.246,1.262,0.543,0.124,0.084,0.115,0.02,0.545,0.647,347,438,153,282,129,2025-26,Regular Season
22025,1628378,Donovan Mitchell,1610612739,CLE,Cleveland Cavaliers,Transition,Offensive,0.571,66,0.214,1.168,0.512,0.145,0.081,0.134,0.034,0.525,0.58,358,418,148,289,141,2025-26,Regular Season
22025,1630552,Jalen Johnson,1610612737,ATL,Atlanta Hawks,Transition,Offensive,0.663,68,0.216,1.221,0.621,0.155,0.146,0.149,0.042,0.57,0.673,335,409,154,248,94,2025-26,Regular Season
22025,1641824,Matas Buzelis,1610612741,CHI,Chicago Bulls,Transition,Offensive,0.66,74,0.266,1.218,0.553,0.139,0.114,0.123,0.025,0.541,0.65,316,385,135,244,109,2025-26,Regular Season
22025,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Transition,Offensive,0.824,54,0.268,1.293,0.687,0.165,0.121,0.162,0.051,0.636,0.709,297,384,156,227,71,2025-26,Regular Season
22025,202695,Kawhi Leonard,1610612746,LAC,LA Clippers,Transition,Offensive,0.844,60,0.199,1.302,0.558,0.135,0.066,0.128,0.042,0.563,0.636,288,375,135,242,107,2025-26,Regular Season
22025,1630230,Naji Marshall,1610612742,DAL,Dallas Mavericks,Transition,Offensive,0.692,69,0.285,1.228,0.638,0.2,0.119,0.2,0.056,0.604,0.655,285,350,134,210,76,2025-26,Regular Season
22025,1630567,Scottie Barnes,1610612761,TOR,Toronto Raptors,Transition,Offensive,0.491,73,0.229,1.133,0.653,0.136,0.197,0.117,0.023,0.553,0.678,309,350,139,213,74,2025-26,Regular Season
22025,1631170,Jaime Jaquez Jr.,1610612748,MIA,Miami Heat,Transition,Offensive,0.471,67,0.297,1.123,0.591,0.159,0.133,0.136,0.055,0.552,0.604,308,346,139,235,96,2025-26,Regular Season
22025,1642843,Cooper Flagg,1610612742,DAL,Dallas Mavericks,Transition,Offensive,0.7,62,0.199,1.23,0.628,0.197,0.115,0.19,0.041,0.61,0.64,269,331,123,196,73,2025-26,Regular Season
22025,1628969,Mikal Bridges,1610612752,NYK,New York Knicks,Transition,Offensive,0.841,74,0.248,1.301,0.6,0.049,0.073,0.045,0.016,0.569,0.691,246,320,132,220,88,2025-26,Regular Season
22025,1626181,Norman Powell,1610612748,MIA,Miami Heat,Transition,Offensive,0.715,51,0.256,1.236,0.519,0.112,0.085,0.112,0.019,0.512,0.656,258,319,110,212,102,2025-26,Regular Season
22025,1631094,Paolo Banchero,1610612753,ORL,Orlando Magic,Transition,Offensive,0.449,67,0.188,1.111,0.559,0.24,0.132,0.233,0.052,0.544,0.579,287,319,109,195,86,2025-26,Regular Season
22025,1641708,Amen Thompson,1610612745,HOU,Houston Rockets,Transition,Offensive,0.504,73,0.218,1.14,0.672,0.179,0.179,0.165,0.036,0.591,0.675,279,318,127,189,62,2025-26,Regular Season
22025,1629029,Luka Dončić,1610612747,LAL,Los Angeles Lakers,Transition,Offensive,0.32,60,0.161,1.053,0.522,0.159,0.209,0.15,0.043,0.465,0.628,301,317,106,203,97,2025-26,Regular Season
22025,1642847,Jeremiah Fears,1610612740,NOP,New Orleans Pelicans,Transition,Offensive,0.246,76,0.274,1.01,0.496,0.157,0.118,0.153,0.029,0.495,0.517,313,316,117,236,119,2025-26,Regular Season
22025,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,Transition,Offensive,0.898,61,0.149,1.343,0.628,0.202,0.064,0.189,0.052,0.644,0.653,233,313,115,183,68,2025-26,Regular Season
22025,1630183,Jaden McDaniels,1610612750,MIN,Minnesota Timberwolves,Transition,Offensive,0.516,68,0.29,1.147,0.586,0.139,0.15,0.125,0.033,0.542,0.633,273,313,119,203,84,2025-26,Regular Season
22025,1630530,Trey Murphy III,1610612740,NOP,New Orleans Pelicans,Transition,Offensive,0.742,63,0.206,1.249,0.569,0.108,0.1,0.1,0.028,0.546,0.65,249,311,116,204,88,2025-26,Regular Season
22025,1641705,Victor Wembanyama,1610612759,SAS,San Antonio Spurs,Transition,Offensive,0.739,61,0.182,1.247,0.578,0.146,0.138,0.126,0.032,0.547,0.681,247,308,107,185,78,2025-26,Regular Season
22025,1630217,Desmond Bane,1610612753,ORL,Orlando Magic,Transition,Offensive,0.509,74,0.198,1.145,0.519,0.13,0.104,0.119,0.022,0.517,0.597,269,308,110,212,102,2025-26,Regular Season
22025,1626164,Devin Booker,1610612756,PHX,Phoenix Suns,Transition,Offensive,0.789,59,0.16,1.274,0.537,0.219,0.08,0.198,0.038,0.578,0.617,237,302,94,175,81,2025-26,Regular Season
22025,1642845,VJ Edgecombe,1610612755,PHI,Philadelphia 76ers,Transition,Offensive,0.6,71,0.217,1.18,0.584,0.113,0.117,0.105,0.02,0.551,0.639,256,302,118,202,84,2025-26,Regular Season
22025,1627783,Pascal Siakam,1610612754,IND,Indiana Pacers,Transition,Offensive,0.444,59,0.194,1.107,0.583,0.165,0.107,0.154,0.029,0.551,0.621,272,301,120,206,86,2025-26,Regular Season
22025,1630193,Immanuel Quickley,1610612761,TOR,Toronto Raptors,Transition,Offensive,0.296,65,0.277,1.042,0.446,0.09,0.083,0.083,0.014,0.448,0.539,288,300,108,242,134,2025-26,Regular Season
22025,1629628,RJ Barrett,1610612761,TOR,Toronto Raptors,Transition,Offensive,0.427,53,0.282,1.103,0.521,0.155,0.089,0.151,0.03,0.528,0.568,271,299,111,213,102,2025-26,Regular Season
