SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,restricted_area_fgm,restricted_area_fga,restricted_area_fg_pct,in_the_paint_non_ra_fgm,in_the_paint_non_ra_fga,in_the_paint_non_ra_fg_pct,mid_range_fgm,mid_range_fga,mid_range_fg_pct,left_corner_3_fgm,left_corner_3_fga,left_corner_3_fg_pct,right_corner_3_fgm,right_corner_3_fga,right_corner_3_fg_pct,above_the_break_3_fgm,above_the_break_3_fga,above_the_break_3_fg_pct,backcourt_fgm,backcourt_fga,backcourt_fg_pct,corner_3_fgm,corner_3_fga,corner_3_fg_pct
2025-26,Regular Season,1630639,A.J. Lawson,1610612761,TOR,25.0,A.J.,12,22,0.545,1,5,0.2,0,0,0.0,9,16,0.563,3,9,0.333,4,10,0.4,0,0,0.0,12,25,0.48
2025-26,Regular Season,1631260,AJ Green,1610612749,MIL,26.0,AJ,10,16,0.625,10,19,0.526,8,23,0.348,36,75,0.48,32,65,0.492,136,357,0.381,0,0,0.0,68,140,0.486
2025-26,Regular Season,1642358,AJ Johnson,1610612742,DAL,21.0,AJ,25,58,0.431,10,33,0.303,0,3,0.0,1,2,0.5,2,7,0.286,8,39,0.205,0,0,0.0,3,9,0.333
2025-26,Regular Season,203932,Aaron Gordon,1610612743,DEN,30.0,Aaron,88,118,0.746,20,60,0.333,17,46,0.37,7,21,0.333,9,17,0.529,40,104,0.385,0,0,0.0,16,38,0.421
2025-26,Regular Season,1628988,Aaron Holiday,1610612745,HOU,29.0,Aaron,10,19,0.526,20,43,0.465,4,16,0.25,13,25,0.52,8,20,0.4,39,111,0.351,0,0,0.0,21,45,0.467
2025-26,Regular Season,1630174,Aaron Nesmith,1610612754,IND,26.0,Aaron,50,95,0.526,33,83,0.398,24,57,0.421,10,21,0.476,25,59,0.424,70,197,0.355,0,0,0.0,35,80,0.438
2025-26,Regular Season,1630598,Aaron Wiggins,1610612760,OKC,27.0,Aaron,89,149,0.597,32,80,0.4,8,23,0.348,14,49,0.286,15,31,0.484,62,175,0.354,0,0,0.0,29,80,0.363
2025-26,Regular Season,1642846,Ace Bailey,1610612762,UTA,19.0,Ace,115,169,0.68,60,105,0.571,66,188,0.351,19,53,0.358,14,55,0.255,98,268,0.366,0,0,0.0,33,108,0.306
2025-26,Regular Season,1642380,Adama Bal,1610612763,MEM,22.0,Adama,3,5,0.6,1,3,0.333,0,2,0.0,3,7,0.429,0,1,0.0,2,7,0.286,0,0,0.0,3,8,0.375
2025-26,Regular Season,1641737,Adem Bona,1610612755,PHI,23.0,Adem,112,175,0.64,9,26,0.346,0,1,0.0,1,5,0.2,0,0,0.0,1,1,1.0,0,0,0.0,1,5,0.2
