PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,CLOSE_DEF_DIST_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,SEASON,SEASON_TYPE
1630639,"Lawson, A.J.",2,19,4,2-4 Feet - Tight,0.071,2,4,0.5,0.75,0.0,0,0,,0.071,2,4,0.5,2025-26,Regular Season
1630639,"Lawson, A.J.",3,19,7,4-6 Feet - Open,0.196,4,11,0.364,0.545,0.0,0,0,,0.196,4,11,0.364,2025-26,Regular Season
1630639,"Lawson, A.J.",4,19,9,6+ Feet - Wide Open,0.321,9,18,0.5,0.75,0.0,0,0,,0.321,9,18,0.5,2025-26,Regular Season
1631260,"Green, AJ",1,73,4,0-2 Feet - Very Tight,0.007,1,4,0.25,0.375,0.002,0,1,0.0,0.005,1,3,0.333,2025-26,Regular Season
1631260,"Green, AJ",2,73,61,2-4 Feet - Tight,0.288,61,157,0.389,0.561,0.027,7,15,0.467,0.26,54,142,0.38,2025-26,Regular Season
1631260,"Green, AJ",3,73,69,4-6 Feet - Open,0.412,90,225,0.4,0.584,0.033,7,18,0.389,0.379,83,207,0.401,2025-26,Regular Season
1631260,"Green, AJ",4,73,59,6+ Feet - Wide Open,0.253,62,138,0.449,0.67,0.004,1,2,0.5,0.249,61,136,0.449,2025-26,Regular Season
1642358,"Johnson, AJ",3,44,1,4-6 Feet - Open,0.017,1,1,1.0,1.5,0.0,0,0,,0.017,1,1,1.0,2025-26,Regular Season
1642358,"Johnson, AJ",4,44,10,6+ Feet - Wide Open,0.379,3,22,0.136,0.205,0.0,0,0,,0.379,3,22,0.136,2025-26,Regular Season
203932,"Gordon, Aaron",2,33,21,2-4 Feet - Tight,0.12,15,44,0.341,0.432,0.052,7,19,0.368,0.068,8,25,0.32,2025-26,Regular Season
203932,"Gordon, Aaron",3,33,33,4-6 Feet - Open,0.292,45,107,0.421,0.547,0.12,18,44,0.409,0.172,27,63,0.429,2025-26,Regular Season
203932,"Gordon, Aaron",4,33,27,6+ Feet - Wide Open,0.161,21,59,0.356,0.534,0.014,0,5,0.0,0.148,21,54,0.389,2025-26,Regular Season
1628988,"Holiday, Aaron",1,52,3,0-2 Feet - Very Tight,0.013,1,3,0.333,0.333,0.013,1,3,0.333,0.0,0,0,,2025-26,Regular Season
1628988,"Holiday, Aaron",2,52,13,2-4 Feet - Tight,0.087,3,20,0.15,0.15,0.07,3,16,0.188,0.017,0,4,0.0,2025-26,Regular Season
1628988,"Holiday, Aaron",3,52,24,4-6 Feet - Open,0.197,11,45,0.244,0.344,0.031,2,7,0.286,0.166,9,38,0.237,2025-26,Regular Season
1628988,"Holiday, Aaron",4,52,40,6+ Feet - Wide Open,0.502,51,115,0.443,0.657,0.022,2,5,0.4,0.48,49,110,0.445,2025-26,Regular Season
1630174,"Nesmith, Aaron",1,45,2,0-2 Feet - Very Tight,0.004,0,2,0.0,0.0,0.004,0,2,0.0,0.0,0,0,,2025-26,Regular Season
1630174,"Nesmith, Aaron",2,45,24,2-4 Feet - Tight,0.066,12,34,0.353,0.441,0.027,6,14,0.429,0.039,6,20,0.3,2025-26,Regular Season
1630174,"Nesmith, Aaron",3,45,43,4-6 Feet - Open,0.326,61,167,0.365,0.476,0.102,24,52,0.462,0.225,37,115,0.322,2025-26,Regular Season
1630174,"Nesmith, Aaron",4,45,43,6+ Feet - Wide Open,0.301,65,154,0.422,0.623,0.023,3,12,0.25,0.277,62,142,0.437,2025-26,Regular Season
1630598,"Wiggins, Aaron",1,60,3,0-2 Feet - Very Tight,0.006,2,3,0.667,0.667,0.006,2,3,0.667,0.0,0,0,,2025-26,Regular Season
1630598,"Wiggins, Aaron",2,60,17,2-4 Feet - Tight,0.047,7,24,0.292,0.354,0.028,4,14,0.286,0.02,3,10,0.3,2025-26,Regular Season
1630598,"Wiggins, Aaron",3,60,48,4-6 Feet - Open,0.187,28,95,0.295,0.411,0.032,6,16,0.375,0.156,22,79,0.278,2025-26,Regular Season
1630598,"Wiggins, Aaron",4,60,58,6+ Feet - Wide Open,0.333,69,169,0.408,0.604,0.006,3,3,1.0,0.327,66,166,0.398,2025-26,Regular Season
1642846,"Bailey, Ace",1,69,6,0-2 Feet - Very Tight,0.007,0,6,0.0,0.0,0.007,0,6,0.0,0.0,0,0,,2025-26,Regular Season
1642846,"Bailey, Ace",2,69,51,2-4 Feet - Tight,0.123,36,100,0.36,0.38,0.105,32,85,0.376,0.018,4,15,0.267,2025-26,Regular Season
1642846,"Bailey, Ace",3,69,62,4-6 Feet - Open,0.277,85,225,0.378,0.484,0.114,37,93,0.398,0.162,48,132,0.364,2025-26,Regular Season
1642846,"Bailey, Ace",4,69,66,6+ Feet - Wide Open,0.304,87,247,0.352,0.504,0.038,12,31,0.387,0.266,75,216,0.347,2025-26,Regular Season
1642380,"Bal, Adama",2,4,1,2-4 Feet - Tight,0.048,0,1,0.0,0.0,0.0,0,0,,0.048,0,1,0.0,2025-26,Regular Season
1642380,"Bal, Adama",3,4,3,4-6 Feet - Open,0.286,2,6,0.333,0.5,0.048,0,1,0.0,0.238,2,5,0.4,2025-26,Regular Season
1642380,"Bal, Adama",4,4,3,6+ Feet - Wide Open,0.381,3,8,0.375,0.563,0.048,0,1,0.0,0.333,3,7,0.429,2025-26,Regular Season
1641737,"Bona, Adem",2,67,1,2-4 Feet - Tight,0.005,0,1,0.0,0.0,0.005,0,1,0.0,0.0,0,0,,2025-26,Regular Season
1641737,"Bona, Adem",4,67,6,6+ Feet - Wide Open,0.029,2,6,0.333,0.5,0.0,0,0,,0.029,2,6,0.333,2025-26,Regular Season
1642876,"Thiero, Adou",4,21,1,6+ Feet - Wide Open,0.045,0,1,0.0,0.0,0.0,0,0,,0.045,0,1,0.0,2025-26,Regular Season
1642349,"Mitchell, Ajay",1,54,7,0-2 Feet - Very Tight,0.014,5,8,0.625,0.625,0.014,5,8,0.625,0.0,0,0,,2025-26,Regular Season
1642349,"Mitchell, Ajay",2,54,24,2-4 Feet - Tight,0.062,19,35,0.543,0.557,0.055,18,31,0.581,0.007,1,4,0.25,2025-26,Regular Season
1642349,"Mitchell, Ajay",3,54,35,4-6 Feet - Open,0.106,28,60,0.467,0.542,0.06,19,34,0.559,0.046,9,26,0.346,2025-26,Regular Season
1642349,"Mitchell, Ajay",4,54,54,6+ Feet - Wide Open,0.284,57,161,0.354,0.506,0.041,8,23,0.348,0.244,49,138,0.355,2025-26,Regular Season
201143,"Horford, Al",2,43,10,2-4 Feet - Tight,0.033,3,10,0.3,0.4,0.017,1,5,0.2,0.017,2,5,0.4,2025-26,Regular Season
201143,"Horford, Al",3,43,33,4-6 Feet - Open,0.194,23,58,0.397,0.534,0.027,7,8,0.875,0.167,16,50,0.32,2025-26,Regular Season
201143,"Horford, Al",4,43,41,6+ Feet - Wide Open,0.482,53,144,0.368,0.542,0.023,3,7,0.429,0.458,50,137,0.365,2025-26,Regular Season
1630828,"Antetokounmpo, Alex",4,3,1,6+ Feet - Wide Open,1.0,0,1,0.0,0.0,0.0,0,0,,1.0,0,1,0.0,2025-26,Regular Season
1627936,"Caruso, Alex",2,53,5,2-4 Feet - Tight,0.021,0,6,0.0,0.0,0.014,0,4,0.0,0.007,0,2,0.0,2025-26,Regular Season
1627936,"Caruso, Alex",3,53,30,4-6 Feet - Open,0.176,16,51,0.314,0.441,0.017,3,5,0.6,0.159,13,46,0.283,2025-26,Regular Season
1627936,"Caruso, Alex",4,53,47,6+ Feet - Wide Open,0.445,41,129,0.318,0.461,0.014,4,4,1.0,0.431,37,125,0.296,2025-26,Regular Season
1642259,"Sarr, Alex",1,48,1,0-2 Feet - Very Tight,0.002,1,1,1.0,1.5,0.0,0,0,,0.002,1,1,1.0,2025-26,Regular Season
1642259,"Sarr, Alex",2,48,24,2-4 Feet - Tight,0.048,15,31,0.484,0.516,0.045,13,29,0.448,0.003,2,2,1.0,2025-26,Regular Season
