PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,TOUCH_TIME_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,SEASON,SEASON_TYPE
1630639,"Lawson, A.J.",1,19,12,Touch < 2 Seconds,0.821,23,46,0.5,0.663,0.232,8,13,0.615,0.589,15,33,0.455,2025-26,Regular Season
1630639,"Lawson, A.J.",2,19,9,Touch 2-6 Seconds,0.179,3,10,0.3,0.3,0.179,3,10,0.3,0.0,0,0,,2025-26,Regular Season
1631260,"Green, AJ",1,73,72,Touch < 2 Seconds,0.811,181,443,0.409,0.599,0.038,12,21,0.571,0.773,169,422,0.4,2025-26,Regular Season
1631260,"Green, AJ",2,73,50,Touch 2-6 Seconds,0.176,43,96,0.448,0.599,0.059,14,32,0.438,0.117,29,64,0.453,2025-26,Regular Season
1631260,"Green, AJ",3,73,6,Touch 6+ Seconds,0.013,3,7,0.429,0.5,0.009,2,5,0.4,0.004,1,2,0.5,2025-26,Regular Season
1642358,"Johnson, AJ",1,44,12,Touch < 2 Seconds,0.414,8,24,0.333,0.396,0.103,5,6,0.833,0.31,3,18,0.167,2025-26,Regular Season
1642358,"Johnson, AJ",2,44,10,Touch 2-6 Seconds,0.431,6,25,0.24,0.26,0.379,5,22,0.227,0.052,1,3,0.333,2025-26,Regular Season
1642358,"Johnson, AJ",3,44,6,Touch 6+ Seconds,0.155,4,9,0.444,0.444,0.121,4,7,0.571,0.034,0,2,0.0,2025-26,Regular Season
203932,"Gordon, Aaron",1,33,32,Touch < 2 Seconds,0.546,122,200,0.61,0.71,0.309,82,113,0.726,0.238,40,87,0.46,2025-26,Regular Season
203932,"Gordon, Aaron",2,33,27,Touch 2-6 Seconds,0.265,39,97,0.402,0.469,0.158,26,58,0.448,0.107,13,39,0.333,2025-26,Regular Season
203932,"Gordon, Aaron",3,33,31,Touch 6+ Seconds,0.189,20,69,0.29,0.312,0.145,17,53,0.321,0.044,3,16,0.188,2025-26,Regular Season
1628988,"Holiday, Aaron",1,52,42,Touch < 2 Seconds,0.62,56,142,0.394,0.585,0.031,2,7,0.286,0.59,54,135,0.4,2025-26,Regular Season
1628988,"Holiday, Aaron",2,52,33,Touch 2-6 Seconds,0.218,20,50,0.4,0.42,0.183,18,42,0.429,0.035,2,8,0.25,2025-26,Regular Season
1628988,"Holiday, Aaron",3,52,20,Touch 6+ Seconds,0.162,16,37,0.432,0.459,0.122,14,28,0.5,0.039,2,9,0.222,2025-26,Regular Season
1630174,"Nesmith, Aaron",1,45,44,Touch < 2 Seconds,0.561,123,287,0.429,0.598,0.09,26,46,0.565,0.471,97,241,0.402,2025-26,Regular Season
1630174,"Nesmith, Aaron",2,45,45,Touch 2-6 Seconds,0.424,86,217,0.396,0.415,0.357,78,183,0.426,0.066,8,34,0.235,2025-26,Regular Season
1630174,"Nesmith, Aaron",3,45,7,Touch 6+ Seconds,0.016,3,8,0.375,0.375,0.012,3,6,0.5,0.004,0,2,0.0,2025-26,Regular Season
1630598,"Wiggins, Aaron",1,60,58,Touch < 2 Seconds,0.538,119,273,0.436,0.573,0.134,44,68,0.647,0.404,75,205,0.366,2025-26,Regular Season
1630598,"Wiggins, Aaron",2,60,52,Touch 2-6 Seconds,0.353,84,179,0.469,0.5,0.282,73,143,0.51,0.071,11,36,0.306,2025-26,Regular Season
1630598,"Wiggins, Aaron",3,60,32,Touch 6+ Seconds,0.108,17,55,0.309,0.355,0.081,12,41,0.293,0.028,5,14,0.357,2025-26,Regular Season
1642846,"Bailey, Ace",1,69,66,Touch < 2 Seconds,0.653,236,531,0.444,0.546,0.277,128,225,0.569,0.376,108,306,0.353,2025-26,Regular Season
1642846,"Bailey, Ace",2,69,65,Touch 2-6 Seconds,0.304,108,247,0.437,0.468,0.242,93,197,0.472,0.062,15,50,0.3,2025-26,Regular Season
1642846,"Bailey, Ace",3,69,23,Touch 6+ Seconds,0.043,15,35,0.429,0.486,0.034,11,28,0.393,0.009,4,7,0.571,2025-26,Regular Season
1642380,"Bal, Adama",1,4,3,Touch < 2 Seconds,0.762,7,16,0.438,0.594,0.19,2,4,0.5,0.571,5,12,0.417,2025-26,Regular Season
1642380,"Bal, Adama",2,4,2,Touch 2-6 Seconds,0.238,1,5,0.2,0.2,0.19,1,4,0.25,0.048,0,1,0.0,2025-26,Regular Season
1641737,"Bona, Adem",1,67,61,Touch < 2 Seconds,0.796,101,164,0.616,0.622,0.767,99,158,0.627,0.029,2,6,0.333,2025-26,Regular Season
1641737,"Bona, Adem",2,67,30,Touch 2-6 Seconds,0.194,20,40,0.5,0.5,0.194,20,40,0.5,0.0,0,0,,2025-26,Regular Season
1641737,"Bona, Adem",3,67,2,Touch 6+ Seconds,0.01,1,2,0.5,0.5,0.01,1,2,0.5,0.0,0,0,,2025-26,Regular Season
1642876,"Thiero, Adou",1,21,7,Touch < 2 Seconds,0.455,4,10,0.4,0.4,0.409,4,9,0.444,0.045,0,1,0.0,2025-26,Regular Season
1642876,"Thiero, Adou",2,21,7,Touch 2-6 Seconds,0.545,6,12,0.5,0.5,0.545,6,12,0.5,0.0,0,0,,2025-26,Regular Season
1642349,"Mitchell, Ajay",1,54,53,Touch < 2 Seconds,0.322,76,182,0.418,0.536,0.094,33,53,0.623,0.228,43,129,0.333,2025-26,Regular Season
1642349,"Mitchell, Ajay",2,54,53,Touch 2-6 Seconds,0.399,120,226,0.531,0.553,0.366,110,207,0.531,0.034,10,19,0.526,2025-26,Regular Season
1642349,"Mitchell, Ajay",3,54,51,Touch 6+ Seconds,0.279,81,158,0.513,0.532,0.244,75,138,0.543,0.035,6,20,0.3,2025-26,Regular Season
201143,"Horford, Al",1,43,43,Touch < 2 Seconds,0.819,102,245,0.416,0.551,0.197,36,59,0.61,0.622,66,186,0.355,2025-26,Regular Season
201143,"Horford, Al",2,43,29,Touch 2-6 Seconds,0.151,21,45,0.467,0.489,0.13,19,39,0.487,0.02,2,6,0.333,2025-26,Regular Season
201143,"Horford, Al",3,43,9,Touch 6+ Seconds,0.03,3,9,0.333,0.333,0.03,3,9,0.333,0.0,0,0,,2025-26,Regular Season
1630828,"Antetokounmpo, Alex",1,3,1,Touch < 2 Seconds,1.0,0,1,0.0,0.0,0.0,0,0,,1.0,0,1,0.0,2025-26,Regular Season
1627936,"Caruso, Alex",1,53,52,Touch < 2 Seconds,0.734,85,213,0.399,0.509,0.186,38,54,0.704,0.548,47,159,0.296,2025-26,Regular Season
1627936,"Caruso, Alex",2,53,33,Touch 2-6 Seconds,0.228,33,66,0.5,0.523,0.183,30,53,0.566,0.045,3,13,0.231,2025-26,Regular Season
1627936,"Caruso, Alex",3,53,8,Touch 6+ Seconds,0.038,4,11,0.364,0.364,0.034,4,10,0.4,0.003,0,1,0.0,2025-26,Regular Season
1631457,"Morales, Alex",2,1,1,Touch 2-6 Seconds,1.0,1,2,0.5,0.5,1.0,1,2,0.5,0.0,0,0,,2025-26,Regular Season
1642259,"Sarr, Alex",1,48,48,Touch < 2 Seconds,0.58,192,377,0.509,0.569,0.38,147,247,0.595,0.2,45,130,0.346,2025-26,Regular Season
1642259,"Sarr, Alex",2,48,48,Touch 2-6 Seconds,0.375,111,244,0.455,0.459,0.358,109,233,0.468,0.017,2,11,0.182,2025-26,Regular Season
1642259,"Sarr, Alex",3,48,22,Touch 6+ Seconds,0.045,9,29,0.31,0.345,0.035,7,23,0.304,0.009,2,6,0.333,2025-26,Regular Season
