PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,SEASON,SEASON_TYPE,PT_MEASURE_TYPE,REBOUNDING_SCOPE
1630639,A.J. Lawson,1610612761,TOR,16,8,8,177.0,27,6,21,0.222,46,0.587,3,0.628,2025-26,Regular Season,Rebounding,defensive
1631260,AJ Green,1610612749,MIL,66,27,39,1935.0,169,33,136,0.195,309,0.547,25,0.595,2025-26,Regular Season,Rebounding,defensive
1642358,AJ Johnson,1610612742,DAL,24,2,22,282.0,39,11,28,0.282,60,0.65,7,0.736,2025-26,Regular Season,Rebounding,defensive
203932,Aaron Gordon,1610612743,DEN,33,24,9,910.0,144,44,100,0.306,212,0.679,12,0.72,2025-26,Regular Season,Rebounding,defensive
1628988,Aaron Holiday,1610612745,HOU,31,20,11,507.0,39,9,30,0.231,62,0.629,3,0.661,2025-26,Regular Season,Rebounding,defensive
1630174,Aaron Nesmith,1610612754,IND,45,10,35,1335.0,139,28,111,0.201,245,0.567,26,0.635,2025-26,Regular Season,Rebounding,defensive
1630598,Aaron Wiggins,1610612760,OKC,55,43,12,1264.0,152,37,115,0.243,287,0.53,32,0.596,2025-26,Regular Season,Rebounding,defensive
1642846,Ace Bailey,1610612762,UTA,68,18,50,1877.0,186,59,126,0.317,301,0.618,35,0.699,2025-26,Regular Season,Rebounding,defensive
1642380,Adama Bal,1610612763,MEM,4,1,3,102.0,7,1,6,0.143,17,0.412,2,0.467,2025-26,Regular Season,Rebounding,defensive
1641737,Adem Bona,1610612755,PHI,64,36,28,1132.0,171,56,115,0.327,372,0.46,51,0.533,2025-26,Regular Season,Rebounding,defensive
1642876,Adou Thiero,1610612747,LAL,12,6,6,79.0,13,5,8,0.385,18,0.722,0,0.722,2025-26,Regular Season,Rebounding,defensive
1642349,Ajay Mitchell,1610612760,OKC,51,44,7,1357.0,147,32,115,0.218,253,0.581,22,0.636,2025-26,Regular Season,Rebounding,defensive
201143,Al Horford,1610612744,GSW,41,21,20,880.0,167,67,100,0.401,248,0.673,16,0.72,2025-26,Regular Season,Rebounding,defensive
1630828,Alex Antetokounmpo,1610612749,MIL,1,0,1,4.0,0,0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,Rebounding,defensive
1627936,Alex Caruso,1610612760,OKC,49,40,9,934.0,118,30,87,0.254,189,0.624,14,0.674,2025-26,Regular Season,Rebounding,defensive
1631457,Alex Morales,1610612753,ORL,1,0,1,12.0,2,0,2,0.0,4,0.5,1,0.667,2025-26,Regular Season,Rebounding,defensive
1642259,Alex Sarr,1610612764,WAS,48,11,37,1305.0,250,97,152,0.388,488,0.512,62,0.587,2025-26,Regular Season,Rebounding,defensive
1642918,Alijah Martin,1610612761,TOR,10,6,4,100.0,12,2,10,0.167,17,0.706,1,0.75,2025-26,Regular Season,Rebounding,defensive
1631214,Alondes Williams,1610612764,WAS,4,2,2,101.0,20,7,13,0.35,32,0.625,3,0.69,2025-26,Regular Season,Rebounding,defensive
1630578,Alperen Sengun,1610612745,HOU,68,43,25,2271.0,402,125,272,0.311,707,0.569,81,0.642,2025-26,Regular Season,Rebounding,defensive
1642873,Amari Williams,1610612738,BOS,14,8,6,119.0,30,10,20,0.333,47,0.638,6,0.732,2025-26,Regular Season,Rebounding,defensive
1641708,Amen Thompson,1610612745,HOU,75,46,29,2795.0,363,101,258,0.278,555,0.654,37,0.701,2025-26,Regular Season,Rebounding,defensive
1629599,Amir Coffey,1610612756,PHX,26,12,14,357.0,34,8,25,0.235,53,0.642,3,0.68,2025-26,Regular Season,Rebounding,defensive
1643158,Andersson Garcia,1610612762,UTA,5,1,4,169.0,25,7,18,0.28,56,0.446,8,0.521,2025-26,Regular Season,Rebounding,defensive
203083,Andre Drummond,1610612755,PHI,57,30,27,1119.0,302,105,197,0.348,478,0.632,33,0.679,2025-26,Regular Season,Rebounding,defensive
1641748,Andre Jackson Jr.,1610612749,MIL,27,5,22,282.0,35,4,31,0.114,57,0.614,4,0.66,2025-26,Regular Season,Rebounding,defensive
1629614,Andrew Nembhard,1610612754,IND,55,13,42,1736.0,135,13,122,0.096,246,0.549,25,0.611,2025-26,Regular Season,Rebounding,defensive
203952,Andrew Wiggins,1610612748,MIA,63,32,31,1934.0,208,68,139,0.327,408,0.51,63,0.603,2025-26,Regular Season,Rebounding,defensive
1629014,Anfernee Simons,1610612741,CHI,49,27,22,1235.0,104,23,81,0.221,186,0.559,16,0.612,2025-26,Regular Season,Rebounding,defensive
1641710,Anthony Black,1610612753,ORL,59,32,27,1824.0,188,33,154,0.176,321,0.586,29,0.644,2025-26,Regular Season,Rebounding,defensive
203076,Anthony Davis,1610612764,WAS,20,10,10,626.0,159,57,102,0.358,253,0.628,21,0.685,2025-26,Regular Season,Rebounding,defensive
1630162,Anthony Edwards,1610612750,MIN,59,35,24,2075.0,261,59,202,0.226,403,0.648,33,0.705,2025-26,Regular Season,Rebounding,defensive
