PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1630639,A.J. Lawson,1610612761,TOR,19,9,10,182.0,12,1,6,0.167,2,2,1.0,4,0.333,2,0.167,0,0.0,1,0.083,1,0.083,2025-26,Regular Season,Drives
1631260,AJ Green,1610612749,MIL,73,29,44,2097.0,117,7,16,0.438,0,0,0.0,14,0.12,85,0.726,12,0.103,10,0.085,0,0.0,2025-26,Regular Season,Drives
1642358,AJ Johnson,1610612742,DAL,44,8,36,386.0,102,17,54,0.315,5,6,0.833,40,0.392,41,0.402,10,0.098,3,0.029,3,0.029,2025-26,Regular Season,Drives
203932,Aaron Gordon,1610612743,DEN,33,24,9,910.0,108,25,50,0.5,40,49,0.816,92,0.852,21,0.194,5,0.046,7,0.065,25,0.231,2025-26,Regular Season,Drives
1628988,Aaron Holiday,1610612745,HOU,52,34,18,698.0,131,28,56,0.5,11,12,0.917,72,0.55,61,0.466,14,0.107,5,0.038,6,0.046,2025-26,Regular Season,Drives
1630174,Aaron Nesmith,1610612754,IND,45,10,35,1335.0,290,70,154,0.455,36,39,0.923,183,0.631,89,0.307,12,0.041,19,0.066,20,0.069,2025-26,Regular Season,Drives
1630598,Aaron Wiggins,1610612760,OKC,60,47,13,1330.0,332,62,144,0.431,25,34,0.735,150,0.452,132,0.398,32,0.096,26,0.078,17,0.051,2025-26,Regular Season,Drives
1642846,Ace Bailey,1610612762,UTA,69,18,51,1896.0,308,75,140,0.536,28,32,0.875,179,0.581,119,0.386,27,0.088,18,0.058,16,0.052,2025-26,Regular Season,Drives
1642380,Adama Bal,1610612763,MEM,4,1,3,102.0,11,2,4,0.5,0,0,0.0,4,0.364,7,0.636,3,0.273,0,0.0,0,0.0,2025-26,Regular Season,Drives
1641737,Adem Bona,1610612755,PHI,67,39,28,1160.0,32,7,16,0.438,10,14,0.714,25,0.781,8,0.25,0,0.0,1,0.031,7,0.219,2025-26,Regular Season,Drives
1642876,Adou Thiero,1610612747,LAL,21,12,9,108.0,16,5,8,0.625,0,0,0.0,12,0.75,5,0.313,1,0.063,3,0.188,0,0.0,2025-26,Regular Season,Drives
1642349,Ajay Mitchell,1610612760,OKC,54,47,7,1408.0,616,154,285,0.54,70,80,0.875,393,0.638,243,0.394,48,0.078,33,0.054,41,0.067,2025-26,Regular Season,Drives
201143,Al Horford,1610612744,GSW,43,22,21,933.0,43,10,21,0.476,4,4,1.0,24,0.558,17,0.395,3,0.07,3,0.07,2,0.047,2025-26,Regular Season,Drives
1630828,Alex Antetokounmpo,1610612749,MIL,3,1,2,11.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,Drives
1627936,Alex Caruso,1610612760,OKC,53,44,9,984.0,99,19,43,0.442,12,14,0.857,52,0.525,41,0.414,11,0.111,6,0.061,7,0.071,2025-26,Regular Season,Drives
1631457,Alex Morales,1610612753,ORL,1,0,1,12.0,2,0,1,0.0,0,0,0.0,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,2025-26,Regular Season,Drives
1642259,Alex Sarr,1610612764,WAS,48,11,37,1305.0,246,63,148,0.426,22,36,0.611,154,0.626,56,0.228,14,0.057,18,0.073,19,0.077,2025-26,Regular Season,Drives
1642918,Alijah Martin,1610612761,TOR,20,9,11,130.0,30,4,13,0.308,5,6,0.833,13,0.433,14,0.467,5,0.167,0,0.0,3,0.1,2025-26,Regular Season,Drives
1631214,Alondes Williams,1610612764,WAS,4,2,2,101.0,8,2,2,1.0,1,2,0.5,6,0.75,5,0.625,3,0.375,0,0.0,1,0.125,2025-26,Regular Season,Drives
1630578,Alperen Sengun,1610612745,HOU,68,43,25,2271.0,578,176,321,0.548,65,88,0.739,425,0.735,145,0.251,32,0.055,53,0.092,46,0.08,2025-26,Regular Season,Drives
1642873,Amari Williams,1610612738,BOS,21,14,7,136.0,2,0,0,0.0,0,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,Drives
1641708,Amen Thompson,1610612745,HOU,75,46,29,2795.0,840,171,337,0.507,106,128,0.828,461,0.549,369,0.439,82,0.098,50,0.06,65,0.077,2025-26,Regular Season,Drives
1629599,Amir Coffey,1610612756,PHX,43,18,25,437.0,48,16,27,0.593,8,10,0.8,43,0.896,15,0.313,4,0.083,0,0.0,5,0.104,2025-26,Regular Season,Drives
1643158,Andersson Garcia,1610612762,UTA,5,1,4,169.0,13,2,4,0.5,4,4,1.0,8,0.615,6,0.462,1,0.077,1,0.077,2,0.154,2025-26,Regular Season,Drives
203083,Andre Drummond,1610612755,PHI,58,31,27,1123.0,14,1,7,0.143,1,2,0.5,3,0.214,3,0.214,0,0.0,3,0.214,1,0.071,2025-26,Regular Season,Drives
1641748,Andre Jackson Jr.,1610612749,MIL,44,11,33,342.0,61,4,17,0.235,1,4,0.25,11,0.18,35,0.574,10,0.164,5,0.082,3,0.049,2025-26,Regular Season,Drives
1629614,Andrew Nembhard,1610612754,IND,57,13,44,1786.0,715,135,265,0.509,99,120,0.825,378,0.529,327,0.457,90,0.126,38,0.053,61,0.085,2025-26,Regular Season,Drives
203952,Andrew Wiggins,1610612748,MIA,63,32,31,1934.0,437,75,176,0.426,51,64,0.797,202,0.462,191,0.437,33,0.076,29,0.066,32,0.073,2025-26,Regular Season,Drives
1629014,Anfernee Simons,1610612741,CHI,55,31,24,1372.0,272,93,173,0.538,19,20,0.95,212,0.779,71,0.261,15,0.055,11,0.04,10,0.037,2025-26,Regular Season,Drives
1641710,Anthony Black,1610612753,ORL,60,33,27,1841.0,394,86,195,0.441,60,79,0.759,237,0.602,121,0.307,38,0.096,25,0.063,40,0.102,2025-26,Regular Season,Drives
203076,Anthony Davis,1610612764,WAS,20,10,10,626.0,89,27,61,0.443,10,14,0.714,64,0.719,11,0.124,3,0.034,10,0.112,7,0.079,2025-26,Regular Season,Drives
1630162,Anthony Edwards,1610612750,MIN,60,36,24,2109.0,666,210,357,0.588,158,194,0.814,606,0.91,164,0.246,36,0.054,30,0.045,100,0.15,2025-26,Regular Season,Drives
1630264,Anthony Gill,1610612764,WAS,49,6,43,769.0,50,19,32,0.594,5,8,0.625,43,0.86,10,0.2,5,0.1,4,0.08,4,0.08,2025-26,Regular Season,Drives
1641810,Antonio Reeves,1610612766,CHA,10,4,6,68.0,11,3,5,0.6,0,0,0.0,6,0.545,6,0.545,1,0.091,0,0.0,0,0.0,2025-26,Regular Season,Drives
1630574,Ariel Hukporti,1610612752,NYK,52,34,18,455.0,11,2,5,0.4,0,0,0.0,4,0.364,3,0.273,1,0.091,3,0.273,0,0.0,2025-26,Regular Season,Drives
1642854,Asa Newell,1610612737,ATL,42,22,20,453.0,41,7,14,0.5,1,2,0.5,16,0.39,22,0.537,6,0.146,3,0.073,1,0.024,2025-26,Regular Season,Drives
1641709,Ausar Thompson,1610612765,DET,68,49,19,1769.0,361,74,168,0.44,40,55,0.727,190,0.526,137,0.38,34,0.094,19,0.053,28,0.078,2025-26,Regular Season,Drives
1630559,Austin Reaves,1610612747,LAL,51,36,15,1762.0,595,172,298,0.577,116,134,0.866,479,0.805,181,0.304,52,0.087,35,0.059,69,0.116,2025-26,Regular Season,Drives
1630245,Ayo Dosunmu,1610612750,MIN,66,34,32,1787.0,488,107,218,0.491,32,35,0.914,258,0.529,217,0.445,46,0.094,23,0.047,19,0.039,2025-26,Regular Season,Drives
1628389,Bam Adebayo,1610612748,MIA,68,34,34,2199.0,487,123,264,0.466,112,140,0.8,366,0.752,121,0.248,22,0.045,22,0.045,70,0.144,2025-26,Regular Season,Drives
1631248,Baylor Scheierman,1610612738,BOS,72,50,22,1309.0,142,27,49,0.551,5,6,0.833,60,0.423,76,0.535,17,0.12,11,0.077,3,0.021,2025-26,Regular Season,Drives
1642879,Ben Saraf,1610612751,BKN,40,9,31,785.0,349,59,132,0.447,30,37,0.811,150,0.43,155,0.444,40,0.115,37,0.106,19,0.054,2025-26,Regular Season,Drives
1641767,Ben Sheppard,1610612754,IND,65,16,49,1390.0,134,29,60,0.483,17,20,0.85,76,0.567,55,0.41,10,0.075,9,0.067,10,0.075,2025-26,Regular Season,Drives
1631097,Bennedict Mathurin,1610612746,LAC,49,19,30,1504.0,359,74,159,0.465,79,88,0.898,238,0.663,113,0.315,20,0.056,30,0.084,46,0.128,2025-26,Regular Season,Drives
1643016,Bez Mbeng,1610612762,UTA,12,1,11,358.0,43,4,10,0.4,3,4,0.75,11,0.256,23,0.535,4,0.093,7,0.163,2,0.047,2025-26,Regular Season,Drives
1641731,Bilal Coulibaly,1610612764,WAS,53,14,39,1397.0,294,52,139,0.374,46,68,0.676,157,0.534,88,0.299,17,0.058,17,0.058,35,0.119,2025-26,Regular Season,Drives
202687,Bismack Biyombo,1610612759,SAS,24,20,4,136.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,Drives
1642396,Blake Hinson,1610612762,UTA,11,3,8,214.0,11,4,5,0.8,2,2,1.0,11,1.0,5,0.455,0,0.0,0,0.0,1,0.091,2025-26,Regular Season,Drives
1631104,Blake Wesley,1610612757,POR,28,18,10,353.0,151,23,44,0.523,6,12,0.5,55,0.364,90,0.596,21,0.139,7,0.046,6,0.04,2025-26,Regular Season,Drives
1626171,Bobby Portis,1610612749,MIL,67,26,41,1619.0,103,29,66,0.439,4,8,0.5,62,0.602,24,0.233,2,0.019,6,0.058,4,0.039,2025-26,Regular Season,Drives
1641752,Bobi Klintman,1610612765,DET,12,8,4,71.0,9,1,3,0.333,0,0,0.0,2,0.222,1,0.111,0,0.0,4,0.444,0,0.0,2025-26,Regular Season,Drives
203992,Bogdan Bogdanović,1610612746,LAC,21,6,15,429.0,88,15,31,0.484,14,18,0.778,45,0.511,46,0.523,11,0.125,1,0.011,9,0.102,2025-26,Regular Season,Drives
1630538,Bones Hyland,1610612750,MIN,68,41,27,1105.0,199,48,93,0.516,8,14,0.571,108,0.543,81,0.407,16,0.08,11,0.055,7,0.035,2025-26,Regular Season,Drives
203078,Bradley Beal,1610612746,LAC,6,2,4,121.0,19,1,10,0.1,2,2,1.0,4,0.211,5,0.263,3,0.158,2,0.105,1,0.053,2025-26,Regular Season,Drives
1642382,Branden Carlson,1610612760,OKC,38,30,8,393.0,10,2,8,0.25,0,2,0.0,4,0.4,0,0.0,0,0.0,1,0.1,1,0.1,2025-26,Regular Season,Drives
1641764,Brandin Podziemski,1610612744,GSW,77,36,41,2189.0,608,105,214,0.491,60,78,0.769,278,0.457,302,0.497,71,0.117,33,0.054,40,0.066,2025-26,Regular Season,Drives
1629634,Brandon Clarke,1610612763,MEM,2,1,1,20.0,5,0,2,0.0,0,0,0.0,0,0.0,3,0.6,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,Drives
1627742,Brandon Ingram,1610612761,TOR,72,40,32,2437.0,741,173,337,0.513,96,117,0.821,451,0.609,267,0.36,56,0.076,58,0.078,59,0.08,2025-26,Regular Season,Drives
1641706,Brandon Miller,1610612766,CHA,61,39,22,1842.0,518,119,268,0.444,72,82,0.878,319,0.616,159,0.307,37,0.071,42,0.081,42,0.081,2025-26,Regular Season,Drives
1630314,Brandon Williams,1610612742,DAL,65,22,43,1438.0,703,157,304,0.516,117,153,0.765,444,0.632,245,0.349,59,0.084,43,0.061,78,0.111,2025-26,Regular Season,Drives
1641729,Brice Sensabaugh,1610612762,UTA,72,18,54,1679.0,385,110,199,0.553,42,50,0.84,276,0.717,124,0.322,27,0.07,23,0.06,28,0.073,2025-26,Regular Season,Drives
1642355,Bronny James,1610612747,LAL,37,21,16,292.0,45,7,20,0.35,2,2,1.0,16,0.356,20,0.444,6,0.133,4,0.089,1,0.022,2025-26,Regular Season,Drives
201572,Brook Lopez,1610612746,LAC,70,38,32,1502.0,90,22,52,0.423,9,12,0.75,57,0.633,20,0.222,5,0.056,11,0.122,6,0.067,2025-26,Regular Season,Drives
1642964,Brooks Barnhizer,1610612760,OKC,37,28,9,283.0,33,4,12,0.333,0,0,0.0,9,0.273,19,0.576,7,0.212,2,0.061,0,0.0,2025-26,Regular Season,Drives
1628971,Bruce Brown,1610612743,DEN,77,49,28,1883.0,226,48,114,0.421,19,22,0.864,117,0.518,84,0.372,27,0.119,12,0.053,11,0.049,2025-26,Regular Season,Drives
1631121,Bryce McGowens,1610612740,NOP,42,14,28,880.0,141,38,85,0.447,29,36,0.806,111,0.787,32,0.227,12,0.085,4,0.028,18,0.128,2025-26,Regular Season,Drives
1642267,Bub Carrington,1610612764,WAS,76,17,59,2100.0,310,54,133,0.406,18,24,0.75,127,0.41,133,0.429,37,0.119,25,0.081,12,0.039,2025-26,Regular Season,Drives
1631205,Buddy Boeheim,1610612760,OKC,4,2,2,15.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,Drives
1627741,Buddy Hield,1610612737,ATL,50,25,25,798.0,91,22,35,0.629,6,6,1.0,51,0.56,48,0.527,13,0.143,4,0.044,3,0.033,2025-26,Regular Season,Drives
1643047,CJ Huntley,1610612756,PHX,2,2,0,7.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,Drives
203468,CJ McCollum,1610612737,ATL,73,36,37,2173.0,754,192,376,0.511,53,68,0.779,445,0.59,280,0.371,65,0.086,41,0.054,34,0.045,2025-26,Regular Season,Drives
1630595,Cade Cunningham,1610612765,DET,61,44,17,2096.0,965,233,468,0.498,120,146,0.822,603,0.625,357,0.37,107,0.111,45,0.047,76,0.079,2025-26,Regular Season,Drives
1631216,Caleb Houstan,1610612737,ATL,18,12,6,75.0,4,0,1,0.0,0,0,0.0,0,0.0,2,0.5,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,Drives
1631126,Caleb Love,1610612757,POR,47,23,24,1009.0,277,57,116,0.491,18,24,0.75,132,0.477,125,0.451,36,0.13,22,0.079,12,0.043,2025-26,Regular Season,Drives
1628997,Caleb Martin,1610612742,DAL,58,20,38,856.0,159,23,57,0.404,15,29,0.517,63,0.396,67,0.421,19,0.119,14,0.088,15,0.094,2025-26,Regular Season,Drives
1642353,Cam Christie,1610612746,LAC,51,24,27,461.0,82,16,41,0.39,19,22,0.864,53,0.646,25,0.305,5,0.061,3,0.037,11,0.134,2025-26,Regular Season,Drives
1642285,Cam Spencer,1610612763,MEM,71,23,48,1694.0,378,59,120,0.492,36,38,0.947,161,0.426,214,0.566,65,0.172,15,0.04,19,0.05,2025-26,Regular Season,Drives
1630560,Cam Thomas,1610612749,MIL,42,12,30,881.0,356,87,185,0.47,62,74,0.838,244,0.685,102,0.287,31,0.087,20,0.056,37,0.104,2025-26,Regular Season,Drives
1641715,Cam Whitmore,1610612764,WAS,21,3,18,354.0,47,12,32,0.375,3,8,0.375,27,0.574,7,0.149,3,0.064,3,0.064,4,0.085,2025-26,Regular Season,Drives
1629661,Cameron Johnson,1610612743,DEN,51,34,17,1541.0,178,26,69,0.377,18,26,0.692,74,0.416,81,0.455,22,0.124,11,0.062,13,0.073,2025-26,Regular Season,Drives
