PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,TOUCHES,ELBOW_TOUCHES,ELBOW_TOUCH_FGM,ELBOW_TOUCH_FGA,ELBOW_TOUCH_FG_PCT,ELBOW_TOUCH_FTM,ELBOW_TOUCH_FTA,ELBOW_TOUCH_FT_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_PTS_PCT,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCH_FOULS,ELBOW_TOUCH_FOULS_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1630639,A.J. Lawson,1610612761,TOR,19,9,10,182.0,217,5,2,3,0.667,0,0,0.0,4,0.8,1,0.2,0,0.0,1,0.2,0,0.0,2025-26,Regular Season,ElbowTouch
1631260,AJ Green,1610612749,MIL,73,29,44,2097.0,3157,21,1,5,0.2,0,0,0.0,2,0.095,15,0.714,4,0.267,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1642358,AJ Johnson,1610612742,DAL,44,8,36,386.0,593,6,0,0,0.0,1,2,0.5,1,0.167,4,0.667,1,0.25,1,0.167,1,0.167,2025-26,Regular Season,ElbowTouch
203932,Aaron Gordon,1610612743,DEN,33,24,9,910.0,1571,56,13,21,0.619,8,10,0.8,35,0.625,28,0.5,8,0.286,2,0.036,5,0.089,2025-26,Regular Season,ElbowTouch
1628988,Aaron Holiday,1610612745,HOU,52,34,18,698.0,1033,4,1,3,0.333,0,0,0.0,2,0.5,1,0.25,1,1.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1630174,Aaron Nesmith,1610612754,IND,45,10,35,1335.0,2246,21,7,12,0.583,0,0,0.0,14,0.667,9,0.429,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1630598,Aaron Wiggins,1610612760,OKC,60,47,13,1330.0,2037,22,9,15,0.6,0,0,0.0,19,0.864,6,0.273,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1642846,Ace Bailey,1610612762,UTA,69,18,51,1896.0,2285,53,16,25,0.64,4,6,0.667,36,0.679,23,0.434,4,0.174,2,0.038,3,0.057,2025-26,Regular Season,ElbowTouch
1642380,Adama Bal,1610612763,MEM,4,1,3,102.0,114,2,0,0,0.0,0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1641737,Adem Bona,1610612755,PHI,67,39,28,1160.0,1130,48,10,16,0.625,6,8,0.75,26,0.542,23,0.479,2,0.087,5,0.104,4,0.083,2025-26,Regular Season,ElbowTouch
1642876,Adou Thiero,1610612747,LAL,21,12,9,108.0,133,2,1,1,1.0,0,0,0.0,2,1.0,1,0.5,1,1.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1642349,Ajay Mitchell,1610612760,OKC,54,47,7,1408.0,2468,32,11,14,0.786,0,0,0.0,22,0.688,15,0.469,1,0.067,2,0.063,0,0.0,2025-26,Regular Season,ElbowTouch
201143,Al Horford,1610612744,GSW,43,22,21,933.0,1889,58,13,16,0.813,1,2,0.5,28,0.483,38,0.655,12,0.316,3,0.052,1,0.017,2025-26,Regular Season,ElbowTouch
1630828,Alex Antetokounmpo,1610612749,MIL,3,1,2,11.0,9,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1627936,Alex Caruso,1610612760,OKC,53,44,9,984.0,1600,44,10,14,0.714,0,0,0.0,20,0.455,24,0.545,4,0.167,3,0.068,0,0.0,2025-26,Regular Season,ElbowTouch
1631457,Alex Morales,1610612753,ORL,1,0,1,12.0,16,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1642259,Alex Sarr,1610612764,WAS,48,11,37,1305.0,2729,232,60,117,0.513,28,36,0.778,151,0.651,70,0.302,13,0.186,20,0.086,17,0.073,2025-26,Regular Season,ElbowTouch
1642918,Alijah Martin,1610612761,TOR,20,9,11,130.0,184,3,1,1,1.0,0,0,0.0,2,0.667,2,0.667,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1631214,Alondes Williams,1610612764,WAS,4,2,2,101.0,116,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1630578,Alperen Sengun,1610612745,HOU,68,43,25,2271.0,4851,366,77,136,0.566,29,40,0.725,185,0.505,189,0.516,58,0.307,12,0.033,17,0.046,2025-26,Regular Season,ElbowTouch
1642873,Amari Williams,1610612738,BOS,21,14,7,136.0,164,10,2,5,0.4,2,2,1.0,6,0.6,3,0.3,0,0.0,0,0.0,1,0.1,2025-26,Regular Season,ElbowTouch
1641708,Amen Thompson,1610612745,HOU,75,46,29,2795.0,5432,132,28,51,0.549,11,14,0.786,73,0.553,64,0.485,12,0.188,6,0.045,6,0.045,2025-26,Regular Season,ElbowTouch
1629599,Amir Coffey,1610612756,PHX,43,18,25,437.0,405,3,1,1,1.0,0,0,0.0,3,1.0,1,0.333,0,0.0,1,0.333,0,0.0,2025-26,Regular Season,ElbowTouch
1643158,Andersson Garcia,1610612762,UTA,5,1,4,169.0,209,3,2,2,1.0,0,0,0.0,4,1.333,1,0.333,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
203083,Andre Drummond,1610612755,PHI,58,31,27,1123.0,1288,58,10,18,0.556,3,4,0.75,23,0.397,33,0.569,11,0.333,3,0.052,2,0.034,2025-26,Regular Season,ElbowTouch
1641748,Andre Jackson Jr.,1610612749,MIL,44,11,33,342.0,717,22,3,10,0.3,2,2,1.0,8,0.364,11,0.5,2,0.182,0,0.0,1,0.045,2025-26,Regular Season,ElbowTouch
1629614,Andrew Nembhard,1610612754,IND,57,13,44,1786.0,4984,21,6,12,0.5,0,0,0.0,12,0.571,7,0.333,0,0.0,1,0.048,0,0.0,2025-26,Regular Season,ElbowTouch
203952,Andrew Wiggins,1610612748,MIA,63,32,31,1934.0,2783,23,12,18,0.667,1,2,0.5,26,1.13,3,0.13,0,0.0,1,0.043,1,0.043,2025-26,Regular Season,ElbowTouch
1629014,Anfernee Simons,1610612741,CHI,55,31,24,1372.0,2456,12,5,5,1.0,0,0,0.0,11,0.917,7,0.583,2,0.286,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1641710,Anthony Black,1610612753,ORL,60,33,27,1841.0,3507,36,12,17,0.706,2,2,1.0,27,0.75,15,0.417,3,0.2,2,0.056,1,0.028,2025-26,Regular Season,ElbowTouch
203076,Anthony Davis,1610612764,WAS,20,10,10,626.0,1187,85,22,47,0.468,11,12,0.917,58,0.682,23,0.271,9,0.391,6,0.071,6,0.071,2025-26,Regular Season,ElbowTouch
1630162,Anthony Edwards,1610612750,MIN,60,36,24,2109.0,4373,32,13,23,0.565,7,8,0.875,33,1.031,3,0.094,0,0.0,2,0.063,4,0.125,2025-26,Regular Season,ElbowTouch
1630264,Anthony Gill,1610612764,WAS,49,6,43,769.0,972,60,14,22,0.636,3,4,0.75,32,0.533,32,0.533,5,0.156,3,0.05,1,0.017,2025-26,Regular Season,ElbowTouch
1641810,Antonio Reeves,1610612766,CHA,10,4,6,68.0,70,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1630574,Ariel Hukporti,1610612752,NYK,52,34,18,455.0,461,53,4,10,0.4,1,2,0.5,10,0.189,41,0.774,6,0.146,0,0.0,1,0.019,2025-26,Regular Season,ElbowTouch
1642854,Asa Newell,1610612737,ATL,42,22,20,453.0,583,25,13,14,0.929,0,0,0.0,26,1.04,7,0.28,1,0.143,2,0.08,0,0.0,2025-26,Regular Season,ElbowTouch
1641709,Ausar Thompson,1610612765,DET,68,49,19,1769.0,2791,101,27,44,0.614,6,20,0.3,63,0.624,44,0.436,12,0.273,3,0.03,9,0.089,2025-26,Regular Season,ElbowTouch
1630559,Austin Reaves,1610612747,LAL,51,36,15,1762.0,3705,30,8,11,0.727,5,6,0.833,21,0.7,13,0.433,3,0.231,2,0.067,3,0.1,2025-26,Regular Season,ElbowTouch
1630245,Ayo Dosunmu,1610612750,MIN,66,34,32,1787.0,3500,37,13,23,0.565,2,2,1.0,28,0.757,10,0.27,1,0.1,1,0.027,0,0.0,2025-26,Regular Season,ElbowTouch
1628389,Bam Adebayo,1610612748,MIA,68,34,34,2199.0,3927,145,45,84,0.536,19,24,0.792,112,0.772,40,0.276,12,0.3,4,0.028,12,0.083,2025-26,Regular Season,ElbowTouch
1631248,Baylor Scheierman,1610612738,BOS,72,50,22,1309.0,1510,21,4,4,1.0,0,0,0.0,9,0.429,16,0.762,3,0.188,1,0.048,0,0.0,2025-26,Regular Season,ElbowTouch
1642879,Ben Saraf,1610612751,BKN,40,9,31,785.0,1805,12,4,5,0.8,0,0,0.0,8,0.667,5,0.417,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1641767,Ben Sheppard,1610612754,IND,65,16,49,1390.0,2203,17,2,7,0.286,2,2,1.0,7,0.412,9,0.529,0,0.0,0,0.0,1,0.059,2025-26,Regular Season,ElbowTouch
1631097,Bennedict Mathurin,1610612746,LAC,49,19,30,1504.0,2571,69,18,32,0.563,16,19,0.842,53,0.768,23,0.333,2,0.087,3,0.043,9,0.13,2025-26,Regular Season,ElbowTouch
1643016,Bez Mbeng,1610612762,UTA,12,1,11,358.0,436,8,2,2,1.0,0,0,0.0,4,0.5,6,0.75,2,0.333,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1641731,Bilal Coulibaly,1610612764,WAS,53,14,39,1397.0,2398,25,8,11,0.727,6,8,0.75,23,0.92,9,0.36,0,0.0,1,0.04,4,0.16,2025-26,Regular Season,ElbowTouch
202687,Bismack Biyombo,1610612759,SAS,24,20,4,136.0,159,9,0,2,0.0,0,0,0.0,0,0.0,7,0.778,1,0.143,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1642396,Blake Hinson,1610612762,UTA,11,3,8,214.0,255,5,1,4,0.25,0,0,0.0,2,0.4,0,0.0,0,0.0,1,0.2,0,0.0,2025-26,Regular Season,ElbowTouch
1631104,Blake Wesley,1610612757,POR,28,18,10,353.0,758,5,1,3,0.333,0,0,0.0,2,0.4,1,0.2,0,0.0,1,0.2,0,0.0,2025-26,Regular Season,ElbowTouch
1626171,Bobby Portis,1610612749,MIL,67,26,41,1619.0,3093,71,22,33,0.667,1,2,0.5,46,0.648,33,0.465,6,0.182,4,0.056,1,0.014,2025-26,Regular Season,ElbowTouch
1641752,Bobi Klintman,1610612765,DET,12,8,4,71.0,101,3,0,2,0.0,0,0,0.0,0,0.0,1,0.333,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
203992,Bogdan Bogdanović,1610612746,LAC,21,6,15,429.0,755,5,0,1,0.0,0,0,0.0,0,0.0,3,0.6,1,0.333,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1630538,Bones Hyland,1610612750,MIN,68,41,27,1105.0,2595,8,3,3,1.0,0,0,0.0,6,0.75,4,0.5,1,0.25,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
203078,Bradley Beal,1610612746,LAC,6,2,4,121.0,177,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1642382,Branden Carlson,1610612760,OKC,38,30,8,393.0,550,21,7,11,0.636,2,2,1.0,16,0.762,8,0.381,4,0.5,1,0.048,1,0.048,2025-26,Regular Season,ElbowTouch
1641764,Brandin Podziemski,1610612744,GSW,77,36,41,2189.0,4696,60,13,20,0.65,3,4,0.75,31,0.517,31,0.517,5,0.161,6,0.1,2,0.033,2025-26,Regular Season,ElbowTouch
1629634,Brandon Clarke,1610612763,MEM,2,1,1,20.0,27,4,1,2,0.5,0,0,0.0,2,0.5,2,0.5,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1627742,Brandon Ingram,1610612761,TOR,72,40,32,2437.0,3951,72,16,40,0.4,8,10,0.8,40,0.556,19,0.264,2,0.105,5,0.069,5,0.069,2025-26,Regular Season,ElbowTouch
1641706,Brandon Miller,1610612766,CHA,61,39,22,1842.0,3614,77,20,38,0.526,4,4,1.0,46,0.597,35,0.455,6,0.171,2,0.026,2,0.026,2025-26,Regular Season,ElbowTouch
1630314,Brandon Williams,1610612742,DAL,65,22,43,1438.0,3148,19,4,8,0.5,4,4,1.0,12,0.632,6,0.316,1,0.167,2,0.105,2,0.105,2025-26,Regular Season,ElbowTouch
1641729,Brice Sensabaugh,1610612762,UTA,72,18,54,1679.0,2595,42,13,21,0.619,4,6,0.667,30,0.714,9,0.214,2,0.222,3,0.071,3,0.071,2025-26,Regular Season,ElbowTouch
1642355,Bronny James,1610612747,LAL,37,21,16,292.0,559,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
201572,Brook Lopez,1610612746,LAC,70,38,32,1502.0,1773,64,13,26,0.5,5,8,0.625,31,0.484,30,0.469,8,0.267,2,0.031,4,0.063,2025-26,Regular Season,ElbowTouch
1642964,Brooks Barnhizer,1610612760,OKC,37,28,9,283.0,303,7,0,1,0.0,0,0,0.0,0,0.0,5,0.714,1,0.2,1,0.143,0,0.0,2025-26,Regular Season,ElbowTouch
1628971,Bruce Brown,1610612743,DEN,77,49,28,1883.0,2839,63,18,36,0.5,4,6,0.667,43,0.683,20,0.317,6,0.3,3,0.048,4,0.063,2025-26,Regular Season,ElbowTouch
1631121,Bryce McGowens,1610612740,NOP,42,14,28,880.0,1147,7,2,3,0.667,1,2,0.5,5,0.714,3,0.429,0,0.0,0,0.0,1,0.143,2025-26,Regular Season,ElbowTouch
1642267,Bub Carrington,1610612764,WAS,76,17,59,2100.0,4475,14,3,4,0.75,0,0,0.0,6,0.429,10,0.714,5,0.5,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1631205,Buddy Boeheim,1610612760,OKC,4,2,2,15.0,12,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
1627741,Buddy Hield,1610612737,ATL,50,25,25,798.0,1450,26,12,14,0.857,2,4,0.5,26,1.0,10,0.385,2,0.2,0,0.0,2,0.077,2025-26,Regular Season,ElbowTouch
1643047,CJ Huntley,1610612756,PHX,2,2,0,7.0,5,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,ElbowTouch
203468,CJ McCollum,1610612737,ATL,73,36,37,2173.0,4183,43,11,15,0.733,5,7,0.714,31,0.721,22,0.512,7,0.318,1,0.023,3,0.07,2025-26,Regular Season,ElbowTouch
1630595,Cade Cunningham,1610612765,DET,61,44,17,2096.0,5502,60,17,26,0.654,6,8,0.75,41,0.683,24,0.4,7,0.292,5,0.083,4,0.067,2025-26,Regular Season,ElbowTouch
