PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,TOUCHES,PAINT_TOUCHES,PAINT_TOUCH_FGM,PAINT_TOUCH_FGA,PAINT_TOUCH_FG_PCT,PAINT_TOUCH_FTM,PAINT_TOUCH_FTA,PAINT_TOUCH_FT_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_PTS_PCT,PAINT_TOUCH_PASSES,PAINT_TOUCH_PASSES_PCT,PAINT_TOUCH_AST,PAINT_TOUCH_AST_PCT,PAINT_TOUCH_TOV,PAINT_TOUCH_TOV_PCT,PAINT_TOUCH_FOULS,PAINT_TOUCH_FOULS_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1630639,A.J. Lawson,1610612761,TOR,19,9,10,182.0,217,14,6,6,1.0,2,2,1.0,15,1.071,6,0.429,1,0.071,1,0.071,1,0.071,2025-26,Regular Season,PaintTouch
1631260,AJ Green,1610612749,MIL,73,29,44,2097.0,3157,27,6,11,0.545,0,0,0.0,12,0.444,15,0.556,5,0.185,0,0.0,0,0.0,2025-26,Regular Season,PaintTouch
1642358,AJ Johnson,1610612742,DAL,44,8,36,386.0,593,21,5,8,0.625,5,6,0.833,16,0.762,5,0.238,2,0.095,5,0.238,3,0.143,2025-26,Regular Season,PaintTouch
203932,Aaron Gordon,1610612743,DEN,33,24,9,910.0,1571,158,71,103,0.689,23,32,0.719,171,1.082,33,0.209,8,0.051,4,0.025,15,0.095,2025-26,Regular Season,PaintTouch
1628988,Aaron Holiday,1610612745,HOU,52,34,18,698.0,1033,2,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PaintTouch
1630174,Aaron Nesmith,1610612754,IND,45,10,35,1335.0,2246,45,10,23,0.435,4,6,0.667,25,0.556,16,0.356,2,0.044,1,0.022,3,0.067,2025-26,Regular Season,PaintTouch
1630598,Aaron Wiggins,1610612760,OKC,60,47,13,1330.0,2037,72,31,42,0.738,5,8,0.625,68,0.944,16,0.222,1,0.014,4,0.056,4,0.056,2025-26,Regular Season,PaintTouch
1642846,Ace Bailey,1610612762,UTA,69,18,51,1896.0,2285,137,58,85,0.682,16,22,0.727,134,0.978,29,0.212,4,0.029,7,0.051,11,0.08,2025-26,Regular Season,PaintTouch
1642380,Adama Bal,1610612763,MEM,4,1,3,102.0,114,5,2,3,0.667,0,0,0.0,4,0.8,1,0.2,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PaintTouch
1641737,Adem Bona,1610612755,PHI,67,39,28,1160.0,1130,221,83,141,0.589,34,40,0.85,200,0.905,34,0.154,3,0.014,21,0.095,21,0.095,2025-26,Regular Season,PaintTouch
1642876,Adou Thiero,1610612747,LAL,21,12,9,108.0,133,15,4,8,0.5,1,2,0.5,9,0.6,5,0.333,2,0.133,0,0.0,1,0.067,2025-26,Regular Season,PaintTouch
1642349,Ajay Mitchell,1610612760,OKC,54,47,7,1408.0,2468,48,22,29,0.759,0,0,0.0,44,0.917,13,0.271,3,0.063,3,0.063,0,0.0,2025-26,Regular Season,PaintTouch
201143,Al Horford,1610612744,GSW,43,22,21,933.0,1889,115,28,49,0.571,9,10,0.9,66,0.574,51,0.443,14,0.122,8,0.07,5,0.043,2025-26,Regular Season,PaintTouch
1630828,Alex Antetokounmpo,1610612749,MIL,3,1,2,11.0,9,1,0,0,0.0,1,2,0.5,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,2025-26,Regular Season,PaintTouch
1627936,Alex Caruso,1610612760,OKC,53,44,9,984.0,1600,54,16,26,0.615,1,2,0.5,33,0.611,23,0.426,4,0.074,4,0.074,1,0.019,2025-26,Regular Season,PaintTouch
