PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1630639,A.J. Lawson,1610612761,TOR,19,9,10,182.0,86,4,0.167,48,0.457,0,0.0,15,1.0,0,0.0,4,0.667,0.597,2025-26,Regular Season,Efficiency
1631260,AJ Green,1610612749,MIL,73,29,44,2097.0,716,14,0.438,458,0.405,184,0.426,12,0.545,0,0.0,2,0.2,0.602,2025-26,Regular Season,Efficiency
1642358,AJ Johnson,1610612742,DAL,44,8,36,386.0,122,40,0.315,18,0.207,15,0.227,16,0.625,0,0.0,1,0.0,0.363,2025-26,Regular Season,Efficiency
203932,Aaron Gordon,1610612743,DEN,33,24,9,910.0,538,92,0.5,132,0.395,86,0.375,171,0.689,32,0.267,35,0.619,0.571,2025-26,Regular Season,Efficiency
1628988,Aaron Holiday,1610612745,HOU,52,34,18,698.0,280,72,0.5,164,0.41,32,0.245,0,0.0,0,0.0,2,0.333,0.53,2025-26,Regular Season,Efficiency
1630174,Aaron Nesmith,1610612754,IND,45,10,35,1335.0,621,183,0.455,280,0.405,101,0.352,25,0.435,0,0.0,14,0.583,0.517,2025-26,Regular Season,Efficiency
1630598,Aaron Wiggins,1610612760,OKC,60,47,13,1330.0,583,150,0.431,221,0.372,82,0.348,68,0.738,0,0.0,19,0.6,0.524,2025-26,Regular Season,Efficiency
1642846,Ace Bailey,1610612762,UTA,69,18,51,1896.0,941,179,0.536,280,0.311,281,0.415,134,0.682,6,0.375,36,0.64,0.522,2025-26,Regular Season,Efficiency
1642380,Adama Bal,1610612763,MEM,4,1,3,102.0,25,4,0.5,15,0.333,0,0.0,4,0.667,0,0.0,0,0.0,0.46,2025-26,Regular Season,Efficiency
1641737,Adem Bona,1610612755,PHI,67,39,28,1160.0,325,25,0.438,6,0.286,0,0.0,200,0.589,4,0.667,26,0.625,0.596,2025-26,Regular Season,Efficiency
1642876,Adou Thiero,1610612747,LAL,21,12,9,108.0,29,12,0.625,0,0.0,0,0.0,9,0.5,0,0.0,2,1.0,0.455,2025-26,Regular Season,Efficiency
