PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1630639,A.J. Lawson,1610612761,TOR,19,9,10,182.0,78620,14.9,7.2,7.7,4.62,4.84,4.43,2025-26,Regular Season,SpeedDistance
1631260,AJ Green,1610612749,MIL,73,29,44,2097.0,842283,159.5,87.5,72.0,4.46,4.82,4.09,2025-26,Regular Season,SpeedDistance
1642358,AJ Johnson,1610612742,DAL,44,8,36,386.0,165509,31.3,17.1,14.3,4.55,5.1,4.06,2025-26,Regular Season,SpeedDistance
203932,Aaron Gordon,1610612743,DEN,33,24,9,910.0,324365,61.4,32.9,28.6,3.97,4.16,3.78,2025-26,Regular Season,SpeedDistance
1628988,Aaron Holiday,1610612745,HOU,52,34,18,698.0,254863,48.3,25.7,22.6,4.04,4.13,3.94,2025-26,Regular Season,SpeedDistance
1630174,Aaron Nesmith,1610612754,IND,45,10,35,1335.0,553171,104.8,56.5,48.3,4.51,4.94,4.1,2025-26,Regular Season,SpeedDistance
1630598,Aaron Wiggins,1610612760,OKC,60,47,13,1330.0,564026,106.8,56.7,50.2,4.65,5.07,4.26,2025-26,Regular Season,SpeedDistance
1642846,Ace Bailey,1610612762,UTA,69,18,51,1896.0,726130,137.5,71.2,66.3,4.2,4.32,4.08,2025-26,Regular Season,SpeedDistance
1642380,Adama Bal,1610612763,MEM,4,1,3,102.0,42675,8.1,4.2,3.9,4.4,4.43,4.37,2025-26,Regular Season,SpeedDistance
1641737,Adem Bona,1610612755,PHI,67,39,28,1160.0,475889,90.1,47.3,42.8,4.42,4.64,4.2,2025-26,Regular Season,SpeedDistance
1642876,Adou Thiero,1610612747,LAL,21,12,9,108.0,43973,8.3,4.3,4.0,4.45,4.59,4.32,2025-26,Regular Season,SpeedDistance
1642349,Ajay Mitchell,1610612760,OKC,54,47,7,1408.0,576163,109.1,58.2,50.9,4.57,5.01,4.16,2025-26,Regular Season,SpeedDistance
201143,Al Horford,1610612744,GSW,43,22,21,933.0,348733,66.0,35.8,30.2,4.07,4.27,3.85,2025-26,Regular Season,SpeedDistance
1630828,Alex Antetokounmpo,1610612749,MIL,3,1,2,11.0,4048,0.8,0.4,0.4,3.86,4.06,3.68,2025-26,Regular Season,SpeedDistance
1627936,Alex Caruso,1610612760,OKC,53,44,9,984.0,395659,74.9,38.5,36.4,4.36,4.7,4.05,2025-26,Regular Season,SpeedDistance
1631457,Alex Morales,1610612753,ORL,1,0,1,12.0,4860,0.9,0.4,0.5,4.14,4.11,4.16,2025-26,Regular Season,SpeedDistance
1642259,Alex Sarr,1610612764,WAS,48,11,37,1305.0,509385,96.5,50.9,45.5,4.38,4.72,4.04,2025-26,Regular Season,SpeedDistance
1642918,Alijah Martin,1610612761,TOR,20,9,11,130.0,55740,10.6,5.5,5.1,4.47,4.67,4.27,2025-26,Regular Season,SpeedDistance
1631214,Alondes Williams,1610612764,WAS,4,2,2,101.0,41006,7.8,3.9,3.8,4.34,4.52,4.06,2025-26,Regular Season,SpeedDistance
1630578,Alperen Sengun,1610612745,HOU,68,43,25,2271.0,801956,151.9,81.7,70.2,3.89,3.96,3.81,2025-26,Regular Season,SpeedDistance
1642873,Amari Williams,1610612738,BOS,21,14,7,136.0,51738,9.8,5.5,4.3,4.04,4.11,3.96,2025-26,Regular Season,SpeedDistance
1641708,Amen Thompson,1610612745,HOU,75,46,29,2795.0,1075003,203.6,111.8,91.8,4.22,4.44,3.99,2025-26,Regular Season,SpeedDistance
1629599,Amir Coffey,1610612756,PHX,43,18,25,437.0,164612,31.2,15.8,15.4,4.14,4.17,4.11,2025-26,Regular Season,SpeedDistance
1643158,Andersson Garcia,1610612762,UTA,5,1,4,169.0,69676,13.2,6.7,6.5,4.37,4.54,4.21,2025-26,Regular Season,SpeedDistance
203083,Andre Drummond,1610612755,PHI,58,31,27,1123.0,410381,77.7,39.8,37.9,4.09,4.15,4.03,2025-26,Regular Season,SpeedDistance
1641748,Andre Jackson Jr.,1610612749,MIL,44,11,33,342.0,144379,27.3,15.0,12.3,4.54,4.91,4.16,2025-26,Regular Season,SpeedDistance
1629614,Andrew Nembhard,1610612754,IND,57,13,44,1786.0,699324,132.4,71.9,60.5,4.31,4.77,3.86,2025-26,Regular Season,SpeedDistance
203952,Andrew Wiggins,1610612748,MIA,63,32,31,1934.0,753607,142.7,74.2,68.5,4.32,4.79,3.91,2025-26,Regular Season,SpeedDistance
1629014,Anfernee Simons,1610612741,CHI,55,31,24,1372.0,542697,102.8,55.8,46.9,4.4,4.56,4.22,2025-26,Regular Season,SpeedDistance
1641710,Anthony Black,1610612753,ORL,60,33,27,1841.0,711893,134.8,69.3,65.5,4.29,4.4,4.18,2025-26,Regular Season,SpeedDistance
203076,Anthony Davis,1610612764,WAS,20,10,10,626.0,207482,39.3,20.7,18.5,3.74,3.83,3.63,2025-26,Regular Season,SpeedDistance
