PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,POINTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1630639,A.J. Lawson,1610612761,TOR,19,9,10,182.0,86,217,131,5.8,1.6,0.85,0.396,5,0,14,0.8,0.0,1.071,2025-26,Regular Season,Possessions
1631260,AJ Green,1610612749,MIL,73,29,44,2097.0,716,3157,1730,96.5,1.83,0.98,0.227,21,0,27,0.095,0.0,0.444,2025-26,Regular Season,Possessions
1642358,AJ Johnson,1610612742,DAL,44,8,36,386.0,122,593,301,38.3,3.88,3.45,0.206,6,0,21,0.167,0.0,0.762,2025-26,Regular Season,Possessions
203932,Aaron Gordon,1610612743,DEN,33,24,9,910.0,538,1571,794,94.6,3.61,2.51,0.342,56,56,158,0.625,0.571,1.082,2025-26,Regular Season,Possessions
1628988,Aaron Holiday,1610612745,HOU,52,34,18,698.0,280,1033,477,70.2,4.08,3.77,0.271,4,0,2,0.5,0.0,0.0,2025-26,Regular Season,Possessions
1630174,Aaron Nesmith,1610612754,IND,45,10,35,1335.0,621,2246,1403,69.6,1.86,1.16,0.276,21,0,45,0.667,0.0,0.556,2025-26,Regular Season,Possessions
1630598,Aaron Wiggins,1610612760,OKC,60,47,13,1330.0,583,2037,1018,108.7,3.2,2.81,0.286,22,0,72,0.864,0.0,0.944,2025-26,Regular Season,Possessions
1642846,Ace Bailey,1610612762,UTA,69,18,51,1896.0,941,2285,1649,81.0,2.13,1.4,0.412,53,13,137,0.679,0.462,0.978,2025-26,Regular Season,Possessions
1642380,Adama Bal,1610612763,MEM,4,1,3,102.0,25,114,78,3.6,1.91,1.34,0.219,2,0,5,0.0,0.0,0.8,2025-26,Regular Season,Possessions
1641737,Adem Bona,1610612755,PHI,67,39,28,1160.0,325,1130,589,27.9,1.48,0.43,0.288,48,6,221,0.542,0.667,0.905,2025-26,Regular Season,Possessions
1642876,Adou Thiero,1610612747,LAL,21,12,9,108.0,29,133,58,4.3,1.96,0.94,0.218,2,1,15,1.0,0.0,0.6,2025-26,Regular Season,Possessions
1642349,Ajay Mitchell,1610612760,OKC,54,47,7,1408.0,751,2468,1093,195.3,4.75,4.85,0.304,32,0,48,0.688,0.0,0.917,2025-26,Regular Season,Possessions
201143,Al Horford,1610612744,GSW,43,22,21,933.0,357,1889,1190,47.8,1.52,0.47,0.189,58,97,115,0.483,0.33,0.574,2025-26,Regular Season,Possessions
1630828,Alex Antetokounmpo,1610612749,MIL,3,1,2,11.0,4,9,9,0.2,1.29,0.78,0.444,0,0,1,0.0,0.0,1.0,2025-26,Regular Season,Possessions
1627936,Alex Caruso,1610612760,OKC,53,44,9,984.0,335,1600,788,68.3,2.56,1.8,0.209,44,1,54,0.455,0.0,0.611,2025-26,Regular Season,Possessions
1631457,Alex Morales,1610612753,ORL,1,0,1,12.0,2,16,8,0.7,2.57,2.0,0.125,0,0,1,0.0,0.0,0.0,2025-26,Regular Season,Possessions
1642259,Alex Sarr,1610612764,WAS,48,11,37,1305.0,783,2729,1630,93.1,2.05,1.17,0.287,232,42,264,0.651,0.81,1.008,2025-26,Regular Season,Possessions
1642918,Alijah Martin,1610612761,TOR,20,9,11,130.0,48,184,101,10.2,3.33,2.53,0.261,3,0,16,0.667,0.0,0.5,2025-26,Regular Season,Possessions
1631214,Alondes Williams,1610612764,WAS,4,2,2,101.0,44,116,61,3.8,1.97,1.33,0.379,0,1,9,0.0,0.0,1.333,2025-26,Regular Season,Possessions
1630578,Alperen Sengun,1610612745,HOU,68,43,25,2271.0,1400,4851,3173,262.3,3.24,2.08,0.289,366,358,438,0.505,0.612,0.737,2025-26,Regular Season,Possessions
1642873,Amari Williams,1610612738,BOS,21,14,7,136.0,28,164,111,3.9,1.43,0.46,0.171,10,0,23,0.6,0.0,0.739,2025-26,Regular Season,Possessions
1641708,Amen Thompson,1610612745,HOU,75,46,29,2795.0,1343,5432,2067,406.7,4.49,3.82,0.247,132,1,506,0.553,2.0,0.785,2025-26,Regular Season,Possessions
1629599,Amir Coffey,1610612756,PHX,43,18,25,437.0,125,405,282,12.9,1.91,1.01,0.309,3,0,12,1.0,0.0,0.5,2025-26,Regular Season,Possessions
1643158,Andersson Garcia,1610612762,UTA,5,1,4,169.0,26,209,100,5.7,1.65,0.85,0.124,3,0,26,1.333,0.0,0.231,2025-26,Regular Season,Possessions
203083,Andre Drummond,1610612755,PHI,58,31,27,1123.0,367,1288,799,32.7,1.52,0.39,0.285,58,11,278,0.397,1.0,0.781,2025-26,Regular Season,Possessions
1641748,Andre Jackson Jr.,1610612749,MIL,44,11,33,342.0,97,717,340,34.5,2.89,2.13,0.135,22,0,42,0.364,0.0,0.381,2025-26,Regular Season,Possessions
1629614,Andrew Nembhard,1610612754,IND,57,13,44,1786.0,966,4984,2042,344.4,4.15,3.79,0.194,21,9,33,0.571,0.222,0.727,2025-26,Regular Season,Possessions
203952,Andrew Wiggins,1610612748,MIA,63,32,31,1934.0,980,2783,1816,115.8,2.5,1.78,0.352,23,59,145,1.13,0.661,0.931,2025-26,Regular Season,Possessions
1629014,Anfernee Simons,1610612741,CHI,55,31,24,1372.0,785,2456,1218,175.0,4.28,3.77,0.32,12,0,22,0.917,0.0,0.591,2025-26,Regular Season,Possessions
1641710,Anthony Black,1610612753,ORL,60,33,27,1841.0,917,3507,1732,203.3,3.48,2.91,0.261,36,6,93,0.75,0.667,1.043,2025-26,Regular Season,Possessions
203076,Anthony Davis,1610612764,WAS,20,10,10,626.0,407,1187,758,49.3,2.49,1.22,0.343,85,64,156,0.682,0.359,1.122,2025-26,Regular Season,Possessions
1630162,Anthony Edwards,1610612750,MIN,60,36,24,2109.0,1735,4373,1969,359.6,4.93,4.88,0.397,32,75,52,1.031,0.533,0.827,2025-26,Regular Season,Possessions
1630264,Anthony Gill,1610612764,WAS,49,6,43,769.0,252,972,608,28.9,1.79,0.58,0.259,60,3,108,0.533,0.667,0.889,2025-26,Regular Season,Possessions
1641810,Antonio Reeves,1610612766,CHA,10,4,6,68.0,27,70,47,2.1,1.81,1.39,0.386,0,0,2,0.0,0.0,0.0,2025-26,Regular Season,Possessions
1630574,Ariel Hukporti,1610612752,NYK,52,34,18,455.0,101,461,333,14.9,1.94,0.56,0.219,53,5,119,0.189,0.0,0.63,2025-26,Regular Season,Possessions
1642854,Asa Newell,1610612737,ATL,42,22,20,453.0,208,583,359,15.1,1.55,0.69,0.357,25,7,63,1.04,0.0,0.968,2025-26,Regular Season,Possessions
1641709,Ausar Thompson,1610612765,DET,68,49,19,1769.0,670,2791,1320,157.5,3.39,2.75,0.24,101,11,304,0.624,0.636,0.734,2025-26,Regular Season,Possessions
1630559,Austin Reaves,1610612747,LAL,51,36,15,1762.0,1187,3705,1407,288.8,4.68,4.17,0.32,30,0,43,0.7,0.0,0.814,2025-26,Regular Season,Possessions
1630245,Ayo Dosunmu,1610612750,MIN,66,34,32,1787.0,971,3500,1760,190.6,3.27,2.84,0.277,37,0,61,0.757,0.0,0.754,2025-26,Regular Season,Possessions
1628389,Bam Adebayo,1610612748,MIA,68,34,34,2199.0,1378,3927,2149,163.2,2.49,1.61,0.351,145,172,285,0.772,0.419,0.933,2025-26,Regular Season,Possessions
1631248,Baylor Scheierman,1610612738,BOS,72,50,22,1309.0,360,1510,882,56.9,2.26,1.35,0.238,21,0,35,0.429,0.0,0.4,2025-26,Regular Season,Possessions
1642879,Ben Saraf,1610612751,BKN,40,9,31,785.0,264,1805,719,142.4,4.73,4.44,0.146,12,0,28,0.667,0.0,0.571,2025-26,Regular Season,Possessions
1641767,Ben Sheppard,1610612754,IND,65,16,49,1390.0,459,2203,1238,72.7,1.98,1.32,0.208,17,0,53,0.412,0.0,0.491,2025-26,Regular Season,Possessions
1631097,Bennedict Mathurin,1610612746,LAC,49,19,30,1504.0,905,2571,1443,131.1,3.06,2.33,0.352,69,10,122,0.768,0.7,1.098,2025-26,Regular Season,Possessions
1643016,Bez Mbeng,1610612762,UTA,12,1,11,358.0,55,436,215,17.2,2.37,1.93,0.126,8,0,17,0.5,0.0,0.647,2025-26,Regular Season,Possessions
1641731,Bilal Coulibaly,1610612764,WAS,53,14,39,1397.0,601,2398,1078,126.0,3.15,2.45,0.251,25,4,106,0.92,0.5,0.915,2025-26,Regular Season,Possessions
202687,Bismack Biyombo,1610612759,SAS,24,20,4,136.0,21,159,75,4.9,1.85,0.4,0.132,9,1,21,0.0,0.0,0.714,2025-26,Regular Season,Possessions
1642396,Blake Hinson,1610612762,UTA,11,3,8,214.0,117,255,164,7.7,1.81,1.01,0.459,5,0,10,0.4,0.0,0.6,2025-26,Regular Season,Possessions
1631104,Blake Wesley,1610612757,POR,28,18,10,353.0,145,758,329,54.3,4.3,3.9,0.191,5,0,14,0.4,0.0,0.714,2025-26,Regular Season,Possessions
1626171,Bobby Portis,1610612749,MIL,67,26,41,1619.0,915,3093,1765,97.9,1.9,1.0,0.296,71,166,181,0.648,0.627,0.934,2025-26,Regular Season,Possessions
1641752,Bobi Klintman,1610612765,DET,12,8,4,71.0,22,101,56,3.0,1.76,0.81,0.218,3,0,9,0.0,0.0,0.222,2025-26,Regular Season,Possessions
203992,Bogdan Bogdanović,1610612746,LAC,21,6,15,429.0,154,755,331,48.2,3.83,3.26,0.204,5,0,6,0.0,0.0,0.667,2025-26,Regular Season,Possessions
1630538,Bones Hyland,1610612750,MIN,68,41,27,1105.0,558,2595,1139,169.3,3.91,3.17,0.215,8,1,20,0.75,2.0,0.4,2025-26,Regular Season,Possessions
