PLAYER_ID,PLAYER_NAME,IS_ACTIVE_FLAG,GP,GP_RANK,PTS,PTS_RANK,AST,AST_RANK,STL,STL_RANK,OREB,OREB_RANK,DREB,DREB_RANK,REB,REB_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FGA,FGA_RANK,FG_PCT,FG_PCT_RANK,TOV,TOV_RANK,FG3M,FG3M_RANK,FG3A,FG3A_RANK,FG3_PCT,FG3_PCT_RANK,PF,PF_RANK,FTM,FTM_RANK,FTA,FTA_RANK,FT_PCT,FT_PCT_RANK,PER_MODE,SEASON_TYPE
2544,LeBron James,Y,1619,1,26.8,8,7.4,28,1.48734,86,1.13774,628,6.3218,71,7.45954,196,0.73132,289,9.84188,6,19.42804,16,0.507,183,3.48363,13,1.62508,157,4.66646,136,0.348,609,1.76652,1190,5.47807,36,7.43237,30,0.737,645,PerGame,Regular Season
305,Robert Parish,N,1611,2,14.5,318,1.4,1015,0.75667,664,2.85413,54,6.27995,74,9.13408,92,1.46555,78,5.96772,270,11.1198,467,0.537,74,2.07497,266,,,,,,,2.75791,367,2.54873,452,3.53445,416,0.721,708,PerGame,Regular Season
76003,Kareem Abdul-Jabbar,N,1560,3,24.6,21,3.6,300,0.93624,433,2.40113,126,7.58192,28,11.17949,25,2.57385,9,10.15192,5,18.14551,32,0.559,41,2.72013,80,,,,,,,2.98526,217,4.30256,107,5.9641,81,0.721,708,PerGame,Regular Season
1713,Vince Carter,N,1541,4,16.7,196,3.1,423,0.99286,380,1.07592,677,3.2109,524,4.28683,667,0.57625,396,6.0305,264,13.8475,217,0.435,1106,1.68073,466,1.48605,216,4.0026,230,0.371,280,2.59247,490,3.1486,274,3.94679,308,0.798,308,PerGame,Regular Season
1717,Dirk Nowitzki,N,1522,5,20.7,58,2.4,590,0.79501,609,0.96452,745,6.5841,57,7.54862,182,0.84166,239,7.33837,102,15.59396,118,0.471,555,1.63863,486,1.30223,313,3.42313,354,0.38,188,2.36597,663,4.7569,72,5.41327,112,0.879,17,PerGame,Regular Season
304,John Stockton,N,1504,6,13.1,424,10.5,2,2.17088,8,0.64229,963,2.0512,974,2.69348,1126,0.20944,922,4.68019,556,9.08112,762,0.515,149,2.82181,61,0.56184,871,1.4641,926,0.384,151,2.62101,467,3.18351,267,3.85372,323,0.826,170,PerGame,Regular Season
252,Karl Malone,N,1476,7,25.0,17,3.6,314,1.4126,109,2.41328,122,7.72764,22,10.14092,49,0.77575,271,9.16531,16,17.75745,39,0.516,144,3.06504,34,0.05759,1183,0.21003,1184,0.274,1129,3.10163,161,6.63076,13,8.93496,8,0.742,616,PerGame,Regular Season
708,Kevin Garnett,N,1462,8,17.8,148,3.7,284,1.27155,169,2.19494,182,7.83379,19,10.02873,53,1.3933,95,7.18536,111,14.46101,177,0.497,270,2.17442,220,0.11902,1156,0.43228,1153,0.275,1128,2.4357,611,3.34268,237,4.23393,244,0.789,368,PerGame,Regular Season
788,Kevin Willis,N,1424,9,12.1,497,0.9,1207,0.67275,802,2.90169,48,5.45576,127,8.35744,127,0.52739,432,4.98244,478,10.23315,585,0.487,362,1.76966,416,,,,,,,2.92978,256,2.12289,612,2.97612,571,0.713,731,PerGame,Regular Season
1891,Jason Terry,N,1410,10,13.4,400,3.8,261,1.13688,260,0.35603,1190,1.96596,1007,2.32199,1233,0.19504,953,4.90355,504,11.05319,472,0.444,965,1.71277,447,1.61844,163,4.26241,183,0.38,188,1.82766,1150,1.96525,682,2.32482,778,0.845,94,PerGame,Regular Season
1495,Tim Duncan,N,1392,11,19.0,100,3.0,429,0.73635,705,2.77227,60,8.06897,12,10.84124,32,2.16954,21,7.38865,96,14.60776,164,0.506,194,2.42888,145,,,,,,,2.37356,659,4.23563,112,6.08333,79,0.696,797,PerGame,Regular Season
467,Jason Kidd,N,1391,12,12.6,457,8.7,10,1.92955,20,1.27103,555,5.00144,168,6.27247,311,0.32351,683,4.47088,616,11.18404,454,0.4,1494,2.87779,53,1.42919,242,4.09849,216,0.349,589,1.84903,1137,2.23077,573,2.84256,612,0.785,385,PerGame,Regular Season
397,Reggie Miller,N,1389,13,18.2,134,3.0,441,1.08351,304,0.63571,970,2.37509,832,3.0108,1012,0.21526,907,5.93305,278,12.59827,315,0.471,555,1.73434,436,1.84305,103,4.66955,135,0.395,79,1.96544,1031,4.49028,88,5.05832,141,0.888,12,PerGame,Regular Season
361,Clifford Robinson,N,1380,14,14.2,338,2.2,631,1.01594,362,1.34203,525,3.22754,517,4.56957,606,1.00725,172,5.35435,386,12.22826,346,0.438,1062,1.81304,388,0.90797,571,2.5471,584,0.356,488,3.02536,196,2.57971,440,3.74275,357,0.689,824,PerGame,Regular Season
101108,Chris Paul,Y,1370,15,16.8,191,9.2,6,1.99124,14,0.58248,1017,3.80146,360,4.38394,649,0.16204,1031,5.95985,271,12.70657,303,0.469,581,2.26934,190,1.36496,278,3.6927,289,0.37,296,2.34161,687,3.54599,201,4.07372,279,0.87,37,PerGame,Regular Season
977,Kobe Bryant,N,1346,16,25.0,18,4.7,165,1.44428,98,1.11367,646,4.12184,300,5.23551,472,0.47548,483,8.70654,30,19.46508,15,0.447,919,2.9792,44,1.35736,285,4.12036,211,0.329,840,2.49108,565,6.22437,20,7.43759,29,0.837,127,PerGame,Regular Season
1718,Paul Pierce,N,1343,17,19.7,80,3.5,323,1.30454,156,0.8131,842,4.79151,191,5.60462,411,0.55473,410,6.45421,209,14.49367,174,0.445,954,2.62993,98,1.59568,168,4.3306,172,0.368,323,2.71258,403,5.15115,49,6.38719,61,0.806,259,PerGame,Regular Season
56,Gary Payton,N,1335,18,16.3,207,6.7,42,1.83146,28,1.0427,703,2.90412,625,3.94682,766,0.21348,911,6.52285,200,14.00599,213,0.466,627,2.26966,189,0.84794,623,2.67416,547,0.317,961,2.40974,637,2.44569,495,3.35581,462,0.729,677,PerGame,Regular Season
77449,Moses Malone,N,1329,19,20.6,65,1.4,1016,0.81941,570,5.06471,1,7.13394,39,12.19865,15,1.30399,108,7.09932,118,14.46576,176,0.491,326,3.05052,35,,,,,,,2.31452,710,6.41911,16,8.34462,16,0.769,479,PerGame,Regular Season
2037,Jamal Crawford,N,1327,20,14.6,310,3.4,345,0.88847,492,0.35117,1197,1.87038,1043,2.22155,1254,0.20422,934,5.08817,448,12.40919,329,0.41,1421,1.86586,354,1.6737,144,4.80708,119,0.348,609,1.51319,1326,2.78372,373,3.22984,491,0.862,49,PerGame,Regular Season
433,Buck Williams,N,1307,21,12.8,439,1.3,1059,0.82632,563,3.46289,13,6.49656,60,9.95945,55,0.84162,240,4.89977,505,8.92196,793,0.549,51,2.13007,245,,,,,,,3.26473,107,3.03826,298,4.5746,195,0.664,860,PerGame,Regular Season
1889,Andre Miller,N,1304,22,12.5,469,6.5,50,1.18558,227,1.05291,698,2.62423,726,3.67715,839,0.17408,1006,4.62807,573,10.04908,605,0.461,690,2.3934,153,0.14801,1138,0.68098,1103,0.217,1181,2.21012,803,3.07899,287,3.81518,332,0.807,252,PerGame,Regular Season
76979,Elvin Hayes,N,1303,23,21.0,54,1.8,779,0.96644,407,3.10738,30,7.79978,21,12.49348,14,1.98098,25,8.42364,39,18.62778,25,0.452,836,2.38664,155,,,,,,,3.21796,116,4.11051,126,6.13891,75,0.67,855,PerGame,Regular Season
201566,Russell Westbrook,Y,1301,24,20.9,55,8.0,18,1.56649,69,1.57879,418,5.35819,133,6.93697,243,0.32129,686,7.52191,83,17.16295,52,0.438,1062,3.87241,3,1.14912,412,3.73251,283,0.308,1019,2.53958,525,4.69562,74,6.09377,78,0.771,464,PerGame,Regular Season
